Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.70916666
Longitude: -55.52555554
Altitude: 120.88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;391,4;996,6;24,6;2,2;
2010-02-28;null;null;null;null;
2010-03-31;null;null;null;null;
2010-04-30;null;null;null;null;
2010-05-31;100,2;1003,4;15,5;1,9;
2010-06-30;50,8;1004,4;14,1;1,9;
2010-07-31;246;1004,5;13;2;
2010-08-31;20,2;1004,7;14,1;2,5;
2010-09-30;320;1000,9;16,7;2,6;
2010-10-31;56,6;1000,8;18,2;2,4;
2010-11-30;23,6;997,5;21,2;2,3;
2010-12-31;95,8;994,3;24,6;2,7;
2011-01-31;90,6;994,6;26,4;2,2;
2011-02-28;234,8;997,1;24,4;2,5;
2011-03-31;141,2;999;22,9;2,5;
2011-04-30;139,2;1000,3;19,7;1,6;
2011-05-31;63,8;1004,2;15,8;1,8;
2011-06-30;90,2;1002,7;13,2;1,6;
2011-07-31;112,6;1003,4;12,3;2;
2011-08-31;136;1001,9;14,3;2,8;
2011-09-30;65,6;1003,6;16,9;2,6;
2011-10-31;189,6;998,8;19,1;2,3;
2011-11-30;67,4;998,3;22,6;2,7;
2011-12-31;124,4;996,7;22,9;2,5;
2012-01-31;7,4;996,7;25,8;2,4;
2012-02-29;66,6;996,2;26,4;1,8;
2012-03-31;43,4;999,6;23,3;1,6;
2012-04-30;120;1000,7;18,9;1,6;
2012-05-31;42,4;1003,4;17,8;1,5;
2012-06-30;60,2;1003,2;13,7;1,4;
2012-07-31;76,8;1004,6;11,4;1,8;
2012-08-31;69,4;1004,1;18,7;2,2;
2012-09-30;85,6;1002,1;17,8;2,5;
2012-10-31;null;null;null;null;
2012-11-30;42,4;997,8;23,8;2,7;
2012-12-31;373,4;994,6;24,5;2,4;
2013-01-31;124;998,5;23,8;2,5;
2013-02-28;213,8;997,3;23,7;2,2;
2013-03-31;184,6;1000,1;20,6;2,1;
2013-04-30;133,8;1001,4;19,2;1,8;
2013-05-31;194,6;1002;15,5;1,7;
2013-06-30;null;1002,8;13,3;1,8;
2013-07-31;147,4;1005,3;13,3;1,7;
2013-08-31;42,2;1005;12,6;2,2;
2013-09-30;33;1002;16,9;2,3;
2013-10-31;100,6;1000,5;19,6;2,6;
2013-11-30;null;null;null;null;
2013-12-31;null;null;null;null;
2014-01-31;211,2;997,1;26,1;2;
2014-02-28;139,6;997,7;25,2;2,3;
2014-03-31;233,8;999;21,3;1,8;
2014-04-30;42,6;1001,7;19,7;2;
2014-05-31;226,6;1002,7;15,5;1,6;
2014-06-30;119,2;1003,2;13,7;2,2;
2014-07-31;115,8;1005,1;14,6;1,8;
2014-08-31;20,8;1003,5;15,9;2;
2014-09-30;null;999,7;17,8;2,7;
2014-10-31;126,8;999,8;21,4;2,7;
2014-11-30;96,6;998,1;22,9;2,2;
2014-12-31;null;null;23,7;null;
2015-01-31;null;null;null;null;
2015-02-28;null;998;24,3;2;
2015-03-31;74,4;999,8;23;2;
2015-04-30;46,2;1001,9;20;1,8;
2015-05-31;142;1003,5;17;1,8;
2015-06-30;106,4;1004,4;14,9;1,7;
2015-07-31;169,6;1003,5;14,3;1,9;
2015-08-31;82;1000,2;19,1;2,3;
2015-09-30;85,2;999,7;16,9;2,5;
2015-10-31;386,2;1000,1;18,4;2,9;
2015-11-30;165,8;997,6;20,7;2,7;
2015-12-31;422,2;996,6;23,4;2,2;
2016-01-31;108,6;996,9;25,9;2,2;
2016-02-29;158,8;997,4;25,3;1,8;
2016-03-31;135;1001,1;21,3;2,1;
2016-04-30;235;999,5;20,8;2,2;
2016-05-31;101,6;1005,6;13,9;2;
2016-06-30;77,8;1008,1;10,8;1,5;
2016-07-31;86,6;1003,9;13,1;1,9;
2016-08-31;99,4;1002,9;15,7;2;
