Nome: ARARANGUA
Codigo Estacao: A867
Latitude: -28.931353
Longitude: -49.49792
Altitude: 2
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;181,6;1011;24,4;2;
2010-02-28;140,8;1011,1;25,5;1,9;
2010-03-31;313;1012,2;23,1;2,1;
2010-04-30;178,4;1016,6;20,2;1,9;
2010-05-31;295,2;1016,7;18,1;2;
2010-06-30;78;1019,8;15,3;1,4;
2010-07-31;110;1019,7;15,3;1,6;
2010-08-31;64;1020,4;15;2;
2010-09-30;88,4;1016,3;17,6;2,7;
2010-10-31;74;1015;18,3;2,5;
2010-11-30;234,4;1011,4;20,5;2,7;
2010-12-31;45,8;1009,8;22,5;2,5;
2011-01-31;219,4;1009,1;24,6;1,9;
2011-02-28;201,2;1011,4;24,2;1,9;
2011-03-31;135,6;1014,7;21,9;2,2;
2011-04-30;97;1014,9;20;1,7;
2011-05-31;70;1018,3;17,2;1,9;
2011-06-30;130,6;1016,9;14;1,7;
2011-07-31;126,4;1018,3;13,9;1,8;
2011-08-31;317,4;1017;15,2;2,7;
2011-09-30;106,4;1019,6;16,1;2,5;
2011-10-31;null;null;null;null;
2011-11-30;22,8;1014,1;20,8;2,8;
2011-12-31;225;1011,4;21,7;2,6;
2012-01-31;192,4;1011,8;23,1;2,5;
2012-02-29;45,4;1010,8;24,8;1,9;
2012-03-31;8,8;1013,6;22,4;2,1;
2012-04-30;36,6;1014,3;20,1;2,1;
2012-05-31;51,6;1018,5;17,8;1,8;
2012-06-30;85;1017,1;15,3;1,4;
2012-07-31;114,8;1018,6;14;2;
2012-08-31;39,6;1020,6;18,6;2,7;
2012-09-30;128,2;1017,7;18,2;2,8;
2012-10-31;143,8;1012,8;21;2,7;
2012-11-30;26,8;1013,1;21,8;2,9;
2012-12-31;null;null;null;null;
2013-01-31;null;null;null;null;
2013-02-28;228,8;1011,7;23,6;2;
2013-03-31;181,6;1014,4;21,3;1,8;
2013-04-30;48,8;1015,7;19,7;1,8;
2013-05-31;51;1015,9;16,7;1,1;
2013-06-30;107,8;1017,3;15,4;1;
2013-07-31;73,4;1020;14;1,1;
2013-08-31;411,4;1018,8;14,5;2;
2013-09-30;162;1016,6;17,6;2;
2013-10-31;67,6;1015,8;19,3;2,6;
2013-11-30;35,8;1013,1;21,5;2,9;
2013-12-31;87;1010,4;23,3;2,1;
2014-01-31;144,6;1011,8;25,1;1,6;
2014-02-28;202,8;1012,3;25;1,9;
2014-03-31;114,8;1013,4;22,5;1,5;
2014-04-30;81,2;1016,4;20,9;1,8;
2014-05-31;81,2;1016,8;17,4;1,4;
