Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;138,4;985,1;23,2;3,4;
2010-02-28;181,2;985,2;23,5;3,7;
2010-03-31;80,6;986,8;21,7;3,1;
2010-04-30;85,8;990,9;17,7;3,2;
2010-05-31;73,2;991,5;15;3,4;
2010-06-30;92;992,7;12,7;3,7;
2010-07-31;259,8;992,1;12;4;
2010-08-31;39,4;993,1;12,3;3,7;
2010-09-30;115,6;989,2;15,3;4;
2010-10-31;,2;989,2;16;2,9;
2010-11-30;4,6;986;18,6;3,4;
2010-12-31;57,4;983,4;23,2;3,8;
2011-01-31;73,2;983,5;25;3,3;
2011-02-28;88,8;986,2;23;3,4;
2011-03-31;135;988,2;21,3;3,4;
2011-04-30;85,8;988,6;18,4;2,6;
2011-05-31;38,6;992,3;14,3;2,8;
2011-06-30;111;990,3;11,9;3,2;
2011-07-31;74,8;991,4;11,1;3,5;
2011-08-31;null;991,2;13,1;4,1;
2011-09-30;27;992,4;14,5;3,7;
2011-10-31;124;987,3;16,7;3,4;
2011-11-30;35,6;987,5;20,3;3,9;
2011-12-31;53,6;985,5;20,7;3,7;
2012-01-31;43,6;985,8;23,8;4,2;
2012-02-29;175,8;984,8;24,1;3,3;
2012-03-31;68,6;987,9;21,2;2,8;
2012-04-30;95,8;989;16,8;2,5;
2012-05-31;14,4;991,8;16,8;3;
2012-06-30;109,8;990,8;12,6;3,2;
2012-07-31;64,6;992,3;9,6;3,1;
2012-08-31;126,8;992,6;17;4,2;
2012-09-30;123;990,7;15,6;4,3;
2012-10-31;187,4;986,1;18,5;4;
2012-11-30;75,4;986,8;21,5;3,5;
2012-12-31;172,4;983,1;23,5;3,4;
2013-01-31;183,4;987,4;21,8;3,1;
2013-02-28;119,8;986;22,1;3,2;
2013-03-31;32,2;988,6;19,2;2,8;
2013-04-30;78,6;989,6;18,1;2,6;
2013-05-31;154,4;989,7;14;2,3;
2013-06-30;64,4;990,9;12,2;2,2;
2013-07-31;47,4;993;12,1;2,9;
2013-08-31;115,6;992,9;11,1;2,8;
2013-09-30;167;990;15,3;2,7;
2013-10-31;197,2;989,3;16,8;2;
2013-11-30;205,6;986;20;2,5;
2013-12-31;84,4;983,9;23,9;1,5;
2014-01-31;277,8;985,7;24,3;1,7;
2014-02-28;216,4;986,6;23,3;1,9;
2014-03-31;238;987,5;19,9;1,1;
2014-04-30;87,8;990,3;18,1;1,3;
2014-05-31;34,8;990,8;14,5;,7;
2014-06-30;null;null;null;null;
2014-07-31;null;null;12,7;null;
2014-08-31;66,6;991,3;14,2;3,5;
2014-09-30;165;988,5;15,7;3,8;
2014-10-31;292,2;988,8;19,1;3,9;
2014-11-30;115,6;986,7;20,6;3,6;
2014-12-31;188,2;985,4;21,9;3,4;
2015-01-31;207,4;986,8;23;3,1;
2015-02-28;87,8;986,8;22,7;3;
2015-03-31;32,4;988,4;21,8;2,9;
2015-04-30;21,2;990,4;18,9;2,9;
2015-05-31;126,2;991,7;15,7;3;
2015-06-30;195;992,2;13,5;3;
2015-07-31;null;991,2;12,5;3;
2015-08-31;105;988,4;17,5;4,1;
2015-09-30;230;988,5;14,2;3,6;
2015-10-31;392,4;989;16;4,2;
2015-11-30;93,4;986,5;18,7;3,7;
2015-12-31;238,4;985,1;21,8;3,4;
2016-01-31;83;985,9;23,8;3,4;
2016-02-29;114,2;985,9;24,4;3;
2016-03-31;192,8;989,5;20,1;3,2;
2016-04-30;338;987,2;19,7;3,5;
2016-05-31;null;null;null;null;
2016-06-30;null;null;null;null;
2016-07-31;null;null;null;null;
2016-08-31;95;990,9;14,4;3,4;
2016-09-30;55;992,2;13,5;3,8;
2016-10-31;119,2;988,2;17,3;4;
2016-11-30;101,2;987,6;19,7;3,4;
2016-12-31;76,6;984,8;23;3,7;
2017-01-31;165,4;985,9;23,5;3,4;
2017-02-28;97,8;985,1;23,5;2,9;
2017-03-31;null;null;null;null;
2017-04-30;147,8;989,7;18;3,5;
2017-05-31;254,6;990,1;15,7;3,4;
2017-06-30;118,8;991;14;null;
2017-07-31;32,6;995,3;15;4,1;
2017-08-31;165,4;990,5;15,2;3,9;
2017-09-30;225;991,1;17,7;4,1;
2017-10-31;245,2;986,6;17,3;4,1;
2017-11-30;26,8;986,3;18,9;3,6;
2017-12-31;53,4;985;23,7;3,9;
2018-01-31;42,8;985,3;23,9;3,9;
2018-02-28;57,4;987,1;23;3,5;
2018-03-31;128,8;986,3;20,8;3,1;
2018-04-30;92,4;990,2;21,5;3,2;
2018-05-31;102,2;991,5;15,9;3,3;
2018-06-30;76,4;991,6;11,3;2,9;
2018-07-31;166,4;992,5;11,7;null;
2018-08-31;185,4;992,9;12,1;null;
2018-09-30;null;989,3;16,9;4,2;
2018-10-31;null;989,5;17,8;2,8;
2018-11-30;97,4;986,7;21,2;3,6;
2018-12-31;102,2;986,4;21,8;3,5;
2019-01-31;471,2;986,3;23,6;3,8;
2019-02-28;53,6;987;22,4;3,2;
2019-03-31;24,8;989,3;20,5;3,3;
2019-04-30;86,4;988,9;19,2;3,3;
2019-05-31;137,6;990,2;16,2;3,1;
2019-06-30;26,4;990,8;16,8;3,9;
2019-07-31;null;992,1;13,4;3,7;
2019-08-31;null;993,9;13,7;null;
2019-09-30;102;990,7;15;3,6;
2019-10-31;397,4;988,4;18;4,4;
2019-11-30;103,2;986,6;20,8;3,7;
2019-12-31;41;985,5;22,7;3,4;
2020-01-31;109,4;985,4;23,4;3,6;
2020-02-29;40,2;987,6;22,8;3,4;
2020-03-31;21,4;988,7;23,6;3,5;
2020-04-30;83;991;18,2;3,3;
2020-05-31;162,6;990,4;14,7;3,3;
2020-06-30;182,6;988,8;14,2;3,8;
2020-07-31;null;989,8;12,9;3,9;
2020-08-31;77,6;991,3;15,6;3,6;
2020-09-30;97;990,4;14,5;3,8;
2020-10-31;85,6;988,7;17,2;4,1;
2020-11-30;27;989;19,8;4;
2020-12-31;90,6;985,9;22;3,8;
2021-01-31;151,2;985,3;23,3;3,7;
2021-02-28;213,6;986,3;21,8;2,8;
2021-03-31;112,4;987,4;21;2,9;
2021-04-30;24,8;991,2;18,9;3,2;
2021-05-31;60,2;991,1;13,1;null;
