Nome: CAMAQUA
Codigo Estacao: A838
Latitude: -30.80805555
Longitude: -51.83416666
Altitude: 92.3
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;154;1000,8;23,6;1,4;
2010-02-28;133,4;1000,8;24,6;1,3;
2010-03-31;108,4;1002,3;22,1;1,3;
2010-04-30;110,2;1006,4;18,6;1,1;
2010-05-31;143,6;1007,1;16,3;1,4;
2010-06-30;154,2;1008,9;13,7;1;
2010-07-31;162,8;1008,6;13,1;1;
2010-08-31;97,4;1009,7;12,8;1;
2010-09-30;124,8;1005,9;15,9;1,5;
2010-10-31;47;1005;16,7;1,4;
2010-11-30;null;1001,8;19,2;1,7;
2010-12-31;61;999,5;22,3;1,7;
2011-01-31;null;998,7;24,3;1,1;
2011-02-28;null;null;22,8;null;
2011-03-31;null;null;null;null;
2011-04-30;105;1004,4;18,9;1;
2011-05-31;44,8;1008,1;15,1;1,1;
2011-06-30;110;1006,2;12,7;1,2;
2011-07-31;170,8;1007,7;11,7;1,2;
2011-08-31;151,6;1006,3;13,1;1,8;
2011-09-30;118,6;1008,8;14,4;1,6;
2011-10-31;161,2;1003,1;17,8;1,7;
2011-11-30;39,4;1003,8;19,9;1,8;
2011-12-31;62,6;1001,1;20,7;1,7;
2012-01-31;171;1001,9;22,4;1,8;
2012-02-29;null;null;null;null;
2012-03-31;null;null;null;null;
2012-04-30;null;null;null;null;
2012-05-31;58,8;1007,8;17,2;1;
2012-06-30;43,6;1006,9;13,2;1;
2012-07-31;158,6;1008,3;11;1,3;
2012-08-31;106,6;1009,2;17,3;1,4;
2012-09-30;312,8;1007;16,3;1,8;
2012-10-31;96,6;1002,2;19,2;1,7;
2012-11-30;36,2;1002,7;21,4;1,7;
2012-12-31;216,6;998,7;23,9;1,6;
2013-01-31;171,6;1003,1;22;1,6;
2013-02-28;224,6;1001,5;22,6;1,5;
2013-03-31;93;1004,3;19,8;1,4;
2013-04-30;156,8;1005,4;18,6;1,2;
2013-05-31;113;1005,5;14,8;1;
2013-06-30;78,8;1006,7;13;,9;
2013-07-31;45;1009,2;12;,6;
2013-08-31;205,6;1008,8;11,9;1,1;
2013-09-30;103,6;1006,1;16,1;1,4;
2013-10-31;204;1005,4;17,4;1,3;
2013-11-30;161,8;1002,1;20,5;1,3;
2013-12-31;42,8;999,9;23,3;1,1;
2014-01-31;240;1001,3;24,7;,9;
2014-02-28;223;1002,2;24,1;1;
2014-03-31;156,2;1003,1;21;,7;
2014-04-30;69,4;1006,2;19;,7;
2014-05-31;55,2;1006,7;15,1;,4;
2014-06-30;null;null;null;null;
2014-07-31;null;null;null;null;
2014-08-31;92;1007,5;14,2;,7;
2014-09-30;163,4;1004,7;16,8;1,1;
2014-10-31;164,2;1005,2;19,4;1;
2014-11-30;70,2;1002,4;21,3;1;
2014-12-31;206;1001,1;22,6;,9;
2015-01-31;179,4;1002,4;23,7;,7;
2015-02-28;112,4;1002,4;23,2;,7;
2015-03-31;19;1003,9;22,3;,7;
2015-04-30;74,2;1006,1;19,5;,6;
2015-05-31;253;1007,9;16,5;,6;
2015-06-30;null;1008,6;14,8;,3;
2015-07-31;199,8;1007,2;14,4;,5;
2015-08-31;45,8;1005,2;18,6;,6;
2015-09-30;null;1004,5;15,4;,8;
2015-10-31;null;1005,2;17,1;1,1;
2015-11-30;132,2;1002,6;19,2;,9;
2015-12-31;241;1001,1;21,9;,8;
2016-01-31;71,8;1001,9;23,7;,8;
2016-02-29;46,8;1001,8;24,4;,7;
2016-03-31;447,6;1005;20,9;,8;
2016-04-30;173,2;1003,7;20,9;,5;
2016-05-31;69,8;1009,4;13,9;,4;
2016-06-30;null;1011,4;11,2;,3;
2016-07-31;77;1007,3;13,5;,5;
2016-08-31;128,8;1006,7;14,9;,5;
2016-09-30;119,4;1008,1;14,7;,9;
2016-10-31;190,6;1004,5;17,7;,8;
2016-11-30;133,6;1003,6;19,3;,7;
2016-12-31;153,6;1000,9;22,8;,7;
2017-01-31;93,8;1001,8;23,6;,5;
2017-02-28;176;1000,9;24,4;,3;
2017-03-31;221,2;1004,7;21,4;,4;
2017-04-30;76,2;1005,9;18,8;,4;
2017-05-31;261,2;1006,4;17;,3;
2017-06-30;76;1006,8;15,2;,4;
2017-07-31;null;1011,8;16,6;,2;
2017-08-31;108,2;1007;16;,4;
2017-09-30;null;null;19,2;null;
2017-10-31;null;null;null;null;
2017-11-30;138,4;1002,2;19;,5;
2017-12-31;57,8;1001,1;22,5;,5;
2018-01-31;73,6;1001,2;23,6;,5;
2018-02-28;172,8;1003,1;22,3;,4;
2018-03-31;131,4;1001,9;21,2;,3;
2018-04-30;204,8;1006,2;21,7;,1;
