Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2016-11-23
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;null;null;null;null;
2016-12-31;154;899,8;18,5;2,9;
2017-01-31;141,4;900,9;19,7;2,8;
2017-02-28;null;901;20,5;2,6;
2017-03-31;101;902,6;17,5;3,1;
2017-04-30;87,4;903,2;14,9;3,1;
2017-05-31;200;903,2;13,8;2,8;
2017-06-30;121;904;11,9;3;
2017-07-31;8,2;908,8;12,1;2,8;
2017-08-31;91;903,5;13,2;3,1;
2017-09-30;126;904,7;16,6;2,7;
2017-10-31;197,2;900,1;15,2;3,3;
2017-11-30;145;899,4;15,3;3;
2017-12-31;81,8;899,5;18,3;2,9;
2018-01-31;141;900,2;18,5;3,1;
2018-02-28;114,4;901,1;17,7;2,8;
2018-03-31;145,2;900,2;18,1;2,6;
2018-04-30;72,2;904,5;17,2;2,4;
2018-05-31;77;904,4;13,2;2,7;
2018-06-30;177,8;903,8;10,6;3,1;
2018-07-31;188,2;904,1;12,1;3,3;
2018-08-31;86,6;904,3;10,4;3,2;
2018-09-30;162,8;901,9;14,4;3;
2018-10-31;265,6;901,3;14,6;3,1;
2018-11-30;99,6;901;17,1;3,1;
2018-12-31;139,6;900,8;18,5;3;
2019-01-31;285;902;21,1;3;
2019-02-28;182;901,1;18,3;2,9;
2019-03-31;112,2;903;17,3;2,8;
2019-04-30;140,8;902,1;16,8;2,6;
2019-05-31;null;null;null;null;
2019-06-30;21,4;905,1;14,1;2,9;
2019-07-31;97,6;904,4;10,9;2,9;
2019-08-31;51,6;906,4;11,3;3,1;
2019-09-30;75,8;903,2;13,7;3;
2019-10-31;248;902,1;16,3;3;
2019-11-30;123,6;900,6;16,8;3;
2019-12-31;57,6;900,1;18,6;3;
2020-01-31;332,4;899,9;18,9;2,9;
2020-02-29;72,6;901,9;18,1;2,9;
2020-03-31;20;903,2;18,4;2,5;
2020-04-30;35,4;903,5;14,6;3;
2020-05-31;66,4;902,8;12,8;3,2;
2020-06-30;null;null;12,2;null;
2020-07-31;null;null;null;null;
2020-08-31;97,4;904,6;12,9;2,6;
2020-09-30;117,8;903;14,1;3;
2020-10-31;110,2;901,3;15,5;3,2;
2020-11-30;161,8;901,8;15,7;2,8;
2020-12-31;151;900,1;17,9;3,1;
2021-01-31;199;900,4;18,9;3;
2021-02-28;67;900,3;18,2;3;
2021-03-31;89,8;900,9;17,9;2,6;
2021-04-30;35,2;904,2;15,2;2,6;
2021-05-31;196,8;902,9;11,4;2,8;
2021-06-30;129,6;904,1;10,2;3,2;
2021-07-31;35,6;905,5;10,3;3,2;
2021-08-31;81;905,3;12,9;3;
2021-09-30;141,2;902,3;14,4;3,2;
2021-10-31;91,8;901,9;14,2;3,1;
2021-11-30;113,8;899,9;16,4;3;
2021-12-31;53;900,1;17,3;2,9;
2022-01-31;199,4;900,3;19,9;2,9;
2022-02-28;73,2;900,4;19,4;2,6;
2022-03-31;152,8;901,3;17,4;3;
2022-04-30;125,8;902,4;14,9;2,6;
2022-05-31;288,4;902,5;10,9;3,1;
2022-06-30;271;902,9;9,8;2,9;
2022-07-31;99,6;902,9;14,2;3,3;
2022-08-31;103,4;904,5;10,9;3,1;
2022-09-30;94,4;903,1;11,2;3,3;
2022-10-31;99;901;14,1;3,1;
2022-11-30;67,2;902,8;14,7;3,2;
2022-12-31;200,6;899,5;18,1;3;
2023-01-31;125,6;900,5;19,5;2,7;
2023-02-28;92,8;900,5;18,4;2,7;
2023-03-31;139,6;902,2;19,4;2,8;
2023-04-30;40,8;902,2;14,8;2,8;
2023-05-31;null;null;13,9;null;
2023-06-30;122,8;904,6;12,2;3,1;
2023-07-31;174;904,5;11,7;3;
2023-08-31;76,6;902,6;13,1;3;
2023-09-30;412,4;901,2;15,2;3,3;
2023-10-31;324,2;900,2;14,4;2,9;
2023-11-30;479,6;899,5;17;3,1;
2023-12-31;154,8;900,7;19,4;3;
2024-01-31;180,6;901,1;18,6;3;
2024-02-29;68,8;902,4;20,3;2,8;
2024-03-31;58,6;902,2;19,3;2,5;
2024-04-30;182,8;902,2;17,4;3;
2024-05-31;650,4;901,9;13,5;3,3;
2024-06-30;387,6;903,1;13,7;3,4;
2024-07-31;72,4;906,7;10,8;2,6;
2024-08-31;93,8;904,3;13,1;3,1;
2024-09-30;100,6;902,2;16,2;3,1;
2024-10-31;127;901,9;15,6;3,2;
2024-11-30;96;900,8;17,5;3;
2024-12-31;160,2;899,2;16,9;3,2;
2025-01-31;109,4;899,6;18,9;2,9;
2025-02-28;104,2;901,7;21,1;2,6;
2025-03-31;33,4;903,6;19,4;2,4;
2025-04-30;116;902,8;15;2,5;
2025-05-31;92,6;904,7;13,7;2,7;
2025-06-30;null;null;null;null;

