Nome: CAMPINA DA LAGOA
Codigo Estacao: B803
Latitude: -24.57083332
Longitude: -52.80027777
Altitude: 598
Situacao: Operante
Data Inicial: 2016-08-03
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;null;947,4;17,6;3,1;
2016-09-30;35;948,1;19;2,9;
2016-10-31;213,8;944,9;21,4;3,7;
2016-11-30;109;943,9;22,8;3,2;
2016-12-31;375,2;943,5;22,8;3,1;
2017-01-31;181,2;944,3;23,5;2,7;
2017-02-28;301,4;944,1;24,5;2,9;
2017-03-31;142,4;945,4;23,4;3,1;
2017-04-30;169,6;946,6;20,6;3;
2017-05-31;161,8;946,9;21;2,7;
2017-06-30;196,2;949,2;19,8;3;
2017-07-31;5;953;18,5;3,4;
2017-08-31;145,2;947,5;21,8;3,9;
2017-09-30;30,8;947,6;25,9;3,9;
2017-10-31;394,4;944,2;24,9;null;
2017-11-30;205,6;942,8;22,3;null;
2017-12-31;291,6;942,5;23,9;3;
2018-01-31;null;null;null;null;
2018-02-28;null;null;null;null;
2018-03-31;null;null;null;null;
2018-04-30;null;null;22,3;null;
2018-05-31;null;null;null;null;
2018-06-30;null;null;null;null;
2018-07-31;null;null;null;null;
2018-08-31;null;null;null;null;
2018-09-30;null;null;null;null;
2018-10-31;null;null;null;null;
2018-11-30;156,6;943,9;22,8;3,4;
2018-12-31;93;944,3;24,7;2,9;
2019-01-31;323,2;945,6;25,3;3,1;
2019-02-28;191;943,8;24;3,2;
2019-03-31;180,6;945,9;23;2,6;
2019-04-30;91;945,7;22;2,1;
2019-05-31;358,2;946,7;19,6;2,7;
2019-06-30;null;null;null;null;
2019-07-31;null;null;null;null;
2019-08-31;null;null;19,9;null;
2019-09-30;78,2;946,1;23;3,7;
2019-10-31;45,2;944,6;24,9;3,6;
2019-11-30;132,2;943;24,4;3,2;
2019-12-31;null;null;null;null;
2020-01-31;null;null;null;null;
2020-02-29;null;null;null;null;
2020-03-31;null;null;null;null;
2020-04-30;null;null;null;null;
2020-05-31;null;null;null;null;
2020-06-30;null;null;null;null;
2020-07-31;null;null;null;null;
2020-08-31;null;null;null;null;
2020-09-30;null;null;null;null;
2020-10-31;null;null;null;null;
2020-11-30;null;null;null;null;
2020-12-31;null;null;null;null;
2021-01-31;null;null;null;null;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;28;943;24,3;2,9;
2021-12-31;51,8;942;25,7;2,9;
2022-01-31;157;942,8;24,8;3,1;
2022-02-28;94,4;943,5;25,6;3;
2022-03-31;254,4;944,5;23,5;3;
2022-04-30;null;946,1;21;2,8;
2022-05-31;null;null;null;null;
2022-06-30;null;null;null;null;
2022-07-31;null;null;null;null;
2022-08-31;null;null;null;null;
2022-09-30;null;null;null;null;
2022-10-31;null;null;null;null;
2022-11-30;null;null;null;null;
2022-12-31;null;null;null;null;
2023-01-31;null;null;null;null;
2023-02-28;null;null;null;null;
2023-03-31;null;null;null;null;
2023-04-30;null;null;null;null;
2023-05-31;37,4;948,5;19,1;2,4;
2023-06-30;76,6;949,9;16,6;2,5;
2023-07-31;105,2;949,5;18;2,7;
2023-08-31;116,6;946,8;20,2;3,2;
2023-09-30;117,8;945;23,3;4,1;
2023-10-31;391,6;942,9;23,3;4;
2023-11-30;247,6;942,8;23,5;3,7;
2023-12-31;106,8;943,7;24,6;2,9;
2024-01-31;273,4;943,6;24,9;3,3;
2024-02-29;184,6;945;25,3;3,1;
2024-03-31;104;945,1;25,1;2,6;
2024-04-30;95,6;945,5;23,4;2,8;
2024-05-31;57;947;20,5;2,9;
2024-06-30;2,2;947,8;21,2;3,7;
2024-07-31;117,2;950,8;17,8;3,2;
2024-08-31;26,6;949;19,9;4;
2024-09-30;121,8;945,6;24,3;null;
2024-10-31;150,4;944,4;23,8;null;
2024-11-30;70,4;943;24,2;null;
2024-12-31;413;942,5;23;null;
2025-01-31;133,4;942,6;24,8;null;
2025-02-28;175;944,8;25,2;null;
2025-03-31;29,4;946,3;24,9;null;
2025-04-30;58,6;946,1;20,8;null;
2025-05-31;83,6;949,1;18,9;null;
2025-06-30;null;null;null;null;

