Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2019-02-14
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;null;null;null;null;
2019-03-31;174;924,3;19;3,2;
2019-04-30;134,2;924,2;18,4;2,8;
2019-05-31;404,4;924,6;16;2,9;
2019-06-30;25;913,4;15,5;3;
2019-07-31;94,2;910,9;12,5;3;
2019-08-31;11,8;912,4;13,1;null;
2019-09-30;69,8;909,7;16,9;3,9;
2019-10-31;207,6;909,1;18,9;3,8;
2019-11-30;227,6;907,6;19,4;4,2;
2019-12-31;128;907,4;20,4;3,3;
2020-01-31;191,6;907;20,6;3,1;
2020-02-29;144,4;908,8;19,9;3,5;
2020-03-31;49,4;910,1;20,2;3,5;
2020-04-30;83,2;911,1;16,1;3,2;
2020-05-31;133,4;910,9;13,5;2,8;
2020-06-30;300,2;910,5;14,2;3,2;
2020-07-31;211,8;910,8;12,6;3,2;
2020-08-31;179;911,8;14,2;3,6;
2020-09-30;64,2;910;17,6;3,9;
2020-10-31;43,8;908,3;19,1;4,1;
2020-11-30;115,6;908,6;18,7;3,9;
2020-12-31;244,6;907,1;20,5;3,6;
2021-01-31;null;907,3;20,3;3,4;
2021-02-28;null;907,2;19,7;2,8;
2021-03-31;null;908,2;20,7;2,8;
2021-04-30;17,8;911,2;16,8;3,5;
2021-05-31;166,2;910,7;13,8;2,9;
2021-06-30;165,8;911,8;11,8;3,4;
2021-07-31;51,8;913,4;10,8;3,4;
2021-08-31;36,6;912,3;15,3;4,2;
2021-09-30;221,8;909,6;16,7;3,8;
2021-10-31;213,8;908,8;16,5;4,1;
2021-11-30;109,8;907;19,6;4;
2021-12-31;33,8;906,5;20,7;4,2;
2022-01-31;125;907,1;21,5;3,7;
2022-02-28;165,8;907,6;21,1;3,1;
2022-03-31;357;908,4;19,2;3,3;
2022-04-30;167,4;909,6;16,5;3,5;
2022-05-31;309,8;910,2;12,4;3,1;
2022-06-30;313;910,6;11,5;3,2;
2022-07-31;72,8;910,7;15,3;3,4;
2022-08-31;172,4;911,7;12,4;3,9;
2022-09-30;99,2;910,4;12,7;4,2;
2022-10-31;293,6;908;16,2;3,5;
2022-11-30;45,6;908,6;16,9;4,1;
2022-12-31;175,6;904,9;20,5;3,7;
2023-01-31;129,4;905,5;20,8;3,4;
2023-02-28;91,4;905,4;19,7;2,8;
2023-03-31;150,6;906,5;20,2;3,3;
2023-04-30;98,4;906;16,5;3,4;
2023-05-31;80,8;908,3;15;2,9;
2023-06-30;168,6;908,7;13,4;2,8;
2023-07-31;182,2;908,2;13,4;3,2;
2023-08-31;101,2;906,1;14,6;3,2;
2023-09-30;184,8;904,3;18;4,1;
2023-10-31;464;902,8;17,3;3,8;
2023-11-30;459,6;901,9;19,1;4,1;
2023-12-31;null;902,5;21,5;3,5;
2024-01-31;200,2;902,6;20,5;3,6;
2024-02-29;null;903,5;21,9;3,5;
2024-03-31;113,6;903,3;20,8;2,9;
2024-04-30;183,4;903,2;19,7;3,3;
2024-05-31;279,4;903,4;15,3;3,2;
2024-06-30;166,8;904,2;15,7;3,1;
2024-07-31;146,8;907,2;13;3,2;
2024-08-31;45,4;905,7;14,8;3,5;
2024-09-30;99,8;903,1;18,5;3,8;
2024-10-31;160,2;902,2;18,3;4,3;
2024-11-30;125,4;900,7;19,6;4,1;
2024-12-31;216,6;899,3;19,5;3,5;
2025-01-31;81,4;899,3;21,2;3,1;
2025-02-28;null;901,2;22,4;2,8;
2025-03-31;109,2;903;21,2;3;
2025-04-30;107,8;902,2;16,9;3,1;
2025-05-31;64;904,5;15,1;3,5;
2025-06-30;null;null;null;null;

