Nome: CASTRO
Codigo Estacao: A819
Latitude: -24.77999999
Longitude: -50.04638888
Altitude: 1016
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;42,4;902,9;20,8;1,3;
2010-02-28;0;903,8;21,5;1,2;
2010-03-31;17,2;903;20;1,1;
2010-04-30;139,2;906,1;17,3;1;
2010-05-31;15,4;905,4;14,4;1;
2010-06-30;60;908,3;13,1;1;
2010-07-31;99,4;908,4;14,1;1;
2010-08-31;29,2;908;13,7;1;
2010-09-30;54;905,4;16,5;1,6;
2010-10-31;201,2;903,8;16,3;1,8;
2010-11-30;116,8;901,6;18,6;1,9;
2010-12-31;226,6;900,6;19,9;1,9;
2011-01-31;202,6;901,2;21,2;1,4;
2011-02-28;261,8;903,2;21;1,7;
2011-03-31;89,2;904,1;19,1;2,2;
2011-04-30;104,8;905,5;17,8;1,5;
2011-05-31;29,4;907,1;13,9;1,5;
2011-06-30;126,8;906,5;11,6;1,3;
2011-07-31;134,4;906,8;13,4;1,3;
2011-08-31;331,2;906,4;14;2;
2011-09-30;10,4;907,9;14,9;1,9;
2011-10-31;139;903,4;17,5;2,1;
2011-11-30;117,8;903,6;17,9;1,9;
2011-12-31;183,8;902;19,3;1,9;
2012-01-31;114,4;902,8;19,6;1,8;
2012-02-29;131,2;903,9;21,4;1,4;
2012-03-31;109;904,9;19,5;1,7;
2012-04-30;269;904,6;17,7;1,4;
2012-05-31;55,2;907,7;14,9;1,6;
2012-06-30;298,4;906,8;13,6;1,3;
2012-07-31;80,6;907,2;12,9;1,3;
2012-08-31;18,6;910,3;15,5;1,2;
2012-09-30;null;907,1;16,3;1,7;
2012-10-31;112,2;904;18,4;1,7;
2012-11-30;null;902,9;18,5;1,8;
2012-12-31;null;null;null;null;
2013-01-31;null;904,2;null;1,9;
2013-02-28;null;null;null;null;
2013-03-31;124,4;904,7;19,2;1,8;
2013-04-30;100,2;906;17,4;1,4;
2013-05-31;106,4;906,3;15,1;1;
2013-06-30;373,6;906,7;13,9;,8;
2013-07-31;132;908,6;12,3;1,2;
2013-08-31;24;907,3;13,6;1,4;
2013-09-30;144,2;906,3;15,5;1,3;
2013-10-31;99;905,2;17,6;1,5;
2013-11-30;57,2;903,7;18,9;1,6;
2013-12-31;80,8;901,8;20,8;1,5;
2014-01-31;82,4;904,9;21,4;1;
2014-02-28;53,4;904,5;21,4;1,1;
2014-03-31;42,6;904,8;19,9;1;
2014-04-30;null;906,2;18,1;,9;
2014-05-31;120;906,3;15,1;,9;
2014-06-30;203,2;907,1;14,5;1,1;
2014-07-31;43,8;909,8;13,1;1,1;
2014-08-31;null;908,4;14,3;1,1;
2014-09-30;null;905,9;17;1,3;
2014-10-31;null;906,1;18,8;1,5;
2014-11-30;105,4;903,5;19,3;1,4;
2014-12-31;189,2;903,5;20,5;1,5;
2015-01-31;6,2;905,2;21,9;1,3;
2015-02-28;null;903,9;20,8;1;
2015-03-31;null;904,7;19,8;,9;
2015-04-30;85;905,9;18,4;1,1;
2015-05-31;154,4;907,2;15,5;1,1;
2015-06-30;58,2;909,2;13,9;1,2;
2015-07-31;217,8;907,5;13,8;1;
2015-08-31;36,6;907,9;15,6;,9;
2015-09-30;null;904,5;17,6;1,2;
2015-10-31;114,8;905,2;18,9;1,5;
2015-11-30;,6;902,7;19,4;1,3;
2015-12-31;null;904,1;20,7;1,3;
2016-01-31;null;null;null;null;
2016-02-29;null;null;null;null;
2016-03-31;null;null;20,5;null;
2016-04-30;94,8;905,8;19,8;,9;
2016-05-31;62,6;907,5;14,4;1,1;
2016-06-30;null;909;11,4;,8;
2016-07-31;null;907,9;12,7;1,1;
2016-08-31;null;907;13,8;1,1;
2016-09-30;null;907;15;1,3;
2016-10-31;null;904,7;17,4;1,7;
2016-11-30;80,6;903,7;18,6;1,8;
2016-12-31;196,8;903,2;20,3;1,9;
2017-01-31;169,2;903,9;21,3;1,7;
2017-02-28;185,8;904;21,8;1,5;
2017-03-31;71,4;905,3;19,9;1,8;
2017-04-30;120,8;906,3;17,3;1,8;
2017-05-31;154,6;906,5;16,5;1,4;
2017-06-30;234,2;908,3;14;1,5;
2017-07-31;,2;912,3;12,6;1,4;
2017-08-31;115,2;907,5;14,7;1,8;
2017-09-30;47,2;908,1;18,7;1,5;
2017-10-31;319,4;904,1;17,6;2;
2017-11-30;95,4;902,6;18,3;1,8;
2017-12-31;328,6;902,4;20,4;1,7;
2018-01-31;256,4;903,5;20,4;1,8;
2018-02-28;22,2;903,8;19,7;1,7;
2018-03-31;161,4;903,4;21,1;1,3;
2018-04-30;13,6;907,4;18,9;1,3;
2018-05-31;32,6;907,9;15,9;1,4;
2018-06-30;81;908,1;14;1,3;
2018-07-31;18,8;908,1;14,1;1,1;
2018-08-31;51;908,2;13,4;1,6;
2018-09-30;72,4;905;16,6;1,7;
2018-10-31;211,6;904,2;17,4;1,7;
2018-11-30;54,2;904,1;19,3;2,1;
2018-12-31;138,2;903,9;21,3;1,5;
2019-01-31;234,6;905,6;22,4;1,4;
2019-02-28;164,8;903,7;20,5;1,5;
2019-03-31;198,4;905,7;20,3;1,6;
2019-04-30;143,6;905,1;19,3;1,1;
2019-05-31;180,2;905,8;17;1,3;
2019-06-30;135;909,1;14,9;1,1;
2019-07-31;17;908,4;13,2;1,4;
2019-08-31;29,4;910;13,9;1,7;
2019-09-30;92,6;906,5;17;1,7;
2019-10-31;85,6;905;19,8;1,7;
2019-11-30;204,2;903,4;19,7;2;
2019-12-31;116,8;903,4;20,3;1,6;
2020-01-31;102,2;902,6;20,9;1,8;
2020-02-29;109,8;904,3;20,4;1,7;
2020-03-31;21,8;905,7;20;1,6;
2020-04-30;30,4;906,7;17,3;1,4;
2020-05-31;67,6;907;13,7;1,4;
2020-06-30;173,8;907,3;15;1,7;
2020-07-31;32;907,4;13,5;1,5;
2020-08-31;197,8;908,3;14,1;1,4;
2020-09-30;6,8;906,4;18,6;1,8;
2020-10-31;110,2;904,3;19;1,9;
2020-11-30;125,6;904,3;19,1;1,7;
2020-12-31;151;903,1;20,2;1,8;
2021-01-31;null;903,7;20,9;1,8;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;null;null;null;null;
2021-12-31;null;null;null;null;
2022-01-31;null;null;null;null;
2022-02-28;null;null;null;null;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;null;null;null;null;
2022-06-30;null;null;null;null;
2022-07-31;null;null;null;null;
2022-08-31;null;null;null;null;
2022-09-30;null;null;null;null;
2022-10-31;null;null;null;null;
2022-11-30;null;null;null;null;
