Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;null;null;null;null;
2019-03-31;146,6;937,6;21,2;3,1;
2019-04-30;146;937;20,5;2,7;
2019-05-31;299,6;937,7;17,9;3,2;
2019-06-30;43,2;940,6;18;3,7;
2019-07-31;93,4;940,7;14,4;3,3;
2019-08-31;28,6;942,1;15,8;3,9;
2019-09-30;56,4;937,8;19,4;4;
2019-10-31;197,4;936,4;21,7;3,8;
2019-11-30;183,2;934,6;22,6;3,5;
2019-12-31;149,6;934,9;22,8;3,2;
2020-01-31;115;934,2;23,6;3,3;
2020-02-29;158,8;936,2;22,6;3,1;
2020-03-31;33,2;937,4;23,4;2,9;
2020-04-30;87,8;939,3;18,8;3,1;
2020-05-31;185,6;939,4;15,6;3,3;
2020-06-30;296;938,4;16,4;4,2;
2020-07-31;166,8;939,2;15;3,9;
2020-08-31;117,8;939,8;17,3;3,5;
2020-09-30;40,2;937,4;20,5;3,8;
2020-10-31;19,2;935,7;22,1;3,5;
2020-11-30;138,6;936;22;3,6;
2020-12-31;239,2;934,3;23,6;3,4;
2021-01-31;null;934,5;22,7;3,8;
2021-02-28;76,8;935,1;22;3;
2021-03-31;97,8;935,7;22,2;3;
2021-04-30;23;938,9;19,6;3,1;
2021-05-31;67,6;939,1;16,1;3,1;
2021-06-30;185,6;940,3;13,7;3,3;
2021-07-31;56;942,2;13,4;3,4;
2021-08-31;null;941,4;17,6;3,5;
2021-09-30;null;null;null;null;
2021-10-31;323,6;936,4;19,2;3,5;
2021-11-30;108;934,5;22,5;3,3;
2021-12-31;7,4;933,6;24,6;3,4;
2022-01-31;89,6;934,1;24,8;3,5;
2022-02-28;104;934,9;24,2;3,1;
2022-03-31;209,6;936;21,5;3,3;
2022-04-30;268,6;937,3;18,9;3,3;
2022-05-31;306;938,9;14,5;3,3;
2022-06-30;207,8;939,1;13,7;3,3;
2022-07-31;78,6;938,5;18,1;4,2;
2022-08-31;175,2;939,9;15,1;3,7;
2022-09-30;145;938,5;15,4;3,7;
2022-10-31;361,6;936,1;18,4;3,4;
2022-11-30;49;937,1;20,2;3,8;
2022-12-31;89,8;933,6;23,6;3,2;
2023-01-31;137,8;934,8;23,9;3;
2023-02-28;111;935,4;22,3;2,9;
2023-03-31;86,6;936,8;23,1;2,8;
2023-04-30;156,2;937,2;19,2;2,8;
2023-05-31;208,4;940;17,4;2,9;
2023-06-30;182,6;940,8;15,5;3,6;
2023-07-31;191,6;940,2;16,3;3,5;
2023-08-31;102,6;938;17,6;3,6;
2023-09-30;219,6;935,8;20,8;4,3;
2023-10-31;493,6;934,7;19,6;3,6;
2023-11-30;401;933,9;22,4;4;
2023-12-31;197,2;935,1;23,9;3,3;
2024-01-31;195,6;935,1;23,4;3,6;
2024-02-29;null;936,3;24,2;3;
2024-03-31;136,8;936,6;23,3;3,1;
2024-04-30;181;936,7;22,1;3,5;
2024-05-31;276,8;937,8;17,1;4;
2024-06-30;196,2;938,7;17,9;4;
2024-07-31;169,8;942,2;14,5;3,3;
2024-08-31;119;940,2;17,2;3,9;
2024-09-30;90,4;936,9;21;3,9;
2024-10-31;209;936,1;21,1;3,7;
2024-11-30;162,2;934,7;22,6;3,3;
2024-12-31;null;933,8;22,4;3,4;
2025-01-31;215,6;933,8;24;3,1;
2025-02-28;null;935,9;25,2;3,1;
2025-03-31;58,8;937,9;24,2;3;
2025-04-30;159,2;937,6;19,3;2,8;
2025-05-31;118,2;940,2;17,8;3,3;
2025-06-30;null;null;null;null;

