Nome: CLEVELANDIA
Codigo Estacao: A876
Latitude: -26.41722221
Longitude: -52.3486111
Altitude: 966.06
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;133,8;904,5;21,1;1,4;
2010-02-28;2,2;905,4;21,8;1,4;
2010-03-31;81,8;905,2;20;2,1;
2010-04-30;158;908,1;17,4;3;
2010-05-31;214;907,5;13,6;3,6;
2010-06-30;15,2;909,6;13,8;4;
2010-07-31;0;909,6;13,2;4,2;
2010-08-31;0;909,5;14,2;4,2;
2010-09-30;0;906,4;16,6;4,3;
2010-10-31;0;905,5;16,4;3,7;
2010-11-30;4,6;903,3;18,8;3,6;
2010-12-31;392,2;902,1;19,8;3,7;
2011-01-31;206,2;902,9;21,2;2,8;
2011-02-28;333,8;904,6;20,6;3;
2011-03-31;141,8;905,6;19,9;3,6;
2011-04-30;32,4;907;17,9;3,2;
2011-05-31;24;908,8;14,1;2,8;
2011-06-30;224;907,8;11,8;3,3;
2011-07-31;238;907,8;13,7;2,8;
2011-08-31;199,8;907,3;13,9;3,8;
2011-09-30;161,6;908,8;15,5;3,6;
2011-10-31;214;904,7;17,8;3,5;
2011-11-30;112;904,9;18,6;3,8;
2011-12-31;82,4;903,5;20;3,1;
2012-01-31;74;904,1;20,7;3,4;
2012-02-29;208,2;905,3;21,9;null;
2012-03-31;29,4;906,6;19,7;null;
2012-04-30;85,6;906,3;17,2;null;
2012-05-31;15,4;909,2;14,7;null;
2012-06-30;28,6;908,2;13,2;null;
2012-07-31;27;908,4;12,6;null;
2012-08-31;0;911,1;16,6;null;
2012-09-30;1,2;908,1;17,1;null;
2012-10-31;167,2;905,2;18,7;null;
2012-11-30;66,2;904,1;20,5;3,6;
2012-12-31;185,2;903,5;21,6;3,5;
2013-01-31;162,2;905,3;20,1;3,4;
2013-02-28;186,6;905;20,3;3,2;
2013-03-31;299,6;906;18,4;3,2;
2013-04-30;111,6;907,6;17,1;3,1;
2013-05-31;193,6;907,7;14,9;3,3;
2013-06-30;360,8;907,8;13,6;3;
2013-07-31;78,4;909,9;12,9;3,4;
2013-08-31;null;null;13,3;null;
2013-09-30;null;null;null;null;
2013-10-31;180,4;906,4;17,2;3,7;
2013-11-30;178,8;904,7;19,6;4,6;
2013-12-31;108;903,3;21,2;3,5;
2014-01-31;189,4;906,1;21,4;3,1;
2014-02-28;149,4;906;21,6;3,6;
2014-03-31;279,8;906,1;19,3;3,4;
2014-04-30;95,4;907,6;17,7;3,5;
2014-05-31;null;907,7;14,6;3,4;
2014-06-30;null;907,9;13,9;3,8;
2014-07-31;null;910,7;13,2;4,2;
2014-08-31;46,6;909,4;15,2;3,6;
2014-09-30;null;906,6;16,9;4,2;
2014-10-31;null;907,1;20,1;3,9;
2014-11-30;null;904,9;20,2;3,7;
2014-12-31;null;904,6;20,4;3,7;
2015-01-31;,2;906,6;21,3;3,2;
2015-02-28;null;905,4;20,7;2,9;
2015-03-31;null;906,3;20,2;2,9;
2015-04-30;null;907,4;18,1;3,1;
2015-05-31;null;908,6;15,1;3,4;
2015-06-30;144,6;910,1;14,1;null;
2015-07-31;43;908,6;13,2;null;
2015-08-31;5,6;908,5;17,4;null;
2015-09-30;null;905,3;17,7;null;
