Nome: COLOMBO
Codigo Estacao: B806
Latitude: -25.322464
Longitude: -49.157733
Altitude: 950
Situacao: Operante
Data Inicial: 2016-05-31
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;null;null;null;
2016-06-30;95,2;914,2;10,6;1,1;
2016-07-31;112,8;912,6;13,3;1,6;
2016-08-31;190;911,8;13,6;1,4;
2016-09-30;116,8;911,9;14,5;1,6;
2016-10-31;169,6;909,8;16,4;1,7;
2016-11-30;110,8;908,8;17,7;1,5;
2016-12-31;98,6;908,1;19,8;1,6;
2017-01-31;230,4;908,7;20,9;1,3;
2017-02-28;74;908,9;21,6;1,3;
2017-03-31;116,6;910,3;19;1,3;
2017-04-30;95,2;911,3;17;1,3;
2017-05-31;96,4;911,5;16;1,3;
2017-06-30;142;913,1;13,9;1,4;
2017-07-31;10,8;917,4;12,7;1,3;
2017-08-31;91,2;912,5;14,5;1,5;
2017-09-30;27,4;913,3;18;1,6;
2017-10-31;288;909;17,3;1,8;
2017-11-30;121,6;907,7;17,4;1,6;
2017-12-31;293;907,4;19,7;1,4;
2018-01-31;307;908,3;20,1;1,5;
2018-02-28;108,8;908,8;19,1;1,3;
2018-03-31;259,4;908,3;20,6;1,3;
2018-04-30;15,8;912,4;18,4;1,1;
2018-05-31;24,6;912,8;15,8;1,3;
2018-06-30;104,8;912,9;14;1,3;
2018-07-31;15,8;913;14,7;1,4;
2018-08-31;34,8;913,1;13,4;1,5;
2018-09-30;56,2;910,1;16,1;1,4;
2018-10-31;331,2;909,3;16,7;1,4;
2018-11-30;38;909,3;18,2;1,6;
2018-12-31;104,8;908,8;20,9;1,5;
2019-01-31;407;910,3;22,3;1,4;
2019-02-28;211,6;908,7;22,2;1,3;
2019-03-31;76,6;910,7;19,7;1,2;
2019-04-30;147,2;910;18,9;1,1;
2019-05-31;240;910,7;17;1,2;
2019-06-30;null;914;15;1,2;
2019-07-31;null;913,1;13,6;1,4;
2019-08-31;null;915,1;13,7;1,6;
2019-09-30;129,8;911,7;16,1;1,6;
2019-10-31;76,4;910,1;18,9;1,4;
2019-11-30;130;908,6;18,4;1,5;
2019-12-31;48,2;908,4;19,6;1,4;
2020-01-31;null;907,4;21,1;1,4;
2020-02-29;null;909,4;19,3;1,3;
2020-03-31;33;910,9;19;1,2;
2020-04-30;35,6;911,7;16,9;1,3;
2020-05-31;null;911,7;13,9;1,4;
2020-06-30;null;912,3;15,1;1,6;
2020-07-31;38,6;912,3;14,3;1,6;
2020-08-31;154,2;913,4;14;1,4;
2020-09-30;null;911,6;17,7;1,6;
2020-10-31;null;909,4;18,1;1,5;
2020-11-30;null;909,6;18,3;1,4;
2020-12-31;139,8;908,1;20;1,4;
2021-01-31;172,4;908,5;20,6;1,4;
2021-02-28;null;907,7;20,3;1,2;
2021-03-31;null;null;null;null;
2021-04-30;null;911,8;17,1;1,1;
2021-05-31;null;911,1;14,9;1,3;
2021-06-30;101;912,7;13,1;1,3;
2021-07-31;28;914,4;11,3;1,3;
2021-08-31;113,2;913,8;14,9;1,4;
2021-09-30;null;910,9;17;1,5;
2021-10-31;null;910;15,7;1,4;
2021-11-30;62,6;907,9;18,7;1,4;
2021-12-31;null;907,4;19,7;1,3;
2022-01-31;210;907,9;20,8;1,2;
2022-02-28;null;908,5;21,1;1,3;
2022-03-31;null;909,1;null;1,3;
2022-04-30;null;910,5;16,6;1,2;
2022-05-31;null;911,1;null;1,4;
2022-06-30;null;911,7;12,4;1,3;
2022-07-31;null;912,3;14,7;1,5;
2022-08-31;172,2;912,9;13,3;1,5;
2022-09-30;208,4;911,5;12,8;1,5;
2022-10-31;null;null;null;null;
2022-11-30;null;909,8;15,9;1,3;
2022-12-31;95,8;907,2;19,4;1,3;
2023-01-31;94,8;908,2;20,2;1,2;
2023-02-28;null;908,5;20,3;1,4;
2023-03-31;140;910,2;20,6;1,3;
2023-04-30;79,6;910,3;17,1;1,2;
2023-05-31;26,2;912,6;15,8;1,1;
2023-06-30;74;913,5;13,6;1,2;
2023-07-31;90,6;913,5;13,7;1,4;
2023-08-31;178,2;911,4;14,8;1,4;
2023-09-30;106,6;910,1;18,3;1,6;
2023-10-31;494,6;908,4;17,2;1,5;
2023-11-30;273,6;908;19,5;1,5;
2023-12-31;37,8;908,7;21,3;1,4;
2024-01-31;103,8;908,5;20,8;1,3;
2024-02-29;81,8;910;21,5;1,2;
2024-03-31;67,2;910;20,9;1,2;
2024-04-30;141,2;910,5;19,8;1,2;
2024-05-31;85,2;910,9;17,5;1,5;
2024-06-30;69,2;912,3;16;1,3;
2024-07-31;132,4;914,8;13,1;1;
2024-08-31;44,6;912,9;15,6;1,4;
2024-09-30;119;910,9;18,3;1,4;
2024-10-31;151,4;910;17,8;1,5;
2024-11-30;112,2;908,5;19,1;1,4;
2024-12-31;272,4;907,3;19,3;1,6;
2025-01-31;249,8;907,4;20,3;1,4;
2025-02-28;237;909,6;22;1,3;
2025-03-31;78,8;911,3;20,6;1,2;
2025-04-30;78,6;910,4;17,7;1,2;
2025-05-31;65,8;913,4;15,8;1,3;
2025-06-30;null;null;null;null;

