Nome: CRUZ ALTA
Codigo Estacao: A853
Latitude: -28.60344
Longitude: -53.673597
Altitude: 426.69
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;258,2;962,1;23,2;3;
2010-02-28;109,2;962,5;24;2,8;
2010-03-31;55,4;963,4;22,1;3;
2010-04-30;186,2;967,2;18,9;3,2;
2010-05-31;147;967,6;14,9;3,4;
2010-06-30;117,4;968,9;14,2;3,1;
2010-07-31;192,4;969;13,1;3;
2010-08-31;48,6;969,3;13,3;3,6;
2010-09-30;288,6;965,5;15,9;3,6;
2010-10-31;89,6;965,1;17,2;3,3;
2010-11-30;84,4;962;20,5;2,8;
2010-12-31;170,2;959,9;22,8;3,2;
2011-01-31;69,2;960,4;24;2,4;
2011-02-28;322;962,5;22,7;3;
2011-03-31;211;964,1;21,3;3,3;
2011-04-30;234,6;965,4;19,5;2,4;
2011-05-31;103,2;968,6;15,3;3,2;
2011-06-30;165,2;967,2;12,4;2,4;
2011-07-31;212,4;967,4;12,6;2,9;
2011-08-31;202,8;966,3;13,7;3,7;
2011-09-30;49,4;968,1;16;3,5;
2011-10-31;196;963,4;18,8;3,5;
2011-11-30;77,8;963,4;21,5;3,7;
2011-12-31;29,6;961,6;22,3;3,5;
2012-01-31;47,4;962,1;24,1;3,7;
2012-02-29;null;null;null;null;
2012-03-31;null;null;19,6;null;
2012-04-30;55,4;965,2;18,7;2,9;
2012-05-31;20;968,4;17;2,6;
2012-06-30;60,4;967,8;13,7;2,3;
2012-07-31;185,4;968,3;12;2,8;
2012-08-31;66;969,6;17,4;3,3;
2012-09-30;197,6;967;16,6;4;
2012-10-31;294,4;963,2;19,1;3,7;
2012-11-30;86;962,7;22,7;3,9;
2012-12-31;378,6;960,5;23,7;3,1;
2013-01-31;95;963,7;22;3,5;
2013-02-28;127;962,8;22;2,7;
2013-03-31;203,6;964,9;19,2;3,2;
2013-04-30;124,4;966,4;18,9;2,3;
2013-05-31;122,2;966,6;15,3;2,1;
2013-06-30;70,4;967,3;13,8;2;
2013-07-31;72,8;969,8;12,6;,9;
2013-08-31;183;968,7;11,8;1,5;
2013-09-30;126,2;966,7;15,3;,7;
2013-10-31;130,2;965,3;18,3;1,1;
2013-11-30;129,2;962,5;21,9;2,3;
2013-12-31;127,8;960,8;24,2;1,4;
2014-01-31;215,8;963,3;23,7;,8;
2014-02-28;164,6;963,5;23,5;1,4;
2014-03-31;139,2;964,1;20,6;,6;
2014-04-30;135,2;966,5;19,3;1,5;
2014-05-31;239,2;967,2;15;,8;
2014-06-30;361;967,1;13,6;2,3;
2014-07-31;166,8;970;13,8;1,4;
2014-08-31;81,4;968,3;15;1,1;
2014-09-30;319,4;964,7;17;2,3;
2014-10-31;246,2;965,1;20,3;2,2;
2014-11-30;76;963;22;1,5;
2014-12-31;156,2;962,3;22,5;1,6;
2015-01-31;177,4;964,1;22,6;1;
2015-02-28;154,6;963,3;22,3;,9;
2015-03-31;105,4;964,7;21,8;1;
2015-04-30;204,8;966,4;19,3;1,3;
2015-05-31;195;967,9;16,2;1,1;
2015-06-30;270,6;969,2;14,3;1,2;
2015-07-31;245,8;967,7;13,6;1,2;
2015-08-31;99,8;966;17,9;,7;
2015-09-30;141;964;16,2;1,5;
2015-10-31;194,4;964,4;18,5;2,3;
2015-11-30;163,6;962,2;20;2,3;
2015-12-31;511,2;962,1;21,9;1,5;
2016-01-31;194,4;962,2;24;1,3;
2016-02-29;108;963,2;23,4;,5;
2016-03-31;195;965,6;20,2;1,2;
2016-04-30;133,6;965;20,7;,9;
2016-05-31;50,2;969,1;13,6;,9;
2016-06-30;7;971,6;10,4;,9;
2016-07-31;130,2;968,2;13;1;
2016-08-31;110,6;967,3;14,6;1,1;
2016-09-30;57,2;968,5;14,6;1,3;
2016-10-31;317,6;964,3;18,1;1,6;
2016-11-30;199;964;20,2;1,4;
2016-12-31;87,6;962,1;22,6;,9;
2017-01-31;274,8;963,1;22,6;,5;
2017-02-28;133;962,8;22,7;,2;
2017-03-31;182,4;964,9;21,4;,7;
2017-04-30;253,2;966,4;18,1;1,3;
2017-05-31;404,6;966,3;16,4;2,9;
2017-06-30;143;968,2;14,2;2,8;
2017-07-31;10,2;972,5;14,8;2,7;
2017-08-31;118,2;967;15,4;3,8;
2017-09-30;102,6;967,2;19,3;3,6;
2017-10-31;174,6;963,2;18,5;3,6;
2017-11-30;196;962,5;20;3,7;
2017-12-31;102,8;961,5;23,1;3,3;
2018-01-31;361,2;962,4;22,1;3;
2018-02-28;81,4;963,6;21,4;2,7;
2018-03-31;240,6;963;21;2,7;
2018-04-30;null;967,2;21,3;2,6;
2018-05-31;98;968,2;16,3;2,7;
2018-06-30;86,8;969,2;11,7;2,8;
2018-07-31;72,2;968,8;12,9;3,1;
2018-08-31;76,6;969,5;11,8;3,5;
2018-09-30;189;964,9;17,1;3,4;
2018-10-31;178,6;964,3;18,5;4,3;
2018-11-30;258,8;963,1;21,7;4,1;
2018-12-31;76,4;963,4;22,2;3,4;
2019-01-31;266,2;963,7;23,7;3;
2019-02-28;113;963,6;21,5;3,2;
2019-03-31;111,8;965,8;20,4;3,1;
2019-04-30;110,4;965,2;20,1;2,9;
2019-05-31;305,4;966,1;16,8;3,4;
2019-06-30;35,2;968,4;16,3;3,1;
2019-07-31;156,2;969,4;12;3;
2019-08-31;72,6;970,7;13,2;3,8;
2019-09-30;null;null;null;null;
2019-10-31;null;null;null;null;
2019-11-30;null;null;null;null;
2019-12-31;23,4;962,4;23,8;2,9;
2020-01-31;157,2;962;23,4;3,3;
2020-02-29;34;964,2;22,2;3,1;
2020-03-31;19,6;965,1;23,8;3;
2020-04-30;38,2;967,6;18,4;3;
2020-05-31;200,6;967,6;15;2,6;
2020-06-30;256,4;966,3;15;3,4;
2020-07-31;299,8;967,6;12,4;3,1;
2020-08-31;107,6;968,2;15,1;3,4;
2020-09-30;83,6;965,9;16,8;3,8;
2020-10-31;37,8;964;20;4;
2020-11-30;52;964,4;21,4;4,2;
2020-12-31;121,6;962,2;22,9;3,4;
2021-01-31;null;962,1;22,5;3,1;
2021-02-28;65,2;963,2;21,3;2,6;
2021-03-31;104;963,9;21,1;2,6;
2021-04-30;46,4;967,3;19;3,3;
2021-05-31;215,4;967,8;14;2,8;
2021-06-30;138,6;969;12,7;3,3;
2021-07-31;14;970,7;12,5;2,7;
2021-08-31;164,2;968,4;15,6;3,6;
2021-09-30;161,6;965,4;17;3,7;
2021-10-31;239;964,8;18,5;3,6;
2021-11-30;26,6;962,6;22;3,9;
2021-12-31;57;961,9;23,8;4,1;
2022-01-31;60;961,5;25,8;3,6;
2022-02-28;50,4;962,5;24;3;
2022-03-31;220,6;964;20,7;3,3;
2022-04-30;195,6;965,5;18,1;3,3;
2022-05-31;217,8;967,7;13,5;3,1;
2022-06-30;195,2;968;11,9;3,1;
2022-07-31;110,6;966;16,7;3,1;
2022-08-31;88,6;968,7;13,6;3,8;
2022-09-30;55,8;967,4;14,2;3,9;
2022-10-31;109;964,7;17,1;3,5;
2022-11-30;54,6;965,8;20,1;4,2;
2022-12-31;68,2;961,5;23,8;3,5;
2023-01-31;62,8;962,2;24,7;3;
2023-02-28;null;963,5;22,8;2,8;
2023-03-31;133,4;964,4;23,3;2,8;
2023-04-30;27,8;965,5;18,6;3,1;
2023-05-31;null;968,6;16,2;2,1;
