Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;
2010-02-28;null;null;null;null;
2010-03-31;null;null;null;null;
2010-04-30;null;null;null;null;
2010-05-31;null;null;null;null;
2010-06-30;null;null;null;null;
2010-07-31;null;null;null;null;
2010-08-31;null;null;null;null;
2010-09-30;null;null;null;null;
2010-10-31;149,2;911,4;15,9;2,2;
2010-11-30;95,4;909,1;18,7;2,3;
2010-12-31;312,8;908,1;19,8;2,1;
2011-01-31;320;908,4;21,7;1,6;
2011-02-28;279;910,6;21,5;1,9;
2011-03-31;53;911,9;18,9;2,2;
2011-04-30;98,4;912,9;18,6;1,7;
2011-05-31;31,6;914,6;14,9;1,7;
2011-06-30;106,8;913,8;12,8;1,7;
2011-07-31;111,8;914,3;14,6;1,6;
2011-08-31;240,8;913,5;14,7;2,4;
2011-09-30;59,4;915,7;15;2,2;
2011-10-31;179,2;911;17,4;2,4;
2011-11-30;66,8;911,4;17,6;2,3;
2011-12-31;109,4;909,4;19,8;2,2;
2012-01-31;77,8;910,3;20,2;2,1;
2012-02-29;186,6;911,2;22,1;1,8;
2012-03-31;44;912,3;20,3;2;
2012-04-30;167,6;912;18,3;1,9;
2012-05-31;59,6;915,2;15,2;1,8;
2012-06-30;null;914,3;14,5;null;
2012-07-31;85;914,5;14,1;2;
2012-08-31;29,4;917,9;16,2;1,8;
2012-09-30;60,4;914,7;16,9;2,3;
2012-10-31;137,2;911,5;19,1;2,2;
2012-11-30;62,4;910,5;19;2,3;
2012-12-31;234,4;909,5;22,3;2,2;
2013-01-31;73,2;911,3;19,8;2,3;
2013-02-28;188,6;911;21,1;2,1;
2013-03-31;128;912,1;19,5;2,2;
2013-04-30;50,4;913,4;17,8;1,5;
2013-05-31;66,4;913,6;16,5;1,4;
2013-06-30;293,6;914;15;1,3;
2013-07-31;null;915,5;14,1;1,4;
2013-08-31;null;914,4;15,6;1,9;
2013-09-30;179,4;913,8;16,4;1,6;
2013-10-31;97,4;912,8;17,4;2,2;
2013-11-30;91,8;911,3;18,8;2,2;
2013-12-31;49,2;909,2;21;2;
2014-01-31;243,2;912;22,8;1,7;
2014-02-28;110,6;911,9;22,6;1,8;
2014-03-31;214,8;912,2;20,4;1,7;
2014-04-30;76;913,8;18,2;1,5;
2014-05-31;84,8;913,7;16,1;1,5;
2014-06-30;203,6;914,7;15,7;1,7;
2014-07-31;null;null;15,2;null;
2014-08-31;null;null;null;null;
2014-09-30;null;null;null;null;
2014-10-31;null;912,4;20,3;1,8;
2014-11-30;115;911,1;19,3;2;
2014-12-31;150,2;910,8;21;2,1;
2015-01-31;173,2;912,4;22,7;1,9;
2015-02-28;244,8;911,2;21,2;1,7;
2015-03-31;197;912,1;20,1;1,5;
2015-04-30;54;913,4;18,4;1,5;
2015-05-31;117;914,7;16,1;1,6;
2015-06-30;77,2;916,6;15,2;1,7;
2015-07-31;181;914,8;15,2;1,7;
2015-08-31;26,4;915,2;17,6;1,7;
2015-09-30;105,6;911,7;18,3;1,9;
2015-10-31;217,2;912,7;18,2;2,2;
2015-11-30;241,4;910,2;18,9;2,1;
2015-12-31;265,2;910,9;21,4;2,1;
2016-01-31;178,4;910,6;21,2;2,2;
2016-02-29;312,2;911,7;22,1;2;
2016-03-31;96,2;913;20,5;2,1;
2016-04-30;143,2;912,9;22;1,7;
2016-05-31;157,4;914,8;15,2;1,8;
2016-06-30;null;null;13,4;null;
2016-07-31;null;915;15,3;2;
2016-08-31;null;913,9;16;1,9;
2016-09-30;89;914,4;15,8;2,2;
2016-10-31;179,4;912,3;16,9;2,4;
2016-11-30;109;911,3;18,3;2,2;
2016-12-31;82,8;910,5;20,8;2,1;
2017-01-31;199,8;911,1;21,8;2;
2017-02-28;94,6;911,3;22,6;1,8;
2017-03-31;49,4;912,8;19,9;2;
2017-04-30;73,8;913,8;17,7;2;
2017-05-31;94,4;913,9;16,8;1,7;
2017-06-30;192,4;915,7;15,4;2;
2017-07-31;null;919,9;14,7;1,5;
2017-08-31;96,6;915;15,8;2,1;
2017-09-30;42,4;915,7;19,2;2,1;
2017-10-31;229;911,5;18;2,4;
2017-11-30;137;910,1;18,5;2,3;
2017-12-31;155;909,8;20,5;2,1;
2018-01-31;383,4;910,7;20,7;2,3;
2018-02-28;97,4;911,2;20;2;
2018-03-31;328,2;910,7;21,3;1,7;
2018-04-30;22,8;914,8;19,4;1,5;
2018-05-31;26,2;915,4;17,2;1,7;
2018-06-30;null;915,4;15,4;1,6;
2018-07-31;4,2;915,1;16,8;1,6;
2018-08-31;47;915,7;15;1,8;
2018-09-30;50,8;912,2;17,1;1,8;
2018-10-31;278,4;911,8;17,2;1,9;
2018-11-30;40,2;911,7;19;2,1;
2018-12-31;120,4;911,2;22;2,1;
2019-01-31;183,4;912,7;23,5;1,8;
2019-02-28;299,2;911;20,9;1,9;
2019-03-31;66;913,2;20,4;1,8;
2019-04-30;119,2;912,4;19,8;1,3;
2019-05-31;197,4;913,1;17,7;1,4;
2019-06-30;123;916,3;16,5;1,3;
2019-07-31;null;914,9;16;1,7;
2019-08-31;null;917,1;16,2;1,9;
2019-09-30;151,2;914,1;17,5;2;
2019-10-31;90,8;912,6;19,8;2,1;
2019-11-30;99;911;19,2;2;
2019-12-31;70,6;910,8;20,5;1,8;
2020-01-31;208,6;910;21,4;1,8;
2020-02-29;110,8;911,9;20,4;1,5;
2020-03-31;14,6;913,3;20,1;1,8;
2020-04-30;21,2;914,1;18,1;1,8;
2020-05-31;null;914,1;16,3;1,8;
2020-06-30;127;914,6;16,5;1,8;
2020-07-31;null;914,6;15,8;1,9;
2020-08-31;null;915,4;16,3;1,5;
2020-09-30;37,8;914;18,6;2,1;
2020-10-31;128,2;911,9;18,9;2,1;
2020-11-30;211,6;912;18,8;2,1;
2020-12-31;159,4;910,4;20,7;2,1;
2021-01-31;226;910,8;21,2;2;
2021-02-28;72,2;910,1;21,1;1,8;
2021-03-31;148,8;911,2;21,1;1,7;
2021-04-30;11,6;914,1;17,6;1,7;
2021-05-31;126,4;913,8;16,1;1,7;
2021-06-30;null;914,8;14,8;1,5;
2021-07-31;null;null;null;null;
2021-08-31;77;915,6;16,7;1,7;
2021-09-30;66;913,4;18;1,9;
2021-10-31;164,2;912,4;16,2;1,9;
2021-11-30;73,2;910,3;19,2;2,2;
2021-12-31;105,8;909,9;20;2,1;
2022-01-31;274;910,2;21,4;1,4;
2022-02-28;113,6;910,8;21,9;1,5;
2022-03-31;230,4;911,6;21;1,5;
2022-04-30;109;913;17,8;1,2;
2022-05-31;null;913,6;16;1,3;
2022-06-30;null;913,8;14,8;1,4;
2022-07-31;30,4;914,8;16,9;1,5;
2022-08-31;null;914,3;15,8;1,7;
2022-09-30;null;913,7;14,4;2,2;
2022-10-31;138;911,8;17,6;2,1;
2022-11-30;178,6;912,3;16,9;2,2;
2022-12-31;176,2;909,7;20,2;2;
2023-01-31;109,4;910,6;21;1,9;
2023-02-28;130,6;910,9;21;2,1;
2023-03-31;96,2;912,7;21,3;1,8;
2023-04-30;83,6;912,6;17,9;1,8;
2023-05-31;57,4;915,1;16,7;1,3;
2023-06-30;null;916,2;15,5;1,7;
2023-07-31;80,4;916,3;14,6;1,8;
2023-08-31;113,6;914,2;15,8;1,9;
2023-09-30;101;912,8;19,2;2,3;
2023-10-31;445,2;911;17,7;2,1;
2023-11-30;231,2;910,6;20,3;2,2;
2023-12-31;54,2;911,3;22,3;2,2;
2024-01-31;120;911,2;21,6;2,3;
2024-02-29;226;912,7;22,2;1,9;
2024-03-31;46,8;912,7;21,7;1,9;
2024-04-30;127,6;913,2;20,6;1,8;
2024-05-31;128,6;913,5;18,6;2,1;
2024-06-30;51;915;17,6;1,7;
2024-07-31;null;917,2;15,1;1,5;
2024-08-31;41,8;915,9;16;1,7;
2024-09-30;84,8;913,6;19,9;2;
2024-10-31;98,2;912,8;18,5;2,3;
2024-11-30;80;911,2;19,9;2,2;
2024-12-31;60;910;20,4;2,3;
2025-01-31;235,6;910,1;21,2;1,8;
2025-02-28;281;912,2;22,9;1,3;
2025-03-31;74,2;914;21,5;1,4;
2025-04-30;68;913,2;18,5;1,4;
2025-05-31;null;915,9;16,8;1,3;
2025-06-30;null;null;null;null;

