Nome: DIAMANTE DO NORTE
Codigo Estacao: A849
Latitude: -22.63944444
Longitude: -52.89027777
Altitude: 368.22
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;
2010-02-28;null;null;null;null;
2010-03-31;null;null;null;null;
2010-04-30;49,4;972,4;23,1;2,4;
2010-05-31;80,6;973,2;18,7;2,1;
2010-06-30;4,8;975,2;19,6;2,9;
2010-07-31;13,6;974,9;19,8;2,9;
2010-08-31;4,6;974,7;20,7;3,1;
2010-09-30;233,2;970,9;23,4;3,6;
2010-10-31;133,8;970,1;22,4;2,9;
2010-11-30;128,6;967,7;23,7;2,3;
2010-12-31;166,6;965,8;25,1;2,5;
2011-01-31;243,8;966,8;25,9;1,8;
2011-02-28;164,6;968,6;25,3;1,9;
2011-03-31;null;968,7;24,5;2,8;
2011-04-30;null;971,3;23,3;2,4;
2011-05-31;null;974;19,6;2,1;
2011-06-30;null;973,9;17,5;2,4;
2011-07-31;null;973,3;20,1;2,5;
2011-08-31;null;972,9;20,8;2,8;
2011-09-30;null;973,2;22,6;3,2;
2011-10-31;67,6;968,9;23,8;2,8;
2011-11-30;98,6;968,9;24,1;2,7;
2011-12-31;37,8;967,5;25,9;2,1;
2012-01-31;null;null;null;null;
2012-02-29;null;null;26,3;null;
2012-03-31;99,2;970,7;25,1;1,9;
2012-04-30;151,4;970,8;23;1;
2012-05-31;128,2;974;20,2;1,9;
2012-06-30;282,8;973,9;19;,6;
2012-07-31;22,8;974,6;18,8;1;
2012-08-31;2,6;975,8;22,3;2,3;
2012-09-30;116;972,6;24;2,3;
2012-10-31;43,6;969,1;25,8;1,9;
2012-11-30;null;null;25,5;null;
2012-12-31;131,8;967,6;26,7;,8;
2013-01-31;211,2;968,8;25,3;1,2;
2013-02-28;314,4;969,3;25,1;,8;
2013-03-31;226,6;969,9;24,6;1,1;
2013-04-30;273,8;972,2;22,1;,7;
2013-05-31;60,2;972,8;20,9;,8;
2013-06-30;182,8;973,7;19,6;,7;
2013-07-31;58,6;976;18,1;1,2;
2013-08-31;1,6;974,4;19,1;1,5;
2013-09-30;54,4;972,3;22,3;1,8;
2013-10-31;137,4;970,8;23,6;1,5;
2013-11-30;71;968,5;25,7;2,1;
2013-12-31;81,2;966,8;27,1;1,4;
2014-01-31;155,4;970,3;26,2;,6;
2014-02-28;141,6;969,3;26,8;1,3;
2014-03-31;98,2;970,2;24,6;,9;
2014-04-30;2,8;971,9;23,2;1,2;
2014-05-31;4,8;973,1;20;1;
2014-06-30;,6;973,9;19,6;1,3;
2014-07-31;null;976,5;18,4;1,4;
2014-08-31;null;974,4;21,7;1,3;
2014-09-30;186;971,2;23,1;1,8;
2014-10-31;60,4;970,9;25,8;1,6;
2014-11-30;44,8;968,8;24,6;,8;
2014-12-31;0;968,6;25,6;1;
2015-01-31;0;970,6;26,5;,6;
2015-02-28;0;969,3;25,4;,4;
2015-03-31;0;970,2;24,8;,6;
2015-04-30;null;971,6;23,7;,7;
2015-05-31;null;973,7;20,1;,6;
2015-06-30;0;975,7;20;,8;
2015-07-31;0;974,5;18,9;1;
2015-08-31;0;973,5;22,4;1,4;
2015-09-30;null;null;23,6;null;
2015-10-31;null;970,1;25;3;
2015-11-30;285,4;968,2;24,7;2,6;
2015-12-31;null;969,7;25,2;2,6;
2016-01-31;null;967,8;26;2,8;
2016-02-29;41,6;970,1;25,9;2;
2016-03-31;null;971,6;24,5;2,3;
2016-04-30;null;971,4;25,4;2,6;
2016-05-31;null;974,9;18,9;2,3;
2016-06-30;null;976,7;17,1;2,3;
2016-07-31;29,4;974,8;19,4;2,5;
2016-08-31;23,8;973,4;20,7;2,8;
2016-09-30;0;973,8;20,9;2,5;
2016-10-31;97;970,3;23,6;3;
2016-11-30;null;969,1;25,4;2,9;
2016-12-31;95,2;968,9;25,4;2,7;
2017-01-31;52;969,5;25,5;2,3;
2017-02-28;144,2;969,2;26,8;2,4;
2017-03-31;78,6;970,4;25,8;2,7;
2017-04-30;155;972,1;22,4;2,6;
2017-05-31;44;972,5;21,5;2,4;
2017-06-30;,4;975,3;18,7;2,2;
2017-07-31;,8;978,7;18,8;2,8;
2017-08-31;76;973,2;21,5;3;
2017-09-30;25,6;972,8;25,6;3,1;
2017-10-31;null;969,9;24,3;3,4;
2017-11-30;null;968,1;24,2;2,8;
2017-12-31;112;967,8;25,4;2,5;
2018-01-31;55;969;24,8;2,5;
2018-02-28;154,6;969,2;24,6;2,3;
2018-03-31;null;969;25,9;1,9;
2018-04-30;null;973;24,4;2,2;
2018-05-31;37,8;974,3;21,2;2,4;
2018-06-30;34,8;975,6;19,2;1,6;
2018-07-31;null;null;null;null;
2018-08-31;null;null;null;null;
2018-09-30;null;null;null;null;
2018-10-31;null;null;null;null;
2018-11-30;null;968,9;24,8;2,9;
2018-12-31;null;969,5;26,8;2,3;
2019-01-31;null;970,8;27,3;2,4;
2019-02-28;null;969;26,3;2,2;
2019-03-31;null;971,2;25,1;2,1;
2019-04-30;61;971,1;24,1;1,8;
2019-05-31;18,2;972,4;22;2,3;
2019-06-30;32;975,3;21,4;2,6;
2019-07-31;55,8;975,3;19,1;2,5;
2019-08-31;0;975,8;21,7;3,1;
2019-09-30;50,8;971,4;24,8;2,7;
2019-10-31;111,6;969,8;26,6;2,5;
2019-11-30;91,6;968;26,5;2,9;
2019-12-31;245,6;968,8;25;2,2;
2020-01-31;164,2;968;25,9;2,2;
2020-02-29;242,4;969,5;25,5;2,2;
2020-03-31;11,2;970,8;25,7;2,6;
2020-04-30;64,8;973;22,7;1,7;
2020-05-31;59,4;974,4;19,5;1,6;
2020-06-30;null;973,8;21,2;2,7;
2020-07-31;null;null;19,9;null;
2020-08-31;null;null;22,5;null;
2020-09-30;14,6;971,1;26;1;
2020-10-31;91,4;968,8;26,4;,5;
2020-11-30;8;969,5;26;,6;
2020-12-31;null;null;null;null;
2021-01-31;null;null;null;null;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;null;null;null;null;
2021-12-31;null;966,5;27,2;,5;
2022-01-31;null;null;null;null;
2022-02-28;null;968,7;null;,3;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;null;null;null;null;
2022-06-30;null;null;null;null;
2022-07-31;null;null;null;null;
2022-08-31;null;null;null;null;
2022-09-30;null;null;null;null;
2022-10-31;null;null;null;null;
2022-11-30;null;null;null;null;
2022-12-31;52,4;967,5;26;2,8;
2023-01-31;140,6;968,7;25,3;2,6;
2023-02-28;189,4;969,9;24,5;2,4;
2023-03-31;130,2;970,7;25,5;2,3;
2023-04-30;225;971,1;23,2;2,5;
2023-05-31;25,2;974;21,4;2,5;
2023-06-30;82;975,9;19;2,7;
2023-07-31;20,6;975,3;20,7;3,2;
2023-08-31;43,4;972,3;22,7;3,4;
2023-09-30;89,2;970,4;25,3;3,6;
2023-10-31;247,6;968,2;26;3,5;
2023-11-30;116,8;968;26;3,2;
2023-12-31;150,2;968,7;26,9;2,5;
2024-01-31;98,2;968,7;26,7;2,5;
2024-02-29;92,4;970;27,2;2,3;
2024-03-31;46,4;970;27,2;2,5;
2024-04-30;45,8;970,6;26,2;2,6;
2024-05-31;null;null;null;null;
2024-06-30;null;null;null;null;
2024-07-31;null;null;null;null;
2024-08-31;null;null;22,5;null;
2024-09-30;63,2;970,9;25,4;3,4;
2024-10-31;48,8;969,5;26,1;3,3;
2024-11-30;80,2;968;26,7;3,2;
2024-12-31;176,2;967,8;25,6;2,8;
2025-01-31;81;967,7;26,8;2,6;
2025-02-28;95,8;969,8;27;2,3;
2025-03-31;67;971,2;26,8;2,5;
2025-04-30;174,2;971,3;23,4;2,3;
2025-05-31;42,2;974,7;21,6;2,9;
2025-06-30;null;null;null;null;

