Nome: DIONISIO CERQUEIRA
Codigo Estacao: A848
Latitude: -26.286562
Longitude: -53.633114
Altitude: 807.54
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;23,4;null;
2010-02-28;null;null;null;null;
2010-03-31;null;null;null;null;
2010-04-30;306,8;924,6;19;3,4;
2010-05-31;261,8;924,4;14,6;3,7;
2010-06-30;87;926,1;15,6;4,5;
2010-07-31;153,4;926;15,2;4,8;
2010-08-31;27,6;926,1;17,1;4,8;
2010-09-30;123,8;922,8;18;4,3;
2010-10-31;197;922,2;17,7;3,6;
2010-11-30;80,6;920;20;3,2;
2010-12-31;381,4;918,3;21,3;3,7;
2011-01-31;285,4;919,2;22,9;2,9;
2011-02-28;231,2;920,9;21,8;3,2;
2011-03-31;110,4;921,8;21,5;3,9;
2011-04-30;137,8;923,4;19,4;3,5;
2011-05-31;37,2;925,6;15,9;3,3;
2011-06-30;179,8;924,3;14,4;4,5;
2011-07-31;251,2;924,2;16,1;4,2;
2011-08-31;180,6;923,6;16,6;4,9;
2011-09-30;204,2;925,2;17,7;4,2;
2011-10-31;251,8;921,1;19,4;4;
2011-11-30;149,6;921,3;20,3;3,7;
2011-12-31;76,2;920;22;3,1;
2012-01-31;96,6;920,4;23;3,5;
2012-02-29;null;null;null;null;
2012-03-31;null;null;null;null;
2012-04-30;null;null;null;null;
2012-05-31;null;null;null;null;
2012-06-30;null;null;null;null;
2012-07-31;150,6;925,2;13,8;3,7;
2012-08-31;7,4;927,3;18,8;4,5;
2012-09-30;84;924,5;19,2;4,1;
2012-10-31;353,8;921,4;19,9;3,7;
2012-11-30;148;920,5;21,9;2,5;
2012-12-31;274,2;919,6;22,9;2,9;
2013-01-31;142,2;921,7;22,1;2,1;
2013-02-28;null;921,3;null;null;
2013-03-31;null;null;null;null;
2013-04-30;null;null;null;null;
2013-05-31;null;null;null;null;
2013-06-30;307,2;924,5;15,1;3,2;
2013-07-31;66,2;926,7;14,3;4,1;
2013-08-31;118;925,3;14,1;4,4;
2013-09-30;191;924,1;17,2;4,2;
2013-10-31;144;922,9;18,9;3,8;
2013-11-30;168,8;920,9;21,1;4,4;
2013-12-31;173,2;919,5;22,6;3,3;
2014-01-31;172;922,3;23,2;3,6;
2014-02-28;141,4;922,1;23,8;3,8;
2014-03-31;305,4;922,4;20,8;3,5;
2014-04-30;214,8;924,1;19;3,7;
2014-05-31;264,2;924,4;16,1;3,8;
2014-06-30;410,2;924,4;15,2;4,2;
2014-07-31;166,2;927,2;14,8;4,7;
2014-08-31;27,4;925,9;17,7;4,4;
2014-09-30;493,4;922,7;18,8;4,7;
2014-10-31;135,4;923,2;22,3;4,1;
2014-11-30;254;921,2;21,4;3,6;
2014-12-31;269,4;920,9;21,8;3,8;
2015-01-31;324;922,9;22,8;3,6;
2015-02-28;null;null;null;null;
2015-03-31;null;null;null;null;
2015-04-30;null;null;null;null;
2015-05-31;null;null;null;null;
2015-06-30;null;null;null;null;
2015-07-31;null;null;null;null;
2015-08-31;null;null;18,9;null;
2015-09-30;201;921,8;19,3;3,8;
2015-10-31;162;922,1;20,5;3,6;
2015-11-30;330,4;920,2;20,2;3,4;
2015-12-31;471,6;921;21,6;3,7;
2016-01-31;250,2;920,5;23,6;3,3;
2016-02-29;381,2;922;22,9;2,9;
2016-03-31;94;923,8;20,3;2,8;
2016-04-30;null;923,6;21,3;3,6;
2016-05-31;null;925,9;14,6;2,7;
2016-06-30;null;927,8;12;3,1;
2016-07-31;null;925,5;15,1;4;
2016-08-31;null;924,7;16,4;4;
2016-09-30;65,6;925,5;16,7;3;
2016-10-31;163,4;922,2;18,8;3,9;
2016-11-30;115,8;921,8;20,5;3,1;
2016-12-31;268,6;920,9;21,4;2,5;
2017-01-31;135,6;921,7;22,8;2,9;
2017-02-28;143,4;921,7;23;3,2;
2017-03-31;158,4;923,1;21,5;3,2;
2017-04-30;132,6;923,9;18,4;3,4;
2017-05-31;306,6;923,8;17,6;3,8;
2017-06-30;115,4;925,8;15,2;3,7;
2017-07-31;9,4;929,8;15,8;4;
2017-08-31;284,6;924,6;17,6;4,4;
2017-09-30;61,4;925,2;21,7;3,4;
2017-10-31;567,6;921,2;19,1;2,7;
2017-11-30;346,8;920,4;20;1,9;
2017-12-31;178,4;920,1;22,7;1,8;
2018-01-31;319,2;921;21,8;2,2;
2018-02-28;151,4;921,6;21,6;1,7;
2018-03-31;268,2;921,4;21,9;1,5;
2018-04-30;null;null;null;null;
2018-05-31;93,2;925,9;17,6;2,4;
2018-06-30;144;926,3;13,8;2,7;
2018-07-31;25,6;926;16;2,9;
2018-08-31;101,2;926,4;14,3;3;
2018-09-30;232,2;922,6;18,2;2,9;
2018-10-31;278,6;921,7;18,8;3,1;
2018-11-30;163,4;921,4;21,5;3,5;
2018-12-31;107,4;922;22,6;3,1;
2019-01-31;124;922,9;24;3,4;
2019-02-28;234,2;921,6;22;3,3;
2019-03-31;164,2;923,7;21;3,1;
2019-04-30;295,6;923,3;20,1;2,4;
2019-05-31;494,2;923,7;17,5;3,3;
2019-06-30;45,2;926,4;17,6;4,6;
2019-07-31;38,6;926,4;14,5;4;
2019-08-31;9,6;927,5;16,3;4,5;
2019-09-30;67,2;923,6;19,6;4,1;
2019-10-31;198;922,4;21,8;3;
2019-11-30;248;920,7;22,2;1,8;
2019-12-31;119,6;921,2;22;1,5;
2020-01-31;284,6;920,5;22,9;,9;
2020-02-29;121,4;922,3;22,1;1,7;
2020-03-31;63,8;923,6;23,1;1,4;
2020-04-30;61,2;925,3;18,8;1,5;
2020-05-31;238,6;925,4;15,7;2,3;
2020-06-30;191,8;924,3;16;3,8;
2020-07-31;134,4;925;15,1;3,1;
2020-08-31;153,8;925,5;17,4;3,1;
2020-09-30;10,6;923,4;21;1,7;
2020-10-31;68,2;921,8;22,2;,8;
2020-11-30;70,6;922,2;21,8;,6;
2020-12-31;142;920,7;22,6;,6;
2021-01-31;null;null;22,6;null;
2021-02-28;null;null;22,5;null;
2021-03-31;121,6;922;22,1;,2;
2021-04-30;39,8;924,8;19,2;,5;
2021-05-31;105,6;925,1;16,6;,6;
2021-06-30;180,2;926;14,4;1;
2021-07-31;73;927,9;14,3;1,2;
2021-08-31;34,8;925,9;18;,6;
2021-09-30;139;923,1;20,4;,9;
2021-10-31;323;922,3;18,8;1,9;
2021-11-30;137,6;920,8;21,9;0;
2021-12-31;34,4;919,9;24,3;,6;
2022-01-31;257,8;920,4;24,1;2;
2022-02-28;96,6;921,3;23,7;2,8;
