Nome: DOM PEDRITO
Codigo Estacao: A881
Latitude: -31.0025
Longitude: -54.61805554
Altitude: 150
Situacao: Operante
Data Inicial: 2010-04-22
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-04-30;null;null;null;null;
2010-05-31;86,8;999,3;15,4;3,3;
2010-06-30;46;1000,5;13,1;3,4;
2010-07-31;229,2;1000,1;11,9;3,7;
2010-08-31;17,6;1000,9;12,6;3,8;
2010-09-30;119,4;996,8;15,8;3,5;
2010-10-31;17,8;996,9;16,9;3,5;
2010-11-30;24,8;993,7;19,9;3,9;
2010-12-31;54;990,7;24,2;3,8;
2011-01-31;91,4;990,9;25,8;3,3;
2011-02-28;93,8;993,5;23,9;3,7;
2011-03-31;41,2;995,6;22,2;3,3;
2011-04-30;108,6;996,3;19,1;2,8;
2011-05-31;64,4;1000,1;14,6;3,1;
2011-06-30;133,2;998,3;12,2;3,5;
2011-07-31;98,6;999,4;11,1;3,5;
2011-08-31;60,8;997,9;12,7;4;
2011-09-30;71,4;1000;15,2;3,6;
2011-10-31;144,6;995;17,6;3,6;
2011-11-30;27,2;994,8;21,4;3,5;
2011-12-31;39,4;992,9;21,9;3,7;
2012-01-31;25,6;993,1;25;3,8;
2012-02-29;197;992,3;24,5;3,5;
2012-03-31;92,8;995,6;21,7;2,7;
2012-04-30;122,8;996,7;17,9;2,6;
2012-05-31;5;999,4;17;2,7;
2012-06-30;42,4;998,8;12,7;3;
2012-07-31;71,8;1000,6;10,1;3,4;
2012-08-31;95,2;1000,2;17,1;4;
2012-09-30;null;null;null;null;
2012-10-31;null;null;19,4;null;
2012-11-30;53,4;994,2;22,4;3,5;
2012-12-31;152,4;990,6;24,1;3,5;
2013-01-31;96,8;994,9;22,7;3,2;
2013-02-28;168,8;993,4;22,7;3,3;
2013-03-31;97,4;996,2;19,6;3,1;
2013-04-30;84,6;997,3;18,3;2,7;
2013-05-31;164,6;997,6;14,3;2,8;
2013-06-30;77,4;998,9;12,5;2,7;
2013-07-31;null;1001,2;11,3;3,2;
2013-08-31;null;null;null;null;
2013-09-30;118;997,8;15,7;4;
2013-10-31;142;996,9;17,9;3,4;
2013-11-30;115,4;993,9;21,1;3,7;
2013-12-31;29,6;991,3;25,3;3,1;
2014-01-31;151,2;993;25,2;3,7;
2014-02-28;253,2;994;23,9;3,7;
2014-03-31;274,4;995;20,3;3;
2014-04-30;40,4;997,9;18,5;3;
2014-05-31;55,6;998,3;14,8;2,5;
2014-06-30;null;999,2;12,6;3,3;
2014-07-31;null;1001,4;13,7;3,1;
2014-08-31;null;999,2;14,4;3,4;
2014-09-30;119,8;996,2;16,2;3,7;
2014-10-31;226,2;996,2;20,2;3,5;
2014-11-30;44,8;994,1;21,7;3,5;
2014-12-31;228,2;992,9;22,7;3,4;
2015-01-31;234,8;994,3;23,7;3,2;
2015-02-28;null;994,2;23,4;2,8;
2015-03-31;null;995,9;22,2;2,7;
2015-04-30;null;997,9;19,4;2,5;
2015-05-31;null;999,4;16,3;2,8;
2015-06-30;null;999,7;13,7;2,9;
2015-07-31;null;999,3;13,4;3;
2015-08-31;null;996,1;17,5;3,9;
2015-09-30;null;995,9;15,2;3,6;
2015-10-31;68,2;996,1;17,2;3,9;
2015-11-30;46,4;993,9;19,6;3,7;
2015-12-31;null;992,5;22,8;3,4;
2016-01-31;34,2;993,2;24,8;3,2;
2016-02-29;78;993,3;25;2,8;
2016-03-31;null;null;null;null;
2016-04-30;null;null;null;null;
2016-05-31;null;null;null;null;
2016-06-30;null;null;null;null;
2016-07-31;null;null;null;null;
2016-08-31;91,4;998,7;14,6;3,3;
2016-09-30;26,8;1000,3;14;3,8;
2016-10-31;121,8;995,7;18,1;3,6;
2016-11-30;114,6;995,2;20,8;3,4;
2016-12-31;92,8;992,3;23,6;3,4;
2017-01-31;152,8;993,3;24,1;3,2;
2017-02-28;159,6;992,6;23,8;2,6;
2017-03-31;184,8;996,1;21,4;3,1;
2017-04-30;170;997,2;18,5;3,2;
2017-05-31;null;null;null;null;
2017-06-30;null;null;null;null;
2017-07-31;null;null;null;null;
2017-08-31;null;null;15,3;null;
2017-09-30;205,4;998,5;16,3;3,8;
2017-10-31;216,8;994,3;18,1;4,2;
2017-11-30;50,6;993,9;20,2;3,7;
2017-12-31;79,2;992,4;24,4;3,4;
2018-01-31;121,4;992,7;24,3;3,3;
2018-02-28;38,6;994,5;23,3;3;
2018-03-31;109,2;993,9;21,4;2,9;
2018-04-30;79;997,7;22;3;
2018-05-31;151,2;999,2;16,2;2,8;
2018-06-30;52,6;1000,7;10,8;2,9;
2018-07-31;null;1000,4;12;3,5;
2018-08-31;null;1001,1;12,1;3,5;
2018-09-30;null;996,6;17,7;3,8;
2018-10-31;null;996,7;18,4;4,2;
2018-11-30;196,4;994,7;22;4,3;
2018-12-31;172,8;994,5;22,6;3,7;
2019-01-31;429,8;994,3;24,4;3,7;
2019-02-28;67,6;995,1;23,1;3,5;
2019-03-31;15,2;997,4;21,3;3,6;
2019-04-30;196,8;997;19,7;3,2;
2019-05-31;183,2;998,3;16,9;3,2;
2019-06-30;27;999,1;16,9;3,7;
2019-07-31;173,2;1001,2;11,6;3,4;
2019-08-31;88,4;1003;13;3,8;
2019-09-30;84,8;999,2;14,9;3,5;
2019-10-31;338,8;996,4;18,8;4,5;
2019-11-30;72,8;994,6;21,8;3,7;
2019-12-31;17,4;993,6;23,7;3,7;
2020-01-31;103,8;993,4;24,4;3,6;
2020-02-29;35,8;995,6;23,7;3,9;
2020-03-31;39,8;996,6;24,4;3,4;
2020-04-30;59,2;999,3;18,7;3,6;
2020-05-31;146,4;998,9;15;3,5;
2020-06-30;200,8;997,6;14,4;3,8;
2020-07-31;44;999,7;11,8;3,7;
2020-08-31;63,4;1000,2;15,1;3,7;
2020-09-30;110;998,6;15,1;3,8;
2020-10-31;63,8;996,8;18,2;4,3;
2020-11-30;null;null;null;null;
2020-12-31;null;null;null;null;
2021-01-31;null;null;null;null;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;997,8;17,3;3,8;
