Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;null;null;19,7;null;
2018-04-30;247;968,9;20,9;2,1;
2018-05-31;56,6;969,6;15,7;2,5;
2018-06-30;123,2;969,9;10,9;2,4;
2018-07-31;214;970;11,6;3;
2018-08-31;150,2;970,6;12;2,9;
2018-09-30;304,6;967,2;16,7;2,9;
2018-10-31;94,4;966,8;17,1;3,1;
2018-11-30;138,6;965,4;20,6;2,9;
2018-12-31;161,2;965;21,5;2,7;
2019-01-31;205,2;965,4;23,8;2,8;
2019-02-28;55;965,6;22,3;2,4;
2019-03-31;71,4;967,7;20,5;2,7;
2019-04-30;null;null;null;null;
2019-05-31;189,2;968,4;16,3;2,7;
2019-06-30;58;969,6;16,4;2,5;
2019-07-31;263,4;970,5;11,8;2,6;
2019-08-31;119,8;972,5;12,9;2,9;
2019-09-30;102,8;968,8;14,6;2,9;
2019-10-31;354;966,8;18,3;3,1;
2019-11-30;110,4;965,2;20,4;2,7;
2019-12-31;52,4;964,2;23,2;2,6;
2020-01-31;117,4;964,2;23;2,6;
2020-02-29;9,4;966,3;22,6;2,6;
2020-03-31;29;967,6;23;2,4;
2020-04-30;40,2;969;18,3;2,7;
2020-05-31;171,2;968,3;15,1;2,6;
2020-06-30;151,6;967,6;13,8;2,7;
2020-07-31;135;968,8;11,6;2,8;
2020-08-31;85,8;970,2;14,7;2,8;
2020-09-30;228,4;968,3;14,7;2,9;
2020-10-31;105,4;966,6;17,1;3,2;
2020-11-30;72,8;967,2;19,4;2,9;
2020-12-31;68;964,5;21,5;2,8;
2021-01-31;null;964;23;2,6;
2021-02-28;148,8;964,8;21,8;2,2;
2021-03-31;null;965,5;null;2,5;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;261,6;967,5;15,5;3;
2021-10-31;77;967,2;17,5;2,8;
2021-11-30;68,6;964,8;19,9;3;
2021-12-31;46,6;965;21,3;2,9;
2022-01-31;74,6;963,9;24,8;2,8;
2022-02-28;144,8;964,4;22,9;2,5;
2022-03-31;119,6;965,7;20,1;2,9;
2022-04-30;202,4;967,4;17,3;2,4;
2022-05-31;110,4;968,8;13,3;2,6;
2022-06-30;122;969,3;11;2,4;
2022-07-31;181,8;967,3;14,5;2,3;
2022-08-31;114,4;970,7;12,7;2,7;
2022-09-30;74,6;969,4;13,9;2,8;
2022-10-31;107,2;966,6;16,4;2,8;
2022-11-30;55,8;968,4;19,3;2,6;
2022-12-31;42;963,9;22,4;2,8;
2023-01-31;64,4;964,3;24,2;2,4;
2023-02-28;149,6;964,6;22,9;2,4;
2023-03-31;176,4;966,1;23,2;2,3;
2023-04-30;41,4;967,4;17,9;2,5;
2023-05-31;218,4;969,6;16,5;2;
2023-06-30;125,2;970,3;14,2;2,3;
2023-07-31;219,2;970,3;12,7;2,7;
2023-08-31;105,6;967,8;14,6;2,4;
2023-09-30;505,6;965,8;15,7;3,2;
2023-10-31;172,4;965,5;16,6;2,9;
2023-11-30;263,8;963,7;19,3;2,7;
2023-12-31;116,8;964,6;22;2,9;
2024-01-31;95,8;965,6;22,3;2,7;
2024-02-29;94,2;966,3;23,8;2,4;
2024-03-31;73;965,9;22,1;2,3;
2024-04-30;null;null;null;null;
2024-05-31;null;null;null;null;
2024-06-30;null;966,6;15,3;2,8;
2024-07-31;76,2;973,3;11,6;2,4;
2024-08-31;129,4;969,6;13,5;2,8;
2024-09-30;242;966,6;16,7;2,8;
2024-10-31;163,6;966,7;18,4;2,8;
2024-11-30;45;965,1;21;2,9;
2024-12-31;105,4;963,7;20,1;3,1;
2025-01-31;51,4;963,6;23,1;2,6;
2025-02-28;145,2;964,9;24,7;2,2;
2025-03-31;71,2;967,7;22,8;2,3;
2025-04-30;94,8;968;17,6;2,3;
2025-05-31;283,4;969,6;16;2;
2025-06-30;null;null;null;null;

