Nome: ERECHIM
Codigo Estacao: A828
Latitude: -27.65777777
Longitude: -52.30583333
Altitude: 777.08
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;157,6;924,8;21,7;2;
2010-02-28;140,2;925,6;22,8;2,1;
2010-03-31;115,4;925,8;20,5;1,7;
2010-04-30;242;929,2;17,4;2,1;
2010-05-31;187,8;928,9;13,8;1,9;
2010-06-30;85,2;930,7;13,5;2,4;
2010-07-31;195,2;930,8;13;2,5;
2010-08-31;64,4;930,8;13,9;2,5;
2010-09-30;195,4;927,5;15,5;2,4;
2010-10-31;107,8;926,6;16;2,1;
2010-11-30;114,6;924;18,8;2,1;
2010-12-31;262,8;922,7;20,5;2,3;
2011-01-31;129,8;923,2;22,4;1,7;
2011-02-28;205,4;925,2;21,3;1,9;
2011-03-31;160,6;926,6;19,9;2,1;
2011-04-30;100,6;927,8;18,2;1,9;
2011-05-31;84,4;930,1;14;2;
2011-06-30;248,2;928,9;11,7;2,3;
2011-07-31;292;928,9;13;2,3;
2011-08-31;237,2;928,2;13,6;2,8;
2011-09-30;100,6;930;15,1;2,4;
2011-10-31;149,8;925,6;17,9;2,4;
2011-11-30;116,8;926;19,2;2,2;
2011-12-31;16,4;924,1;20,7;2,2;
2012-01-31;70,6;924,9;21,6;2,1;
2012-02-29;21,2;925,7;23,1;2,1;
2012-03-31;3;927,4;20,3;1,9;
2012-04-30;25;927,3;17,8;1,9;
2012-05-31;20,4;930,5;15,1;2,1;
2012-06-30;172,6;929,5;13;2;
2012-07-31;240,6;929,7;12,2;2,4;
2012-08-31;13,4;932,2;16,8;2,5;
2012-09-30;113,8;929,2;16,6;2,5;
2012-10-31;108,4;926;18,3;2,5;
2012-11-30;40,2;925,2;21,1;2,1;
2012-12-31;177,2;923,8;22,6;2,4;
2013-01-31;152;926,2;20,7;2,1;
2013-02-28;188,2;925,7;20,8;2;
2013-03-31;183,8;927,2;18,3;2;
2013-04-30;127,8;928,7;17,6;1,9;
2013-05-31;113,2;928,7;14,8;2;
2013-06-30;150;929,1;13,4;1,9;
2013-07-31;94,2;931,3;12,4;2;
2013-08-31;318;930;12,6;2,2;
2013-09-30;188,2;928,8;15,3;2,1;
2013-10-31;179;927,6;17,2;2;
2013-11-30;148,8;925,6;20,2;2,5;
2013-12-31;149,6;923,9;22,3;1,8;
2014-01-31;202,6;926,6;22,5;2;
2014-02-28;232,6;926,8;22,4;2,1;
2014-03-31;232,4;927;19,6;1,9;
2014-04-30;null;929,1;18,6;1,8;
2014-05-31;null;null;null;null;
2014-06-30;null;null;null;null;
2014-07-31;null;932,1;13,3;2,1;
2014-08-31;null;930,6;15,3;2,2;
2014-09-30;289,2;927,5;16,9;2,3;
2014-10-31;115,6;928,1;19,5;2,1;
2014-11-30;159,4;925,9;20,6;1,6;
2014-12-31;200;925,4;21,4;1,9;
2015-01-31;307,6;927,3;21,5;1,9;
2015-02-28;207,2;926,2;21,2;1,7;
2015-03-31;25,8;927,3;20,8;1,6;
2015-04-30;17,6;928,8;18,3;1,7;
2015-05-31;null;930,4;14,4;1,8;
2015-06-30;null;931,9;14,3;2,2;
2015-07-31;null;null;13,1;null;
2015-08-31;51,2;929,3;18,2;2,3;
2015-09-30;288,8;926,3;16,9;2;
2015-10-31;248,8;926,9;18,8;2,1;
2015-11-30;236;924,9;19,4;1,9;
2015-12-31;435,6;925,4;21,2;1,8;
2016-01-31;null;925,4;22,8;1,9;
2016-02-29;null;926,5;22,3;1,6;
2016-03-31;null;928,2;19,5;1,7;
2016-04-30;64;928,1;20,3;1,9;
2016-05-31;null;null;14;null;
2016-06-30;null;null;null;null;
2016-07-31;null;929,6;12,3;2,2;
2016-08-31;179,2;929,5;14,5;1,9;
2016-09-30;55,6;930,2;14,8;2;
2016-10-31;227,6;927;17,4;2,2;
2016-11-30;61;926,5;19,5;2;
2016-12-31;173,8;925,4;21,1;1,6;
2017-01-31;228;926,3;21,8;1,6;
2017-02-28;151;926,3;22,1;1,6;
2017-03-31;157,8;927,9;20,3;1,6;
2017-04-30;191,4;929;17,2;1,6;
2017-05-31;454;929,3;15,9;1,5;
2017-06-30;null;930,7;13,6;1,4;
2017-07-31;11;935,1;13,9;1,3;
2017-08-31;null;930,6;15,3;1,9;
2017-09-30;null;930,1;19,8;1,6;
2017-10-31;113,4;926,2;17,6;1,6;
2017-11-30;53;925,2;18,8;1,5;
2017-12-31;22,8;924,7;22,1;1,3;
2018-01-31;102,6;925,5;21,2;,9;
2018-02-28;null;925,6;20,8;null;
2018-03-31;null;925,2;21,4;,7;
2018-04-30;null;null;null;null;
2018-05-31;76,4;930,8;15,8;0;
2018-06-30;112,8;931;12,4;0;
2018-07-31;89,2;930,8;14,2;0;
2018-08-31;80;931,3;12,1;0;
2018-09-30;185;927,6;16,6;0;
2018-10-31;226,2;926,8;17,6;0;
2018-11-30;184;926,4;20,4;0;
2018-12-31;123,2;926,6;21,7;0;
2019-01-31;232,4;927,6;23,3;0;
2019-02-28;193,8;926,6;21;0;
2019-03-31;214;928,6;19,7;0;
2019-04-30;147,8;928;19,2;0;
2019-05-31;270,6;928,6;16,5;0;
2019-06-30;38,2;931,4;16,2;0;
2019-07-31;137,4;931,3;12,8;0;
2019-08-31;38,2;932,7;14;0;
2019-09-30;60,6;928,8;17,3;1,3;
2019-10-31;193,4;927,6;19,8;2,3;
2019-11-30;129,8;925,9;20,9;2,3;
2019-12-31;113,4;925,9;21,8;2;
2020-01-31;132,2;925,4;21,7;1,9;
2020-02-29;91,2;927,4;21,1;1,9;
2020-03-31;27,8;928,6;22;1,8;
2020-04-30;67,6;930,2;17,3;1,8;
2020-05-31;146;930,2;14,2;1,9;
2020-06-30;205,6;929,3;14,2;2,3;
2020-07-31;218,8;929,9;12,9;2,3;
2020-08-31;95,8;930,8;15,4;2,2;
2020-09-30;67;928,6;18,1;2,3;
2020-10-31;18,2;926,9;20;2,3;
2020-11-30;133,8;927,3;20;2,2;
2020-12-31;144,4;925,5;21,9;2,1;
2021-01-31;310,4;925,8;21,4;2;
2021-02-28;32,6;926,2;20,4;1,8;
2021-03-31;95,6;926,9;20,7;1,8;
2021-04-30;5,4;930,1;17,9;1,7;
2021-05-31;115,6;930;14,1;1,7;
2021-06-30;183,4;931,1;12,3;1,8;
2021-07-31;46,8;932,9;12,1;1,7;
2021-08-31;32,2;931;16,3;1,7;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;63,8;925,7;20,7;1,7;
2021-12-31;26,2;925;22,8;1,7;
2022-01-31;202;925,5;23,4;1,7;
2022-02-28;null;null;null;null;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;null;null;null;null;
2022-06-30;183,4;929,2;10,8;1,5;
2022-07-31;null;928,3;16,4;2,1;
2022-08-31;null;null;null;null;
2022-09-30;null;null;null;null;
2022-10-31;null;null;null;null;
2022-11-30;63,4;926,9;18,7;1,7;
2022-12-31;null;null;null;null;
2023-01-31;null;null;null;null;
2023-02-28;null;null;null;null;
2023-03-31;null;null;null;null;
2023-04-30;null;null;null;null;
2023-05-31;null;null;null;null;
2023-06-30;null;null;null;null;
2023-07-31;null;929,8;14;2,1;
2023-08-31;94,2;927,9;15,8;2,2;
2023-09-30;216;925,8;18,6;2,7;
2023-10-31;520;924,7;17,8;2,1;
2023-11-30;493,4;923,9;20,2;2,4;
2023-12-31;154,8;925,2;22,3;2;
2024-01-31;154,2;925,3;21,7;2;
2024-02-29;178;926,4;22,9;1,8;
2024-03-31;155;926,7;21,7;1,7;
2024-04-30;255;926,7;20,6;2,1;
2024-05-31;380,4;927,5;15,3;2,2;
2024-06-30;199,2;928,4;16;2,3;
2024-07-31;145,2;931,9;13,2;1,9;
2024-08-31;123,4;929,9;15,3;2,3;
2024-09-30;123,8;926,9;19;2,4;
2024-10-31;212;926,2;19,2;2,2;
2024-11-30;148,8;924,8;21,1;2,2;
2024-12-31;169,2;923,8;20,5;2,1;
2025-01-31;88,8;923,8;22,5;1,8;
2025-02-28;84,4;925,9;23,8;1,8;
2025-03-31;94,4;928;22,4;1,7;
2025-04-30;105,6;927,5;17,7;1,5;
2025-05-31;97,6;930;15,9;1,9;
2025-06-30;null;null;null;null;

