Nome: FOZ DO IGUACU
Codigo Estacao: A846
Latitude: -25.60194444
Longitude: -54.48305554
Altitude: 235.09
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;0;982,5;26;2,8;
2010-02-28;13,4;983,1;26,3;3,3;
2010-03-31;228,2;983,6;24,5;2,2;
2010-04-30;148;987,5;21,3;2,4;
2010-05-31;33,4;988,6;16,9;2,6;
2010-06-30;16,8;989,9;17,5;2,9;
2010-07-31;5,8;990,2;16;3,2;
2010-08-31;0;989,9;17,3;3,3;
2010-09-30;116,8;985,9;20;3,3;
2010-10-31;244;985,4;20,1;2,8;
2010-11-30;null;null;22,1;null;
2010-12-31;328,6;980,2;24,1;2,9;
2011-01-31;168;981;25,9;2;
2011-02-28;119,4;982,8;25,1;2,4;
2011-03-31;39;983,8;25;2,9;
2011-04-30;null;null;21,5;null;
2011-05-31;10,8;989,4;18,2;2,4;
2011-06-30;54,6;988,7;15,9;2,7;
2011-07-31;223,8;988,2;16,7;2,6;
2011-08-31;178,8;987,7;17,9;3,2;
2011-09-30;102;988,4;20;3,1;
2011-10-31;198,4;983,7;22,2;3;
2011-11-30;12;983,8;22,9;2,8;
2011-12-31;2,8;982,2;24,9;2,3;
2012-01-31;55,4;982,2;26,3;2,7;
2012-02-29;21;983,1;27,1;3;
2012-03-31;null;null;null;null;
2012-04-30;null;null;null;null;
2012-05-31;91,8;989,1;18,5;2,6;
2012-06-30;147,6;988,9;16,9;2,6;
2012-07-31;133,6;989,5;15,9;2,6;
2012-08-31;4,8;990,2;21,1;4;
2012-09-30;70,4;987,3;21,2;3,5;
2012-10-31;298,4;983,5;23;3,6;
2012-11-30;111,2;982,5;24,6;2,6;
2012-12-31;214,6;981,1;26,3;3;
2013-01-31;177,8;983,6;25,2;2,6;
2013-02-28;230,8;983,3;24,7;2,7;
2013-03-31;144,2;984,8;22,6;2,6;
2013-04-30;68,4;987,2;20,7;2,3;
2013-05-31;null;988;17,4;2,3;
2013-06-30;null;null;16,2;null;
2013-07-31;null;null;null;null;
2013-08-31;12;989,2;16,5;3,1;
2013-09-30;98,4;987,5;19,5;3;
2013-10-31;14,4;985,7;21,9;2,7;
2013-11-30;43,2;983,2;24,1;3,4;
2013-12-31;null;981,3;25,3;2,5;
2014-01-31;null;984,1;26;2,7;
2014-02-28;null;null;26,1;null;
2014-03-31;242,4;984,8;23,3;2,4;
2014-04-30;null;986,8;21;2,2;
2014-05-31;null;987,8;18,5;2,5;
2014-06-30;null;988,2;17,5;2,6;
2014-07-31;192,4;991,2;16,9;3,4;
2014-08-31;8,6;989,3;19,5;3,3;
2014-09-30;278,4;985,3;21,5;3,7;
2014-10-31;83;985,1;25,1;3,2;
2014-11-30;170,8;983,4;23,6;2,3;
2014-12-31;131,8;983,1;24,7;2,5;
2015-01-31;null;null;null;null;
2015-02-28;null;null;null;null;
2015-03-31;null;null;null;null;
2015-04-30;null;null;null;null;
2015-05-31;null;989,3;18,3;1,7;
2015-06-30;160,2;990,3;18,3;2,8;
2015-07-31;251,2;989;16,5;2,2;
2015-08-31;50,2;987,1;21,6;3,6;
2015-09-30;92,4;984,4;21,6;2,7;
2015-10-31;131,6;984,4;23,3;2,3;
2015-11-30;271;982,5;22,9;2,1;
2015-12-31;314;983;24,4;2,1;
2016-01-31;88,6;982,1;26,1;1,4;
2016-02-29;67,2;983,8;26,1;1,4;
2016-03-31;32,2;986,6;22,8;1;
2016-04-30;19;985,9;23,5;1,3;
2016-05-31;null;null;17;null;
2016-06-30;null;992,7;13,6;,8;
2016-07-31;null;989,5;16,6;1,2;
2016-08-31;null;988,2;18,1;,9;
2016-09-30;null;989,3;18,5;,7;
2016-10-31;null;985;21,5;1,2;
2016-11-30;118;984,4;22,7;,5;
2016-12-31;208,4;983;24,4;,5;
2017-01-31;53,6;983,6;25,9;,3;
2017-02-28;226,8;983,5;25,4;,3;
2017-03-31;120,6;985,2;24,3;,3;
2017-04-30;null;null;null;null;
2017-05-31;null;null;null;null;
2017-06-30;null;null;null;null;
2017-07-31;null;null;null;null;
2017-08-31;171,4;987,3;20,2;3,7;
2017-09-30;20,8;987,4;23,4;3,5;
2017-10-31;465,2;984,1;21,6;3,5;
2017-11-30;285,8;983;22,1;2,7;
2017-12-31;186,6;982;25,5;2,5;
2018-01-31;281,6;983,3;24,6;2,5;
2018-02-28;215,8;983,7;24,4;2,6;
2018-03-31;281,4;983,5;24,1;2,1;
2018-04-30;49,4;987,9;23,4;2,5;
2018-05-31;71;989,1;20,2;3,1;
2018-06-30;null;989,4;16,9;3,1;
2018-07-31;null;989,8;18,9;2,9;
2018-08-31;null;990;18,3;3;
2018-09-30;194,6;985,6;20,2;3;
2018-10-31;438,6;984,3;21,4;3,1;
2018-11-30;131;983,5;24,5;3,1;
2018-12-31;82,2;984;25,5;2,9;
2019-01-31;118,2;984,6;26,9;3,1;
2019-02-28;246,4;983,6;24,9;2,6;
2019-03-31;336;986,1;23,5;2,3;
2019-04-30;null;986;22,1;2,1;
2019-05-31;null;987,1;21,4;2,5;
2019-06-30;null;989,6;20,5;3,2;
2019-07-31;null;null;null;null;
2019-08-31;null;null;null;null;
2019-09-30;null;null;null;null;
2019-10-31;null;984,2;26,9;3,1;
2019-11-30;null;982,4;25,9;2,8;
2019-12-31;null;983,3;null;2,6;
2020-01-31;null;982,4;25,8;2,2;
2020-02-29;null;983,9;26;2,6;
2020-03-31;null;985,7;null;null;
2020-04-30;null;null;null;null;
2020-05-31;null;null;null;null;
2020-06-30;null;null;null;null;
2020-07-31;null;null;null;null;
2020-08-31;null;null;null;null;
2020-09-30;null;null;null;null;
2020-10-31;null;null;null;null;
2020-11-30;null;null;null;null;
2020-12-31;null;null;null;null;
2021-01-31;null;null;null;null;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;62;983;24,5;2,1;
2021-12-31;15;981,4;27,3;2,2;
2022-01-31;94,8;981,8;27,4;2,7;
2022-02-28;54,4;983;26,5;2,6;
2022-03-31;162;984,6;23,8;2,5;
2022-04-30;194,6;986,1;21;2,4;
2022-05-31;null;989,6;16,3;1,8;
2022-06-30;22,2;989;16;2,1;
2022-07-31;null;null;null;null;
2022-08-31;null;null;17,6;null;
2022-09-30;null;987,9;17,6;2,7;
2022-10-31;375,2;985,3;20,6;2,5;
2022-11-30;73,6;985,8;22;2,7;
2022-12-31;53,6;981,9;25,7;1,9;
2023-01-31;218,2;983,1;25,3;1,8;
2023-02-28;238,4;984,1;23,9;2;
2023-03-31;129,8;985,1;24,8;2,1;
2023-04-30;174,2;986,2;20,9;1,9;
2023-05-31;161;989,1;18,8;2;
2023-06-30;null;990,1;17,9;2,5;
2023-07-31;123,2;989,8;18,3;2,4;
2023-08-31;49,6;986,9;19,9;2,6;
2023-09-30;283,8;984,4;22,9;3,3;
2023-10-31;422,4;982,7;22,6;3,1;
2023-11-30;201,2;981,9;24,2;3,1;
2023-12-31;108,6;983,1;25,7;2,2;
2024-01-31;69,2;983;26,3;2,3;
2024-02-29;16;984,2;27,1;2,3;
2024-03-31;null;984,6;26,4;2,3;
2024-04-30;null;984,9;24;2,6;
2024-05-31;null;987,6;18,9;2,4;
2024-06-30;null;987,5;20,1;2,8;
2024-07-31;null;991,6;16,5;2,5;
2024-08-31;null;989,5;18,7;3,4;
2024-09-30;null;985,3;22,7;3,1;
2024-10-31;null;984,2;24,2;2,9;
2024-11-30;null;982,7;25,3;2,6;
2024-12-31;null;982,7;24,6;2,1;
2025-01-31;null;981,9;26,9;2,2;
2025-02-28;null;983,9;27,2;2,3;
2025-03-31;null;986,4;25,9;1,3;
2025-04-30;null;null;null;null;
2025-05-31;null;null;null;null;
2025-06-30;null;null;null;null;

