Nome: FREDERICO WESTPHALEN
Codigo Estacao: A854
Latitude: -27.39555555
Longitude: -53.42944443
Altitude: 489.42
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;195,6;955;23,9;1,9;
2010-02-28;131,4;955,6;24,9;2;
2010-03-31;170,2;956,2;22,4;1,8;
2010-04-30;275,2;959,9;19;1,9;
2010-05-31;205,2;960,2;15,2;1,8;
2010-06-30;93;961,8;15,2;1,6;
2010-07-31;197,4;961,9;14,3;1,8;
2010-08-31;58,4;962;15,3;1,9;
2010-09-30;224,6;958,2;17,5;2,1;
2010-10-31;155,4;957,6;18,2;2;
2010-11-30;75;954,8;20,5;1,8;
2010-12-31;197;952,8;22,6;2,1;
2011-01-31;177,4;953,4;23,9;1,4;
2011-02-28;217,8;955,4;23,3;1,8;
2011-03-31;145,2;956,8;22,1;1,9;
2011-04-30;156,4;958,4;19,8;1,2;
2011-05-31;72,2;961,3;15,7;1,5;
2011-06-30;302,6;960,2;13;1,4;
2011-07-31;376,6;960,1;14,3;1,6;
2011-08-31;215,8;959,3;15,6;2;
2011-09-30;99,6;960,8;17,4;2;
2011-10-31;284,6;956,2;20;2,2;
2011-11-30;78,8;956,3;21,2;1,9;
2011-12-31;63,6;954,5;22,6;1,9;
2012-01-31;121,4;954,9;24,3;2,2;
2012-02-29;null;null;null;null;
2012-03-31;null;null;20,2;null;
2012-04-30;145,8;958;19,2;1,5;
2012-05-31;19,4;961,3;17;1,6;
2012-06-30;125,6;960,7;14,7;1,6;
2012-07-31;209,6;961,1;13,4;1,8;
2012-08-31;17,4;962,6;19,2;2,3;
2012-09-30;98,6;959,8;18,8;2,3;
2012-10-31;298;956,3;20,2;2,2;
2012-11-30;95;955,3;23;2,3;
2012-12-31;272;953,8;24,1;2,1;
2013-01-31;105,8;956,4;23,1;2,3;
2013-02-28;173,6;955,8;22,8;1,9;
2013-03-31;218,8;957,6;20,1;2;
2013-04-30;165,2;959,4;18,9;1,1;
2013-05-31;110,4;959,7;16;,8;
2013-06-30;191,4;960,2;14,6;,7;
2013-07-31;57;962,6;13,9;,2;
2013-08-31;304,6;961,3;13,6;1,2;
2013-09-30;158,4;959,5;17;,4;
2013-10-31;183,6;958,1;19,3;,5;
2013-11-30;146;955,6;22,5;1,3;
2013-12-31;212,2;953,9;24;1,2;
2014-01-31;247,8;956,5;24,3;1,1;
2014-02-28;16,8;956,5;24,6;1,5;
2014-03-31;236,4;957,1;21,3;1,4;
2014-04-30;346;959,3;19,5;1,8;
2014-05-31;226;960;15,9;1,4;
2014-06-30;461;959,9;15,1;1,7;
2014-07-31;129,8;963;15;1,2;
2014-08-31;102,8;961,3;16,9;1,3;
2014-09-30;357,8;957,8;18,8;1,7;
2014-10-31;125,4;958;21,7;1,5;
2014-11-30;242;955,9;22,2;1,5;
2014-12-31;62,2;955,4;23,1;1,4;
2015-01-31;233,2;957,2;23,7;,6;
2015-02-28;55;956,1;23,3;,3;
2015-03-31;81,8;957,4;22,6;,3;
2015-04-30;111,2;959;19,8;,4;
2015-05-31;null;960,9;17,7;,2;
2015-06-30;null;null;14,1;null;
2015-07-31;334,4;960,6;14,9;,3;
2015-08-31;33;959,3;20,1;,5;
2015-09-30;65,8;956,7;18,4;,5;
2015-10-31;188,6;956,9;20,6;,6;
2015-11-30;368;954,9;21;1,1;
2015-12-31;560,4;955,2;23;2;
2016-01-31;214;954,9;25,1;2,1;
2016-02-29;245,4;956,3;24,1;1,6;
2016-03-31;247,4;958,5;21;1,7;
2016-04-30;180,4;958,2;21,5;1,5;
2016-05-31;121;961,6;14,8;1,4;
2016-06-30;30,4;964,1;11;1,2;
2016-07-31;121,4;961,1;14,6;1,7;
2016-08-31;162,2;960;16,3;1,8;
2016-09-30;70,8;961,1;16,4;1,8;
2016-10-31;289,6;957,2;19,3;2;
2016-11-30;116;956,7;21;1,9;
2016-12-31;130,8;955,3;23;1,8;
2017-01-31;164,4;956;24,1;1,7;
2017-02-28;202,8;955,9;24;1,5;
2017-03-31;197;957,8;22,1;1,3;
2017-04-30;344,2;959,2;18,7;1,8;
2017-05-31;423,2;959,1;17,4;1,9;
2017-06-30;232,8;961,3;15,1;1,1;
2017-07-31;15,8;965,6;15,6;,7;
2017-08-31;244,8;959,9;17,3;1,7;
2017-09-30;95,2;960;21,3;1,3;
2017-10-31;394,8;956,3;19,3;1,6;
2017-11-30;185,8;955,3;20,3;1,4;
2017-12-31;null;954,4;23,8;1,4;
2018-01-31;null;null;null;null;
2018-02-28;63,6;956,3;22,8;1,7;
2018-03-31;182;955,8;22,2;,6;
2018-04-30;111;960,2;21,7;,5;
2018-05-31;85;961,1;17,6;,8;
2018-06-30;141,2;962;13,5;,7;
2018-07-31;32,6;961,5;15,5;,7;
2018-08-31;80,6;962,2;13,8;,4;
2018-09-30;191,8;957,6;18,4;1,2;
2018-10-31;298,4;956,8;19,7;,8;
2018-11-30;268,2;956;22,3;1,2;
2018-12-31;null;955,8;22,4;,7;
2019-01-31;207;957;25,1;,5;
2019-02-28;189,4;956,2;22,8;,5;
2019-03-31;170,6;958,5;21,4;,3;
2019-04-30;124;958;20,7;,2;
2019-05-31;326,6;958,8;18,1;,1;
2019-06-30;31;961,6;17,8;,2;
2019-07-31;120;962,2;13,9;0;
2019-08-31;62,2;963,3;15,5;,4;
2019-09-30;54,2;958,9;18,9;2,1;
2019-10-31;187,8;957,2;21,6;2;
2019-11-30;164,2;955,4;23;2;
2019-12-31;84,2;955,6;23,2;1,7;
2020-01-31;172,4;954,8;24,1;1,8;
2020-02-29;85;957;23;1,7;
2020-03-31;32,4;958,2;23,5;1,3;
2020-04-30;100,8;960,5;18,7;1,4;
2020-05-31;131,4;960,8;15,3;1,1;
2020-06-30;170,6;959,5;16,2;1,7;
2020-07-31;183,2;960,5;14,4;1,3;
2020-08-31;75,6;960,9;17,1;1,7;
2020-09-30;43,4;958,4;19,5;2;
2020-10-31;26;956,6;21,9;2;
2020-11-30;133,6;957;22,1;2,2;
2020-12-31;135,2;955,1;23,8;1,8;
2021-01-31;169,4;955,2;23,3;2;
2021-02-28;69,8;956;22,2;1,3;
2021-03-31;99,8;956,7;22,5;1,3;
2021-04-30;18,8;960,1;19,5;1,3;
2021-05-31;108,4;960,6;15,3;1,1;
