Nome: CANGUCU
Codigo Estacao: A811
Latitude: -31.40333333
Longitude: -52.70083333
Altitude: 446.81
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;158;959,9;21,5;5,1;
2010-02-28;108,8;960,1;22,4;5;
2010-03-31;105,8;961,3;20,4;4,8;
2010-04-30;121,6;964,8;17,2;4,8;
2010-05-31;151,4;965,2;14,3;5;
2010-06-30;105;966,3;12;5,5;
2010-07-31;176,2;965,6;12,2;5,7;
2010-08-31;null;967;12,1;5,5;
2010-09-30;29,8;963,2;13,9;5,4;
2010-10-31;6;963;14,7;4,7;
2010-11-30;41,8;960;16,9;4,9;
2010-12-31;168,6;958,3;20,6;5,4;
2011-01-31;173,8;958,6;22,2;4,8;
2011-02-28;180,6;960,9;21;4,9;
2011-03-31;64,6;962,9;19,4;5,1;
2011-04-30;131,2;962,8;17,4;4,4;
2011-05-31;3,4;965,8;13,5;4,8;
2011-06-30;11,2;963,5;11,4;5;
2011-07-31;null;964,8;11,1;5,3;
2011-08-31;null;963,5;11,7;6,1;
2011-09-30;6,4;966,3;13,2;5,6;
2011-10-31;114,2;961,3;15,4;4,9;
2011-11-30;116,4;962,1;18,2;5,3;
2011-12-31;31,8;959,9;18,4;4,9;
2012-01-31;56,6;960,8;20,8;5,3;
2012-02-29;135,2;959,5;22,5;4,9;
2012-03-31;11,4;962,2;20,3;4,3;
2012-04-30;null;962,8;16,2;4,1;
2012-05-31;8;965,9;16,3;4,4;
2012-06-30;105,8;964,3;12;4,6;
2012-07-31;122,8;965,4;9,2;5,1;
2012-08-31;138,4;966,9;16;5,5;
2012-09-30;163,4;964,6;14,2;5,8;
