Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;178,8;901,1;20,4;1,5;
2010-02-28;134;902;21;1,3;
2010-03-31;220;901,7;18,5;,9;
2010-04-30;null;905,4;15,6;,7;
2010-05-31;null;904,1;12,6;,8;
2010-06-30;null;null;10,7;null;
2010-07-31;null;906,2;11,7;,7;
2010-08-31;null;906,1;12,7;1,1;
2010-09-30;null;903,7;15,7;1,4;
2010-10-31;null;901,8;15,4;1;
2010-11-30;133,8;899,7;17,5;1,1;
2010-12-31;null;899,1;19,3;1,1;
2011-01-31;342,2;899,3;20,5;,8;
2011-02-28;null;901,1;20,6;,9;
2011-03-31;null;902,6;18,7;1,2;
2011-04-30;30,2;903,7;16,4;,7;
2011-05-31;70,8;905,3;12,4;,7;
2011-06-30;102,8;904,3;10;,7;
2011-07-31;null;904,3;12,5;,7;
2011-08-31;null;904,8;13,5;1,1;
2011-09-30;null;906,5;14,2;1,1;
2011-10-31;null;901,7;16,5;1,2;
2011-11-30;null;902;17,5;1,2;
2011-12-31;80,6;900;18,2;1,1;
2012-01-31;200,8;900,8;19,5;1;
2012-02-29;132,2;901,9;21;,8;
2012-03-31;51,2;903,1;18,1;,7;
2012-04-30;253;902,8;16,2;,6;
2012-05-31;66,2;905,9;13,2;,7;
2012-06-30;170;904,8;12,5;,6;
2012-07-31;50,8;904,9;11,5;,8;
2012-08-31;21;908,1;14,9;1;
2012-09-30;146;905;15,4;1,3;
2012-10-31;179,2;902,1;17,9;1,1;
2012-11-30;5,4;901;19,3;1,1;
2012-12-31;71,8;900,1;21,4;1;
2013-01-31;143,4;901,9;19,6;,8;
2013-02-28;44,2;901,5;20,2;,8;
2013-03-31;330,6;902,7;18,2;,8;
2013-04-30;41;904,2;15,6;,4;
2013-05-31;170;904,2;14,2;,6;
2013-06-30;407,8;904,4;13,2;1;
2013-07-31;91,2;906,5;11,7;1,2;
2013-08-31;144,2;905,1;13;1,5;
2013-09-30;263,8;904,3;15,3;1,4;
2013-10-31;113,6;903,1;17,5;1,7;
2013-11-30;107;901,7;19,4;1,9;
2013-12-31;203,8;899,9;20,6;1,5;
2014-01-31;197;902,7;21,4;1,3;
2014-02-28;164;902,8;21,4;1,3;
2014-03-31;201,8;902,8;19;1,3;
2014-04-30;100,4;904,4;17,6;1,2;
2014-05-31;155,4;904,3;14,1;1,1;
2014-06-30;384,8;904,7;13,7;1,1;
2014-07-31;86,8;907,4;12,4;1,2;
2014-08-31;75,6;906,1;13,9;1,3;
2014-09-30;301;903,6;16,6;1,6;
2014-10-31;45,4;904,1;18,9;1,5;
2014-11-30;192,2;901,5;19,3;1,3;
2014-12-31;174,6;901,3;20,4;1,4;
2015-01-31;93,8;903,1;21,5;1,3;
2015-02-28;57;901,9;20,5;1;
2015-03-31;34,6;902,8;19,8;1,1;
2015-04-30;22,4;904,1;17,1;1;
2015-05-31;29,2;905,2;14,5;,9;
2015-06-30;null;906,9;12,6;1,1;
2015-07-31;null;null;12;null;
2015-08-31;null;null;null;null;
2015-09-30;null;null;null;null;
2015-10-31;364,4;902,7;18;1,3;
2015-11-30;277,2;900,6;18,6;1,3;
2015-12-31;256;901,3;20,8;1,3;
2016-01-31;null;null;21,2;null;
2016-02-29;null;null;null;null;
2016-03-31;null;null;19,2;null;
2016-04-30;152,4;903,7;18,6;,8;
2016-05-31;197;905,4;13;,8;
2016-06-30;104,8;907,1;9;,7;
2016-07-31;85,6;905,5;10,9;,8;
2016-08-31;241,6;904,7;12,3;,8;
2016-09-30;101,8;905;13,2;1;
2016-10-31;262,8;902,5;16,4;1,4;
2016-11-30;133,6;901,8;17,9;1,2;
2016-12-31;221,4;901,1;19,6;1,2;
2017-01-31;252,2;901,9;21;1;
2017-02-28;128,6;902,1;21,2;,9;
2017-03-31;113,2;903,4;19,2;,8;
2017-04-30;84,6;904,3;15,9;,8;
2017-05-31;266,4;904,3;15,2;,6;
2017-06-30;null;905,8;12,5;,8;
2017-07-31;null;null;null;null;
2017-08-31;136,8;905,2;13,4;,8;
2017-09-30;50,8;906;17,1;,7;
2017-10-31;372;901,8;16,2;1;
2017-11-30;157,2;900,5;17,2;,8;
2017-12-31;224;900,3;20,1;,7;
2018-01-31;204,2;901,3;20,2;,8;
2018-02-28;113;901,9;18,8;,6;
2018-03-31;221,6;901,4;20;,4;
2018-04-30;31;905,6;17,4;,4;
2018-05-31;61,2;905,9;13,6;,5;
2018-06-30;147;905,8;11,7;,4;
2018-07-31;12,2;905,8;12,3;,5;
2018-08-31;111,6;906,1;10,9;,6;
2018-09-30;165,2;902,9;14,9;1;
2018-10-31;322,6;902,2;16,7;1,1;
2018-11-30;82,2;902;18,8;1,2;
2018-12-31;129;901,9;20;1,1;
2019-01-31;260;903,4;22;1;
2019-02-28;199,6;901,8;19,6;1;
2019-03-31;132,6;903,8;19,2;,9;
2019-04-30;180,2;903,1;17,8;,6;
2019-05-31;199,2;903,7;15,9;,7;
2019-06-30;37,6;906,8;13,4;,6;
2019-07-31;null;null;null;null;
2019-08-31;null;null;null;null;
2019-09-30;null;null;null;null;
2019-10-31;null;null;null;null;
2019-11-30;null;null;null;null;
2019-12-31;100,4;901,3;19,4;,9;
2020-01-31;83,8;900,7;20,5;1;
2020-02-29;87,4;902,5;19,8;1,1;
2020-03-31;84,4;904;18,4;,8;
2020-04-30;55,6;905;14,1;,8;
2020-05-31;121,4;904,9;11;,8;
2020-06-30;150,4;904,7;13,1;,7;
2020-07-31;98,6;905;11,2;,7;
2020-08-31;109,6;906;12,1;,7;
2020-09-30;46,4;904,1;16,7;1;
2020-10-31;null;902,3;17,8;1,1;
2020-11-30;null;902,5;17,6;,8;
2020-12-31;null;901;19,8;,9;
2021-01-31;125,8;901,3;20,3;,8;
2021-02-28;35,8;901,1;19;,9;
2021-03-31;null;901,9;19,5;,8;
2021-04-30;null;904,9;15,1;,7;
2021-05-31;56,6;904,6;12,2;,7;
2021-06-30;22,8;905,6;11,4;,6;
2021-07-31;64,4;907,5;8;,7;
2021-08-31;36,2;906,5;13,6;,8;
2021-09-30;140;903,6;16,2;,9;
2021-10-31;286,8;902,7;15,8;,7;
2021-11-30;94,2;900,9;18,7;1;
2021-12-31;33,8;900,3;20,1;1,1;
2022-01-31;269,2;901;20,7;,9;
