Nome: GOIOERE
Codigo Estacao: A825
Latitude: -24.18388888
Longitude: -53.04888888
Altitude: 481
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;959,2;24,7;1,5;
2010-02-28;null;959,8;25,4;1,7;
2010-03-31;null;959,7;24,1;1,5;
2010-04-30;null;963,2;21,9;1;
2010-05-31;null;963,7;17,9;,7;
2010-06-30;null;965,7;18,1;,6;
2010-07-31;null;964,7;18,9;,9;
2010-08-31;null;964,7;20,2;1,6;
2010-09-30;null;962,3;21,8;2,5;
2010-10-31;null;960,7;21,5;,9;
2010-11-30;null;958,4;22,8;1,1;
2010-12-31;195,8;956,6;23,4;2,3;
2011-01-31;157;957,6;24,4;1,8;
2011-02-28;232,2;959,3;24,2;1,9;
2011-03-31;117,8;959,8;24,2;2,6;
2011-04-30;112,8;962,2;21,6;1,9;
2011-05-31;12,8;964,8;18,1;1,8;
2011-06-30;94,2;964,5;15,9;2,3;
2011-07-31;null;963,6;18,8;2,4;
2011-08-31;null;964;19,9;2,8;
2011-09-30;49,6;964,2;null;2,6;
2011-10-31;193;959,7;22,3;2,6;
2011-11-30;173;959,8;22,9;2,5;
2011-12-31;49,8;958,4;24,3;2,3;
2012-01-31;129,4;958,9;24,1;2,2;
2012-02-29;123,6;959,9;25,6;2,2;
2012-03-31;114,6;961,5;23,7;2,1;
2012-04-30;214,6;961,6;21,3;2;
2012-05-31;78;964,8;18,5;2,1;
2012-06-30;245;964,5;17,2;1,9;
2012-07-31;66,8;965;17,1;2,2;
2012-08-31;5,8;966,6;20,9;2,5;
2012-09-30;54,2;963,4;22,4;2,8;
2012-10-31;55;959,9;23,9;2,8;
2012-11-30;39,6;958,6;24,4;2,1;
2012-12-31;178,4;958,2;25,4;2,2;
2013-01-31;148,6;959,8;24,4;2,3;
2013-02-28;244,4;959,9;24;2,1;
2013-03-31;157;960,8;23;2;
2013-04-30;102,2;963;20,6;1,8;
2013-05-31;156;963,6;19,1;1,9;
2013-06-30;356,6;964,2;17,6;1,8;
2013-07-31;58,6;966,5;16,5;2,1;
2013-08-31;13,6;964,9;17,4;2,9;
2013-09-30;80,6;963;20,8;2,8;
2013-10-31;196,2;961,6;22,3;2,5;
2013-11-30;103,6;959,5;24,2;2,8;
2013-12-31;152,4;957,8;24,8;2,2;
2014-01-31;184;961;24,7;2;
2014-02-28;65;960,2;25,9;2,6;
2014-03-31;145,4;961;23,4;2,2;
2014-04-30;171,2;962,8;21,7;1,9;
2014-05-31;178,6;963,7;18,4;1,9;
2014-06-30;322,6;964,2;18,2;2,3;
2014-07-31;112,8;967,1;17;2,2;
2014-08-31;28,2;965,2;20,1;2,6;
2014-09-30;229,8;961,8;21,7;2,9;
2014-10-31;68;961,7;24,5;2,6;
2014-11-30;242,2;959,6;23,7;2;
2014-12-31;125;959,3;24,5;2,2;
2015-01-31;203,8;961,3;25,5;2,1;
2015-02-28;166,8;960,1;24,3;2,1;
2015-03-31;null;null;23,9;null;
2015-04-30;73,2;962,4;22,1;1,8;
2015-05-31;230,2;964,4;18,7;1,8;
2015-06-30;80;966,4;18,2;2,1;
2015-07-31;384;964,9;17,1;2,1;
2015-08-31;27;964,1;21,1;2,4;
2015-09-30;null;null;null;null;
2015-10-31;148,8;960,9;24;2,5;
2015-11-30;427,4;958,9;23;2,1;
2015-12-31;null;null;null;null;
2016-01-31;null;null;null;null;
2016-02-29;null;null;null;null;
2016-03-31;null;null;23,1;null;
2016-04-30;null;null;21,7;null;
2016-05-31;301,2;965,5;17,2;1,6;
2016-06-30;null;null;null;null;
2016-07-31;null;965,1;17,7;2,2;
2016-08-31;263,8;964,1;18,5;2,4;
2016-09-30;25;964,5;19,8;2,3;
2016-10-31;266,8;961;22;2,6;
2016-11-30;61,8;960;23,6;2,3;
2016-12-31;240,8;959,6;23,7;2,2;
2017-01-31;null;null;null;null;
2017-02-28;null;null;null;null;
2017-03-31;null;null;null;null;
2017-04-30;null;null;null;null;
2017-05-31;null;null;null;null;
2017-06-30;null;null;null;null;
2017-07-31;null;null;null;null;
2017-08-31;null;null;null;null;
2017-09-30;null;null;null;null;
2017-10-31;null;null;null;null;
2017-11-30;null;null;null;null;
2017-12-31;null;null;null;null;
2018-01-31;null;null;null;null;
2018-02-28;null;null;null;null;
2018-03-31;null;null;null;null;
2018-04-30;null;null;null;null;
2018-05-31;null;null;null;null;
2018-06-30;null;null;null;null;
2018-07-31;null;null;null;null;
2018-08-31;null;null;null;null;
2018-09-30;null;null;null;null;
2018-10-31;null;null;null;null;
2018-11-30;null;null;null;null;
2018-12-31;null;null;null;null;
2019-01-31;null;null;null;null;
2019-02-28;null;null;null;null;
2019-03-31;null;null;null;null;
2019-04-30;null;null;null;null;
2019-05-31;null;null;null;null;
2019-06-30;null;null;null;null;
2019-07-31;null;null;null;null;
2019-08-31;null;null;null;null;
2019-09-30;null;null;null;null;
2019-10-31;null;null;null;null;
2019-11-30;null;null;null;null;
2019-12-31;311,4;957,3;24,1;null;
2020-01-31;115;956,5;25,1;null;
2020-02-29;130,2;958,1;25,4;null;
2020-03-31;53;959,5;25,2;null;
2020-04-30;53,4;961,6;21,5;null;
2020-05-31;85,6;962,6;18,2;null;
2020-06-30;115,4;961,9;19,8;null;
2020-07-31;66;962,4;18,7;null;
2020-08-31;null;null;20,5;null;
2020-09-30;null;null;null;null;
2020-10-31;null;null;null;null;
