Nome: IBIRUBA
Codigo Estacao: A883
Latitude: -28.65333333
Longitude: -53.11194444
Altitude: 455.27
Situacao: Pane
Data Inicial: 2012-12-12
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-12-31;null;null;23,6;null;
2013-01-31;75;960,9;22,1;2,6;
2013-02-28;126,8;960;22,2;2,3;
2013-03-31;172;961,9;19,4;2,5;
2013-04-30;null;963,4;19,5;2,3;
2013-05-31;null;962,8;16,8;2,2;
2013-06-30;null;963,9;14,8;2,2;
2013-07-31;null;null;null;null;
2013-08-31;null;null;null;null;
2013-09-30;null;963,1;17,3;2,7;
2013-10-31;233,2;962,5;18,5;2,7;
2013-11-30;147,8;959,8;22;3,2;
2013-12-31;157,4;958;24,3;2,5;
2014-01-31;157,6;960,5;24,2;2,3;
2014-02-28;101,6;960,7;23,9;2,6;
2014-03-31;127;961,3;21,2;2,3;
2014-04-30;119,8;963,6;19,5;2,5;
2014-05-31;264;964,3;15,2;2,1;
2014-06-30;356,6;964,2;14;2,5;
2014-07-31;181,2;967;14,4;2,6;
2014-08-31;null;null;null;null;
2014-09-30;null;962,4;17,6;3;
2014-10-31;null;962,9;20,5;2,9;
2014-11-30;107,6;960,4;22,2;2,7;
2014-12-31;135,6;959,7;22,9;2,7;
2015-01-31;322,4;961,5;22,9;2,4;
2015-02-28;null;null;null;null;
2015-03-31;37,8;962;22,2;2,3;
2015-04-30;201,6;963,8;19,4;2,2;
2015-05-31;178,4;965,2;16,5;2,4;
2015-06-30;263;966,5;14,6;2,5;
2015-07-31;243,4;965;14;2,5;
2015-08-31;null;null;19,6;null;
2015-09-30;null;null;18,2;null;
2015-10-31;null;961,5;19,7;3;
2015-11-30;152,2;959,6;20,2;2,8;
2015-12-31;515,2;959,5;22,2;2,5;
2016-01-31;59,2;959,6;24,5;2,5;
2016-02-29;174;960,5;23,9;2,2;
2016-03-31;270,4;962,9;20,8;2,5;
2016-04-30;150;962,3;21,1;2,4;
2016-05-31;72,2;966,3;13,9;2,1;
2016-06-30;16;968,8;10,8;2;
2016-07-31;169,4;965,5;13,4;2,4;
2016-08-31;101,2;964,6;15;2,3;
2016-09-30;64,8;965,6;15,1;2,4;
2016-10-31;275,6;961,6;18,4;2,8;
2016-11-30;101;961,3;20,6;2,5;
2016-12-31;62,2;959,4;23,2;2,5;
2017-01-31;52,4;960,4;23,3;2,3;
2017-02-28;169,6;960,1;23,4;2,1;
2017-03-31;142,8;962,3;21,8;2,4;
2017-04-30;216;963,8;18,4;2,5;
2017-05-31;322,6;963,7;16,7;2,6;
2017-06-30;182,4;965,5;14,6;2,4;
2017-07-31;36,6;970;14,8;2,4;
2017-08-31;190,6;964,5;15,7;2,7;
2017-09-30;109,6;964,6;19,9;2,7;
2017-10-31;256,4;960,5;19,1;2,8;
2017-11-30;229,6;959,8;20,3;2,5;
2017-12-31;126;958,9;23,4;2,5;
2018-01-31;340,8;959,8;22,7;2,4;
2018-02-28;140,8;960,9;21,9;2,2;
2018-03-31;157,8;960,2;21,7;2,2;
2018-04-30;83,2;964,5;21,7;2,1;
2018-05-31;115,2;965,5;16,8;2,3;
2018-06-30;94;966,3;12,3;2,2;
2018-07-31;114;966;13,4;2,4;
2018-08-31;91;966,7;12,3;2,4;
2018-09-30;183,8;962,2;17,7;2,5;
2018-10-31;194,2;961,6;19;2,8;
2018-11-30;239,2;960,5;22,1;2,8;
2018-12-31;209,2;960,7;22,6;2,4;
2019-01-31;205;961,1;24,3;2,4;
2019-02-28;126,4;960,9;22,2;2,2;
2019-03-31;175,8;963,1;20,9;2,3;
2019-04-30;177,6;962,4;20,4;2;
2019-05-31;214,2;963,4;17,4;2,2;
2019-06-30;22;965,8;16,9;2,3;
2019-07-31;150,4;966,6;12,6;2,1;
2019-08-31;74,2;968;14;2,6;
2019-09-30;83,2;963,8;16,5;2,6;
2019-10-31;329,4;961,9;20;2,8;
2019-11-30;222,4;960;22,2;2,7;
2019-12-31;19,4;959,7;24,1;2,4;
2020-01-31;137,8;959,4;23,6;2,5;
2020-02-29;32,6;961,6;22,8;2,4;
2020-03-31;25,2;962,5;24;2,4;
2020-04-30;61,4;964,9;18,5;2,3;
2020-05-31;184,6;964,9;15,2;2,2;
2020-06-30;229,6;963,7;15,1;2,8;
2020-07-31;349;964,9;12,6;2,3;
2020-08-31;179;965,6;15,3;2,4;
2020-09-30;87,4;963,3;17,2;2,5;
