Nome: ICARAIMA
Codigo Estacao: A824
Latitude: -23.39027777
Longitude: -53.63583333
Altitude: 381.29
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;242;967;25,4;2,4;
2010-02-28;110,4;967,7;26,2;2,4;
2010-03-31;139,2;967,7;25,3;2,2;
2010-04-30;57;971,1;23,2;2,2;
2010-05-31;110,6;972;18,5;2,6;
2010-06-30;20;973,8;19,6;3;
2010-07-31;55,8;973,3;19,4;4;
2010-08-31;8;973,3;20,9;4,1;
2010-09-30;216,2;969,6;22,5;3,9;
2010-10-31;164,6;968,9;21,9;3,6;
2010-11-30;142,4;966,6;23,5;3,2;
2010-12-31;213,8;964,5;24,7;3,2;
2011-01-31;90,4;965,5;25,9;2,2;
2011-02-28;258,4;967,3;24,9;2,6;
2011-03-31;87,8;967,6;24,7;3,3;
2011-04-30;184,2;970,1;22,9;3;
2011-05-31;11,4;972,9;19,8;2,9;
2011-06-30;102;972,5;17,8;3,7;
2011-07-31;null;null;null;null;
2011-08-31;null;null;null;null;
2011-09-30;66,2;972,1;22;1,6;
2011-10-31;212,6;967,7;23,4;1,8;
2011-11-30;163;967,7;24,1;1,7;
2011-12-31;67,4;966,4;25,8;,8;
2012-01-31;120;966,7;25,6;1,4;
2012-02-29;100,2;967,9;26,7;1;
2012-03-31;92,4;969,6;25;,9;
2012-04-30;135,6;969,7;22,8;1,3;
2012-05-31;84;972,7;20,3;1,9;
2012-06-30;193;972,7;18,5;1,9;
2012-07-31;31,8;973,3;18,3;1,2;
2012-08-31;6,4;974,4;22,4;3,2;
2012-09-30;76;971,3;23,8;2,5;
2012-10-31;93,4;967,8;25,2;2,2;
2012-11-30;123,8;966,5;26;1,5;
2012-12-31;79,6;966,1;26,7;1,4;
2013-01-31;82,2;967,7;25,7;2,1;
2013-02-28;158,4;967,9;25;2;
2013-03-31;244,4;968,8;24,3;1,9;
2013-04-30;82,8;971,1;22,1;1,6;
2013-05-31;null;971,7;20,4;2;
2013-06-30;null;972,4;19,5;1,6;
2013-07-31;null;974,7;18,5;2,5;
2013-08-31;4,8;973,2;18,6;3,4;
2013-09-30;64,4;971,1;21,8;3,2;
2013-10-31;115,8;969,7;23,1;2,5;
2013-11-30;75,6;967,4;25,3;3,3;
2013-12-31;103;965,7;26,6;2;
2014-01-31;164,4;969;26,3;1,3;
2014-02-28;151,4;968,1;26,4;2,4;
2014-03-31;157;969,1;24,2;1,5;
2014-04-30;null;970,7;23,3;2;
2014-05-31;null;971,3;21,3;2,1;
2014-06-30;null;null;20,1;null;
2014-07-31;null;null;21,7;null;
2014-08-31;null;973,6;24,5;2,6;
2014-09-30;null;969,7;26,1;4,1;
2014-10-31;53,4;969,7;26,7;2,8;
2014-11-30;null;967,7;25,7;2,1;
2014-12-31;95,2;967,3;26,6;2,4;
2015-01-31;51,2;969,4;27,7;1,9;
2015-02-28;null;968,3;25,9;1,4;
2015-03-31;,4;969,1;25,6;1,3;
2015-04-30;0;970,6;24,3;1,4;
2015-05-31;null;null;null;null;
2015-06-30;null;null;null;null;
2015-07-31;null;null;null;null;
2015-08-31;24,8;971,6;22,6;4;
2015-09-30;226,4;968,5;23,3;3,5;
2015-10-31;187,8;968,7;24,6;3,5;
2015-11-30;418,4;966,6;24;3,3;
2015-12-31;null;null;null;null;
2016-01-31;null;null;null;null;
2016-02-29;254;968,4;25,8;2,8;
2016-03-31;22,8;970,4;25,1;2,9;
2016-04-30;52,2;969,9;null;3;
2016-05-31;null;973,2;null;2,8;
2016-06-30;null;975,3;16,5;3;
2016-07-31;null;972,9;18,5;3,5;
2016-08-31;null;null;22,6;null;
2016-09-30;null;971,8;25;3,4;
2016-10-31;114,6;968,8;26,4;4,2;
2016-11-30;12,2;967,7;25,5;3,7;
2016-12-31;null;null;25,3;null;
2017-01-31;54,6;967,8;26;2,8;
2017-02-28;null;967,8;26,7;2,8;
2017-03-31;null;969,1;25,7;2,9;
2017-04-30;null;971,2;21,6;3,4;
2017-05-31;178,8;970,6;21,2;3,2;
2017-06-30;106,8;973,6;18,9;3,6;
2017-07-31;null;977;20,4;4,2;
2017-08-31;null;971,5;21,8;4,1;
2017-09-30;13,6;971,2;25,7;3,9;
2017-10-31;300;968,1;23,1;4;
2017-11-30;null;null;24,2;null;
2017-12-31;184,4;966,2;25,5;null;
2018-01-31;253,6;967,5;24,9;null;
2018-02-28;209,8;967,8;24,8;null;
2018-03-31;207;967,6;25,5;null;
2018-04-30;35;971,7;24,8;null;
2018-05-31;71,2;972,8;21,4;null;
2018-06-30;50,2;974;18,3;null;
2018-07-31;3,2;973,4;20,1;null;
2018-08-31;122,6;974;18;null;
2018-09-30;131,8;969,5;21,8;null;
2018-10-31;363,8;968;23,4;null;
