Nome: ILHA DO MEL
Codigo Estacao: A847
Latitude: -25.49444444
Longitude: -48.3261111
Altitude: 4.01
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-02-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;463,6;1011,2;25,6;,6;
2010-02-28;205,4;1011,6;26,9;1,4;
2010-03-31;353,8;1011,8;25;,2;
2010-04-30;null;null;null;null;
2010-05-31;null;null;null;null;
2010-06-30;null;null;null;null;
2010-07-31;null;null;null;null;
2010-08-31;null;null;null;null;
2010-09-30;null;null;null;null;
2010-10-31;172,2;1015,1;19,6;2,9;
2010-11-30;163,4;1011,5;22,2;3,4;
2010-12-31;321,2;1009,7;23,4;2,8;
2011-01-31;391,4;1008,9;26;3;
2011-02-28;321,2;1011,2;25,7;3,2;
2011-03-31;null;null;23,6;null;
2011-04-30;null;null;null;null;
2011-05-31;81,8;1018,1;19,7;2,4;
2011-06-30;77;1017,8;17,5;2,6;
2011-07-31;139,8;1018,6;16,8;2,2;
2011-08-31;254;1018;17,2;2,7;
2011-09-30;50,4;1020,5;17,9;3;
2011-10-31;127;1014,1;20,6;3;
2011-11-30;170,2;1014,6;21;3,2;
2011-12-31;342,4;1011,1;23;3,3;
2012-01-31;204,8;1011,9;23,9;3,4;
2012-02-29;192,8;1012;24,9;3;
2012-03-31;180,4;1014,1;23,6;3;
2012-04-30;239,2;1014,3;22,3;2,7;
2012-05-31;133,4;1018,6;19,7;2,3;
2012-06-30;262,4;1018,2;17;2,1;
2012-07-31;181,6;1018,7;17;2,4;
2012-08-31;27,8;1022,4;18,6;2,4;
2012-09-30;51,8;1018,4;19,9;3,1;
2012-10-31;173,2;1014,1;21,1;2,8;
2012-11-30;128,2;1013,3;21,8;3,4;
2012-12-31;22,8;1010,2;24,3;3,1;
2013-01-31;222,8;1013,2;23,4;3;
2013-02-28;79,6;1011,9;24,5;2,9;
2013-03-31;328,4;1013,9;23,5;2,7;
2013-04-30;null;null;null;null;
2013-05-31;null;null;null;null;
2013-06-30;null;null;null;null;
2013-07-31;null;null;null;null;
2013-08-31;null;null;null;null;
2013-09-30;null;null;null;null;
2013-10-31;147,4;1016,2;20,3;2,6;
2013-11-30;127,2;1013,9;22,2;3,3;
2013-12-31;160,2;1010,4;24,4;2,7;
2014-01-31;224;1012,6;26,5;2,9;
2014-02-28;157,6;1012,5;26,5;2,9;
2014-03-31;282,4;1013,6;24,7;2,4;
2014-04-30;259;1016,2;22,5;2,3;
2014-05-31;102,8;1016,8;20,3;2;
2014-06-30;118,4;1018;19;1,8;
2014-07-31;97,4;1021,7;17,6;2;
2014-08-31;74,2;1019,5;18,4;2,1;
2014-09-30;172,4;1016,5;20,2;2,6;
2014-10-31;48,6;1016,8;21,8;3;
2014-11-30;174,2;1013,5;23;2,8;
2014-12-31;330;1012,1;24,8;2,8;
2015-01-31;236,4;1012,9;26,4;2,9;
2015-02-28;538,6;1012;25,4;2,8;
2015-03-31;611,8;1013,6;24,4;2,5;
2015-04-30;214,2;1015,8;22,8;2,2;
2015-05-31;205,8;1017,8;20,4;1,9;
2015-06-30;99,6;1020,1;18,9;2,1;
2015-07-31;122;1018,3;18,6;2;
2015-08-31;34,6;1018,2;20,2;2,3;
2015-09-30;143,6;1014,5;20,3;2,4;
2015-10-31;226,6;1015,9;20,3;2,4;
2015-11-30;346,6;1012,5;21,7;2,3;
2015-12-31;187,8;1011,9;24,9;2,8;
2016-01-31;339,6;1012;25,2;2,7;
2016-02-29;653,4;1012,3;26,2;2,6;
2016-03-31;244,2;1014,4;24,8;2,2;
2016-04-30;null;null;26,2;null;
2016-05-31;null;null;null;null;
2016-06-30;null;null;14,4;null;
2016-07-31;null;null;null;null;
2016-08-31;null;null;null;null;
2016-09-30;null;null;18,7;null;
2016-10-31;null;null;20;null;
2016-11-30;null;null;null;null;
2016-12-31;null;null;25,2;null;
2017-01-31;525,8;1011,8;25,9;2,8;
2017-02-28;72,6;1012,2;26,4;2,6;
2017-03-31;458,2;1014,4;24,2;2,3;
2017-04-30;null;null;null;null;
2017-05-31;null;1016,6;20,9;2,6;
2017-06-30;150,4;1019,2;18,8;2,1;
2017-07-31;25,6;1024,8;17,9;2;
2017-08-31;null;1019,2;18,9;2,2;
2017-09-30;null;1019,2;21,2;2,6;
2017-10-31;80,6;1013,9;21,8;2,7;
2017-11-30;86,4;1012,8;22,1;3;
2017-12-31;259,8;1011,6;24,1;3;
2018-01-31;429,6;1011,8;25,2;2,8;
2018-02-28;null;null;null;null;

