Nome: INACIO MARTINS
Codigo Estacao: A823
Latitude: -25.56777777
Longitude: -51.07805554
Altitude: 1208.85
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;294,8;880;19,2;2,5;
2010-02-28;302,8;880,9;20,1;2,3;
2010-03-31;204,8;880,3;18,5;2,4;
2010-04-30;264;883;15,8;2,2;
2010-05-31;107,2;882;12,9;2,7;
2010-06-30;91,6;884,6;12,4;2,8;
2010-07-31;138,4;884,6;12,8;2,9;
2010-08-31;25,8;884,5;13,6;2,8;
2010-09-30;44,8;881,8;15;3,1;
2010-10-31;172;880,1;15;2,6;
2010-11-30;95,6;878,3;17,2;2,6;
2010-12-31;229,6;877,4;18;2,7;
2011-01-31;254,4;878,2;19,5;2;
2011-02-28;null;880,2;19,1;2,4;
2011-03-31;162,2;881;17,3;3,2;
2011-04-30;97,6;882,1;16,4;2,2;
2011-05-31;45,2;883,5;12,7;2,3;
2011-06-30;103,4;882,4;10,1;2,3;
2011-07-31;null;882,8;13,6;2,3;
2011-08-31;null;882,3;14,6;null;
2011-09-30;null;884,3;13,9;2,8;
2011-10-31;164,2;880,2;16,2;2,7;
2011-11-30;66;880,3;16,4;2,7;
2011-12-31;120,4;878,7;18;2,6;
2012-01-31;190,6;879,7;18,1;2,4;
2012-02-29;153,4;880,8;20,1;1,9;
2012-03-31;68,4;881,9;18,1;2,1;
2012-04-30;null;null;16,1;null;
2012-05-31;null;884,4;13,2;2,3;
2012-06-30;null;null;null;null;
2012-07-31;124,8;883,1;12,5;2,5;
2012-08-31;10,6;886,4;15,2;2;
2012-09-30;59,6;883,4;15,7;2,6;
2012-10-31;191,6;880,7;17,2;2,3;
2012-11-30;138,6;879,6;17,7;2,3;
2012-12-31;188,6;879,1;20,3;2,1;
2013-01-31;162,4;880,6;18,2;2,5;
2013-02-28;181,6;880,4;19;2,1;
2013-03-31;245,4;881,2;17,3;2,2;
2013-04-30;84,2;882,5;15,7;1,9;
2013-05-31;112,8;882,6;13,9;1,8;
2013-06-30;333,8;882,7;12,7;1,8;
2013-07-31;138,2;884,7;12,3;1,8;
2013-08-31;35;883,3;13,4;2,4;
2013-09-30;null;883,1;15,3;2,1;
2013-10-31;170,2;881,6;16;2,3;
2013-11-30;124,2;880,3;17,4;2,5;
2013-12-31;117,8;878,7;19,2;2,1;
2014-01-31;null;881,5;20,6;1,7;
2014-02-28;null;881,6;20,3;1,9;
2014-03-31;197,4;881,5;18,1;1,8;
2014-04-30;52,2;883;16;1,8;
2014-05-31;null;882,6;14,2;1,5;
2014-06-30;230,2;883,2;12,9;1,7;
2014-07-31;null;885,4;12,2;1,5;
2014-08-31;55;884,3;14,3;1,6;
2014-09-30;null;null;15,9;null;
2014-10-31;76,2;882,7;18;1,6;
2014-11-30;null;null;17,9;null;
2014-12-31;null;879,9;19,3;1,3;
2015-01-31;null;882;20,3;1,2;
2015-02-28;null;880,7;19;,9;
2015-03-31;196,8;881,4;18,4;,9;
2015-04-30;83,2;882,4;16,4;,9;
2015-05-31;null;883,6;13,9;,8;
2015-06-30;null;885,1;13,5;,7;
2015-07-31;null;null;12,7;null;
2015-08-31;null;884,3;16,2;,6;
2015-09-30;117,4;880,6;17,4;,8;
2015-10-31;null;881,5;17,4;,6;
2015-11-30;null;null;18,3;null;
2015-12-31;235,6;880,3;19,3;,3;
2016-01-31;246;879,8;19,7;,1;
2016-02-29;324,8;881,2;20;0;
2016-03-31;220,2;882,2;18,2;,1;
2016-04-30;70,4;882,4;18,5;0;
2016-05-31;192,8;883,5;12,6;0;
2016-06-30;87;884,9;10;0;
2016-07-31;88,8;883,5;12,4;,1;
2016-08-31;null;null;null;null;
2016-09-30;null;882,8;14,1;,1;
2016-10-31;141,6;880,9;15,5;,1;
2016-11-30;null;null;null;null;
2016-12-31;null;null;null;null;
2017-01-31;192,8;880,7;19,9;2,4;
2017-02-28;223,4;880,9;20,1;2,1;
2017-03-31;62,4;882;18;2,5;
2017-04-30;78,8;882,6;15,5;2,9;
2017-05-31;227,2;882,7;15;2,5;
2017-06-30;166,2;884,1;12,8;2,6;
2017-07-31;null;887,8;11,3;2,4;
2017-08-31;null;null;null;null;
2017-09-30;null;null;null;null;
2017-10-31;null;null;null;null;
2017-11-30;null;878,6;17,8;null;
2017-12-31;232,6;879,2;18,8;null;
2018-01-31;308,6;880,2;18,9;null;
2018-02-28;92,8;880,5;17,9;null;
2018-03-31;295,4;880,2;19,3;null;
2018-04-30;11,2;884,1;17,3;null;
2018-05-31;28,6;884,2;14,2;null;
2018-06-30;152,6;884,1;12,7;null;
2018-07-31;1,8;884,2;14,4;null;
2018-08-31;57,8;884,2;12;null;
2018-09-30;188,2;881,4;15;null;
2018-10-31;335,6;880,6;15,8;null;
2018-11-30;83,4;880,6;17,7;null;
2018-12-31;98;880,7;20;2,3;
2019-01-31;249,8;882,4;20,9;2,2;
2019-02-28;313,6;880,5;18,5;2,5;
2019-03-31;81,2;882,4;18,6;2,4;
2019-04-30;null;null;null;null;
2019-05-31;264,6;882,2;15,3;2,3;
2019-06-30;98,4;885,2;14,6;2,4;
2019-07-31;17;884,4;12,9;2,7;
2019-08-31;44,8;885,9;13,2;2,9;
2019-09-30;103,4;882,7;16,4;2,8;
2019-10-31;110,8;881,7;18,4;2,7;
2019-11-30;141,8;880;18,1;2,9;
2019-12-31;108,8;880,1;18,8;2,4;
2020-01-31;132,6;879,5;19,3;2,4;
2020-02-29;84,4;881,2;19;2,6;
2020-03-31;75,8;882,6;18,4;2,4;
