Nome: INDAIAL
Codigo Estacao: A817
Latitude: -26.91361111
Longitude: -49.26805554
Altitude: 72.24
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;422,2;1003,3;24,7;,8;
2010-02-28;116,6;1003,8;25,8;,8;
2010-03-31;278,6;1004,1;23,8;,8;
2010-04-30;244,8;1008,8;21;,6;
2010-05-31;187,2;1008,3;18,3;,8;
2010-06-30;151,8;1012,3;16,4;,6;
2010-07-31;129;1012,6;16,3;,9;
2010-08-31;63,2;1012,7;16,2;1,1;
2010-09-30;73,4;1009;18,9;1,2;
2010-10-31;152;1006,8;19,4;1,3;
2010-11-30;111,2;1003,4;21,9;1,3;
2010-12-31;218,2;1001,8;22,9;1,1;
2011-01-31;378;1001;25,5;1,1;
2011-02-28;364,6;1003,5;24,8;,8;
2011-03-31;224,8;1006,4;22,7;,9;
2011-04-30;47;1007,1;21,2;1;
2011-05-31;99,2;1010,2;17,9;1;
2011-06-30;78,4;1009,8;15;1,2;
2011-07-31;192,6;1010,5;15,3;,9;
2011-08-31;341,4;1009,9;16;1,2;
2011-09-30;248,2;1012,2;17,1;1,1;
2011-10-31;113;1006;20,8;1,2;
2011-11-30;null;1005,3;21,4;1,2;
2011-12-31;141,4;1003,1;22,9;1,2;
2012-01-31;331,2;1003,9;23,7;1;
2012-02-29;100,4;1003,9;25,7;1,1;
2012-03-31;96,8;1006;23,6;1,2;
2012-04-30;143;1006,3;21,4;1;
2012-05-31;114,2;1010,8;18,7;1;
2012-06-30;180;1010,2;16,2;1;
2012-07-31;198,6;1010,6;15,2;1,1;
2012-08-31;32,6;1014;19,1;1;
2012-09-30;54;1010,2;19,1;1,3;
2012-10-31;131,2;1006;21,3;1,1;
2012-11-30;68,6;1005,1;22,7;1,4;
2012-12-31;98,4;1002;25,3;1,2;
2013-01-31;70,4;1005,2;23,5;1,3;
2013-02-28;111,2;1003,9;24,4;1,1;
2013-03-31;110,6;1006;22,8;,9;
2013-04-30;53,4;1008,1;20,7;1,1;
2013-05-31;72,6;1008,5;18,4;1;
2013-06-30;169,4;1009,5;17,1;1,1;
2013-07-31;125;1012,4;15;1,1;
2013-08-31;111,8;1011;15,7;1;
2013-09-30;177,8;1009,3;18,5;1,1;
2013-10-31;104;1008,1;20,3;1,2;
2013-11-30;86,6;1006;21,9;1,1;
2013-12-31;77,4;1002,4;24,6;1,2;
2014-01-31;276,2;1004,6;25,9;1;
2014-02-28;118;1004,8;26,3;,9;
2014-03-31;76;1005,8;23,8;,8;
2014-04-30;80,6;1008,5;21,7;,7;
2014-05-31;null;null;20,1;null;
2014-06-30;null;null;null;null;
2014-07-31;null;null;null;null;
2014-08-31;86;1011,2;17,5;1;
2014-09-30;163,8;1008,3;19,6;1;
2014-10-31;65,6;1008,5;21,9;1;
2014-11-30;128,6;1005,3;22,9;,9;
2014-12-31;193,6;1004,1;24,2;,8;
2015-01-31;83,2;1005;25,4;1,1;
2015-02-28;140,8;1004,2;24,9;,6;
2015-03-31;195,8;1005,8;23,9;,3;
2015-04-30;65;1008;21,6;0;
2015-05-31;163,8;1010;19;0;
2015-06-30;103,2;1012,2;16,4;0;
2015-07-31;130,6;1009,9;17,3;,6;
2015-08-31;23,6;1010;20;,5;
2015-09-30;null;1006,5;19,5;,6;
2015-10-31;310,4;1007,7;19,7;1;
2015-11-30;174,6;1004,5;21,5;1,1;
2015-12-31;177;1003,8;24,2;1,2;
2016-01-31;117,4;1004,1;24,9;1,1;
2016-02-29;149,6;1004,3;25,5;,9;
2016-03-31;183,8;1006,6;23,6;1,1;
2016-04-30;178;1006,2;23,8;1,1;
2016-05-31;null;null;null;null;
2016-06-30;null;null;null;null;
2016-07-31;null;1010,8;16,6;1,3;
2016-08-31;161,4;1010,1;16,8;1,1;
2016-09-30;61;1010,1;18,5;1,4;
2016-10-31;216,6;1007,5;19,9;1,2;
2016-11-30;92,6;1006;21,7;1,2;
2016-12-31;null;null;23,3;null;
2017-01-31;null;null;25,7;null;
2017-02-28;null;null;null;null;
2017-03-31;95,8;1006,7;23,3;1;
2017-04-30;114,4;1008,5;21,2;1;
2017-05-31;243,8;1009;19,8;,9;
2017-06-30;null;null;null;null;
2017-07-31;null;null;17,9;null;
2017-08-31;null;null;18,1;null;
2017-09-30;66,6;1010,9;21,3;,9;
2017-10-31;95,8;1005,6;21;1,2;
2017-11-30;109;1004,4;21,6;1,2;
2017-12-31;193,8;1003,4;24;1;
2018-01-31;234,4;1003,6;24,4;1;
2018-02-28;123,2;1004,9;23,6;,8;
2018-03-31;277;1003,8;24,1;,7;
2018-04-30;36;1009;22,8;,7;
2018-05-31;39,2;1010,4;19,6;,9;
2018-06-30;null;1011,6;15,5;1,2;
2018-07-31;10,8;1010,9;17,2;1,1;
2018-08-31;null;1011,4;16,1;1,3;
2018-09-30;135,2;1007,7;19,7;,8;
2018-10-31;null;null;20,2;null;
2018-11-30;71,2;1006,2;22,4;,9;
2018-12-31;193,4;1004,5;24,6;1,1;
2019-01-31;153,4;1005;26,7;1,1;
2019-02-28;174;1004,4;24,2;,9;
2019-03-31;104,6;1007,1;23,5;,6;
2019-04-30;126,6;1006,3;22,6;,6;
2019-05-31;170,2;1007,6;20,4;,6;
2019-06-30;68,8;1011,4;18,7;,7;
2019-07-31;72,6;1011,8;15,8;1,2;
2019-08-31;25,6;1014;16,9;1;
2019-09-30;130,4;1009,8;18,5;,9;
2019-10-31;130,4;1007;22,1;,9;
2019-11-30;180;1005,4;22,5;,9;
2019-12-31;83,2;1004,4;24,3;1;
2020-01-31;106,2;1003;25,4;,9;
2020-02-29;173,6;1005,7;24,1;,8;
2020-03-31;26,2;1007,4;24,1;,7;
2020-04-30;86;1008,8;21,1;,9;
2020-05-31;10,2;1009;18,4;1,1;
2020-06-30;179,2;1009,5;18;,8;
2020-07-31;114;1010,5;15,7;1,1;
2020-08-31;109,4;1011,9;17;,9;
2020-09-30;50,8;1009,2;19,8;1;
2020-10-31;54,8;1006,6;21,6;1;
2020-11-30;195,6;1006,7;22,1;1,2;
2020-12-31;252,2;1004;23,8;1,2;
2021-01-31;367,6;1004;24,2;,9;
2021-02-28;214;1003,4;24,5;1,1;
2021-03-31;214;1004,4;24,3;,8;
2021-04-30;45,4;1009,1;21,1;1;
2021-05-31;131,2;1009,3;17,8;1,1;
2021-06-30;156,6;1011,4;16,3;1,1;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;null;null;null;null;
2021-12-31;null;null;null;null;
2022-01-31;null;null;null;null;
2022-02-28;null;null;null;null;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;null;null;null;null;
2022-06-30;null;null;null;null;
2022-07-31;null;null;null;null;
2022-08-31;null;null;null;null;
2022-09-30;null;null;null;null;
2022-10-31;null;null;null;null;
2022-11-30;156,8;1007,6;21,1;1,2;
2022-12-31;259,4;1003,2;23,9;,9;
2023-01-31;332,2;1003,8;24,7;1;
2023-02-28;256;1003,7;24,6;1;
2023-03-31;242,2;1005,8;24,6;,9;
2023-04-30;184,8;1007,1;21,1;,8;
2023-05-31;33,2;1010,2;19,4;,8;
2023-06-30;123,6;1011,3;16,8;1,3;
2023-07-31;142,4;1011,8;16,9;,9;
2023-08-31;92,2;1009;18,3;1;
2023-09-30;145;1006,8;20,7;1;
2023-10-31;515,6;1005,7;19,7;,8;
2023-11-30;344,6;1004,1;22,5;1,1;
2023-12-31;37,2;1004,2;25,4;1,3;
2024-01-31;303,8;1004,4;24,5;1,1;
2024-02-29;155,8;1005,5;25,7;1;
2024-03-31;156,2;1005,7;25,2;,9;
2024-04-30;230,8;1006,6;22,9;,7;
2024-05-31;272,6;1007,6;19,7;1;
2024-06-30;82;1009,2;18,8;1,1;
2024-07-31;206,8;1013,6;15,9;,7;
2024-08-31;33,2;1011,3;17,2;1,1;
2024-09-30;null;1007,7;20,4;,9;
2024-10-31;null;null;22,5;null;
2024-11-30;null;null;23,2;null;
2024-12-31;null;null;null;null;
2025-01-31;null;null;null;null;
2025-02-28;null;null;null;null;
2025-03-31;null;null;null;null;
2025-04-30;null;null;null;null;
2025-05-31;null;null;null;null;
2025-06-30;null;null;null;null;

