Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2010-06-23
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-06-30;null;null;null;null;
2010-07-31;114,8;1020,1;16,8;1,5;
2010-08-31;71,6;1020,3;15,6;1,6;
2010-09-30;83;1016,6;18,5;1,7;
2010-10-31;127,2;1014,4;19,1;1,8;
2010-11-30;124,2;1011;21,4;2;
2010-12-31;253,4;1009,2;22,9;1,8;
2011-01-31;310,6;1008,3;25,4;1,8;
2011-02-28;255,4;1010,8;24,9;1,6;
2011-03-31;229,8;1013,7;23,1;1,8;
2011-04-30;65,6;1014,5;21,4;1,5;
2011-05-31;82,8;1017,5;18,1;1,5;
2011-06-30;87,4;1017,1;15,4;1,7;
2011-07-31;201,4;1018;15,3;1,4;
2011-08-31;349,6;1017,4;16,3;1,9;
2011-09-30;229,8;1019,9;17;1,9;
2011-10-31;124,4;1013,4;20,2;1,9;
2011-11-30;93,8;1014,1;20,8;2;
2011-12-31;165,6;1010,6;22,6;2;
2012-01-31;203,6;1011,3;23,7;2;
2012-02-29;96;1011,3;25,3;1,7;
2012-03-31;86,2;1013,5;23,1;1,9;
2012-04-30;161,8;1013,7;21,2;1,5;
2012-05-31;159,6;1018,1;18,9;1,5;
2012-06-30;162;1017,6;16,7;1,4;
2012-07-31;200,2;1018;15,3;1,5;
2012-08-31;49,2;1021,7;18,6;1,6;
2012-09-30;52,6;1017,8;18,9;1,9;
2012-10-31;137,6;1013,5;21;1,7;
2012-11-30;57,6;1012,7;22,3;2,1;
2012-12-31;102,8;1009,4;25;1,8;
2013-01-31;110,2;1012,7;23,7;2;
2013-02-28;185,8;1011,2;24,6;1,8;
2013-03-31;337,4;1013,6;22,9;1,7;
2013-04-30;267,6;1015,4;20,7;1,6;
2013-05-31;82,8;1015,9;18,4;1,4;
2013-06-30;198,8;1016,9;17,4;1,3;
2013-07-31;172;1020;14,9;1,4;
2013-08-31;112,4;1018,6;15,6;1,6;
2013-09-30;186,8;1016,9;18,1;1,7;
2013-10-31;127,8;1015,7;20,1;1,8;
2013-11-30;81,4;1013,5;21,7;2;
2013-12-31;123,6;1009,9;24,2;1,7;
2014-01-31;199,4;1012;25,6;1,7;
2014-02-28;106;1012,2;26;1,9;
2014-03-31;262,6;1013,2;23,6;1,6;
2014-04-30;57;1015,8;21,7;1,4;
2014-05-31;62,4;1016,3;19,2;1,2;
2014-06-30;307,4;1017,4;17,6;1,2;
2014-07-31;47;1021,2;16,9;1;
2014-08-31;107,6;1018,8;17,3;1,2;
2014-09-30;179,4;1015,8;19,5;1,4;
2014-10-31;70,2;1016,1;21,5;1,6;
2014-11-30;142,2;1012,9;22,6;1,6;
2014-12-31;168,2;1011,5;24,1;1,3;
2015-01-31;150,6;1012,3;25,5;1,8;
2015-02-28;287;1011,6;24,7;1,7;
2015-03-31;256,4;1013,1;23,7;1,5;
2015-04-30;103;1015,4;21,4;1,4;
2015-05-31;200,8;1017,4;19,1;1,3;
2015-06-30;130,6;1019,5;16,9;1,3;
2015-07-31;152,6;1017,5;17,5;1,1;
2015-08-31;49,2;1017,5;19,7;1,5;
