Nome: ITAPOA
Codigo Estacao: A851
Latitude: -26.08138888
Longitude: -48.64166666
Altitude: 6.18
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;564,2;1011;24,6;1,2;
2010-02-28;203,4;1011,5;25,8;1;
2010-03-31;334,8;1011,7;23,8;1,1;
2010-04-30;null;null;null;null;
2010-05-31;null;null;null;null;
2010-06-30;null;null;null;null;
2010-07-31;168,6;1020,5;16,6;1;
2010-08-31;84,6;1020,6;15,3;1,1;
2010-09-30;64,2;1017;18,4;1,2;
2010-10-31;185,6;1014,9;18,9;1,5;
2010-11-30;154,4;1011,4;21,6;1,7;
2010-12-31;261,4;1009,6;22,7;1,4;
2011-01-31;449,4;1008,7;25,4;1,4;
2011-02-28;481,2;1011,2;24,9;1,5;
2011-03-31;412,6;1013,9;23;1,3;
2011-04-30;80,4;1014,9;21,6;,8;
2011-05-31;59,4;1017,9;18,2;1;
2011-06-30;97,8;1017,5;15,3;,9;
2011-07-31;null;null;null;null;
2011-08-31;null;null;null;null;
2011-09-30;null;null;null;null;
2011-10-31;null;null;null;null;
2011-11-30;null;1013,5;21;1,7;
2011-12-31;281,2;1010,9;22,7;1,6;
2012-01-31;351,6;1011,6;23,7;1,6;
2012-02-29;168,4;1011,7;25,1;1,2;
2012-03-31;120,8;1013,9;23;1,3;
2012-04-30;303,8;1014,1;21,5;,7;
2012-05-31;156,6;1018,4;18,9;,2;
2012-06-30;248;1018;16,8;,2;
2012-07-31;178;1018,4;15,4;,4;
2012-08-31;43,4;1022,1;17,9;,3;
2012-09-30;null;null;null;null;
2012-10-31;null;null;null;null;
2012-11-30;189,4;1013,1;22,1;1,7;
2012-12-31;226;1009,9;24,7;1,3;
2013-01-31;188,4;1013;23,4;1,5;
2013-02-28;405,4;1011,6;24,5;1,3;
2013-03-31;378,4;1013,8;22,8;1,3;
2013-04-30;125,4;1015,7;20,6;1,1;
2013-05-31;107;1016,3;18,3;,9;
2013-06-30;null;1017,9;17,3;,8;
2013-07-31;null;null;13,6;null;
2013-08-31;null;1018,9;15,2;1,2;
2013-09-30;null;null;null;null;
2013-10-31;null;null;19,2;null;
2013-11-30;125,2;1013,7;21,8;1,7;
2013-12-31;153,8;1010,2;23,9;1,5;
2014-01-31;145,2;1012,4;25,4;1,3;
2014-02-28;51;1012,5;25,7;1,4;
2014-03-31;null;1013,5;23,6;1,1;
2014-04-30;null;1016,1;21,5;1,1;
2014-05-31;null;1016,6;18,8;,8;
2014-06-30;null;1017,8;17,7;,8;
2014-07-31;null;1021,5;16,2;,8;
2014-08-31;null;1019,2;16,9;1;
2014-09-30;null;1016,2;19,5;1,4;
2014-10-31;null;1016,6;21,4;1,7;
2014-11-30;107,6;1013,3;22,4;1,5;
2014-12-31;229,6;1011,9;23,9;1,4;
2015-01-31;237,8;1012,7;25,4;1,5;
2015-02-28;389,8;1011,9;24,6;1,3;
2015-03-31;369;1013,4;23,7;1,2;
2015-04-30;206;1015,7;21,6;1,1;
2015-05-31;267,8;1017,6;19,2;,9;
2015-06-30;86,2;1019,9;16,7;,8;
2015-07-31;95,4;1018;17,2;,8;
2015-08-31;null;null;null;null;
2015-09-30;null;null;null;null;
2015-10-31;null;null;null;null;
2015-11-30;null;null;null;null;
2015-12-31;384,4;1011,4;24,5;1,4;
2016-01-31;228,2;1011,8;24,5;1,4;
2016-02-29;330,2;1012;25,5;1,3;
2016-03-31;312,2;1014,3;23,6;1,2;
2016-04-30;126,4;1013,8;23,8;1;
2016-05-31;193,8;1018,4;17,8;,8;
2016-06-30;127,8;1021,7;13,5;,7;
2016-07-31;126,6;1019,1;15,2;,9;
2016-08-31;144,8;1018;16;1;
2016-09-30;71,2;1018,2;18;1,4;
2016-10-31;291,8;1015,4;20;1,6;
2016-11-30;115,4;1014;21,2;1,5;
2016-12-31;130,2;1011,6;23,3;1,3;
2017-01-31;358,8;1011,6;25,1;1,5;
2017-02-28;204,6;1011,9;25,4;1,3;
2017-03-31;191,4;1014,2;23,3;1,1;
2017-04-30;150,8;1016,2;21,2;,6;
2017-05-31;242,6;1016,7;19,8;,9;
2017-06-30;145,4;1018,8;17,1;,4;
2017-07-31;15,2;1024,4;16,1;,3;
2017-08-31;85,8;1018,9;17,8;,4;
2017-09-30;143;1018,9;20,6;,4;
2017-10-31;249;1013,5;20,8;,4;
2017-11-30;169,4;1012,4;21,2;,3;
2017-12-31;154,8;1011,3;23,6;,2;
2018-01-31;51,4;1011,4;24,2;,1;
2018-02-28;36,4;1012,7;23,5;,1;
2018-03-31;null;1011,6;24;0;
2018-04-30;null;1016,7;22,2;,1;
2018-05-31;245,6;1018,1;19,5;,1;
2018-06-30;131,4;1018,9;16;0;
2018-07-31;55,2;1018,9;16,1;,1;
2018-08-31;60;1020;15,7;,2;
2018-09-30;51;1015,6;19,3;,2;
2018-10-31;315,8;1014,7;20,3;,4;
2018-11-30;114,6;1014,1;22,3;,7;
2018-12-31;131,4;1012,5;24,3;,3;
2019-01-31;270,2;1012,7;26,6;,3;
2019-02-28;501,4;1011,9;23,8;,6;
2019-03-31;239,8;1014,6;23,4;1,2;
2019-04-30;180,4;1013,8;22,2;1,1;
2019-05-31;250,8;1015,2;20,6;,5;
2019-06-30;152,6;1019,1;18,2;,4;
2019-07-31;null;null;null;null;
2019-08-31;null;null;null;null;
2019-09-30;null;null;null;null;
2019-10-31;null;null;21,7;null;
2019-11-30;203;1013,4;22,2;1,6;
2019-12-31;119,2;1012,4;23,3;1,5;
2020-01-31;218,8;1010,9;24,1;1,4;
2020-02-29;382,4;1013,4;23,6;1,4;
2020-03-31;127,4;1015,2;23,3;1,4;
2020-04-30;35,4;1016,5;20,4;1,2;
2020-05-31;50,8;1016,8;17,4;1;
2020-06-30;94;1017,3;17,8;,5;
2020-07-31;77,6;1018,3;16;,7;
2020-08-31;null;null;null;null;
2020-09-30;43;1017,4;19;,8;
2020-10-31;133,6;1014,6;20,9;1,1;
2020-11-30;153,8;1014,6;21,6;,7;
2020-12-31;241,6;1011,7;23,8;,8;
2021-01-31;null;null;null;null;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;1019,3;17,3;0;
2021-09-30;115,8;1016,8;19;0;
2021-10-31;null;null;null;null;
2021-11-30;null;null;21,9;null;
2021-12-31;190,4;1012;22,9;1,1;
2022-01-31;314,8;1011,1;24,6;1,1;
2022-02-28;110,2;1011,8;24,8;,7;
2022-03-31;358,4;1012,7;23,9;,5;
2022-04-30;155,4;1015,3;20,9;,3;
2022-05-31;217,8;1016,5;17,8;1,2;
2022-06-30;172;1017,9;16,2;,8;
2022-07-31;27,8;1017,6;17,5;,9;
2022-08-31;321,2;1019,6;16,6;1,2;
2022-09-30;220,8;1018,2;16,8;1,1;
2022-10-31;244,2;1014,5;20,1;1,3;
2022-11-30;266,6;1015,5;20,2;1,6;
2022-12-31;398,2;1011,2;23,3;1,3;
2023-01-31;279,6;1011,6;24,5;1,5;
2023-02-28;251,4;1011,4;24,6;1,2;
2023-03-31;273,4;1013,6;24,2;1,1;
2023-04-30;296,8;1014,9;20,8;1;
2023-05-31;20,8;1017,9;19,3;,8;
2023-06-30;228;1018,9;16,9;,9;
2023-07-31;132,2;1019,7;16,6;,9;
2023-08-31;136,4;1017;17,7;1;
2023-09-30;112,8;1014,8;20,2;1,2;
2023-10-31;541,6;1013,7;19,8;1,1;
2023-11-30;195,6;1012;22,4;1,2;
2023-12-31;154,8;1012,2;24,8;1,5;
2024-01-31;769;1012;24,2;1,5;
2024-02-29;309,4;1013,2;25,3;1,2;
2024-03-31;167,6;1013,4;24,8;1,2;
2024-04-30;360,2;1014,4;22,9;1,1;
2024-05-31;143,8;1015,2;20;,9;
2024-06-30;63,4;1017,1;18,1;,6;
2024-07-31;191,4;1021,7;15;,7;
2024-08-31;59,8;1019,4;15,3;,9;
2024-09-30;124,8;1016,1;19;,9;
2024-10-31;null;null;null;null;
2024-11-30;null;null;null;null;
2024-12-31;null;null;null;null;
2025-01-31;null;null;null;null;
2025-02-28;null;null;null;null;
2025-03-31;null;null;null;null;
2025-04-30;152,2;1015,2;21,5;,8;
2025-05-31;91,8;1018,7;19,8;,8;
2025-06-30;null;null;null;null;

