Nome: IVAI
Codigo Estacao: A818
Latitude: -25.01083333
Longitude: -50.85388888
Altitude: 803.58
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;236;922,5;22;1,7;
2010-02-28;48,2;923,4;22,8;1,7;
2010-03-31;135,6;922,8;21,2;1,6;
2010-04-30;186,4;926;18,5;1,8;
2010-05-31;76,6;925,6;15,2;1,6;
2010-06-30;72,8;928,4;14,2;1,7;
2010-07-31;123,6;928,3;15,1;1,7;
2010-08-31;28,4;928,2;15,1;2;
2010-09-30;67,8;925;18,1;1,8;
2010-10-31;211,4;923,4;17,4;1,9;
2010-11-30;75,6;921;20;1,8;
2010-12-31;187;920;21;1,8;
2011-01-31;151,2;920,5;22,4;1,3;
2011-02-28;194,8;922,5;22;1,5;
2011-03-31;30,2;923,5;20,7;2,1;
2011-04-30;57,4;925;18,8;1,4;
2011-05-31;30,6;926,9;15;1,6;
2011-06-30;156,2;926,4;12,8;1,5;
2011-07-31;145,6;926,4;15;1,5;
2011-08-31;407,8;926,1;15,4;1,9;
2011-09-30;65,4;927,5;16,4;2;
2011-10-31;252;922,8;19;1,9;
2011-11-30;87,6;923,1;19,4;1,9;
2011-12-31;51,8;921,3;21,2;1,7;
2012-01-31;164,8;922,2;21,1;1,6;
2012-02-29;70,6;923,2;22,9;1,3;
2012-03-31;55;924,4;20,6;1,5;
2012-04-30;39,4;924,2;18,6;1,3;
2012-05-31;63,4;927,5;15,7;1,5;
2012-06-30;268,8;926,7;14,4;1,2;
2012-07-31;78;927;14,3;1,5;
2012-08-31;3,6;929,8;17,6;1,7;
2012-09-30;50,6;926,5;18,5;1,9;
2012-10-31;144,4;923,4;20,2;1,6;
2012-11-30;93,6;922,1;21;1,7;
2012-12-31;183,4;921,5;23;1,4;
2013-01-31;81,4;923,1;21,1;1,8;
2013-02-28;null;923,1;21,5;1,3;
2013-03-31;null;924;20,2;1,4;
2013-04-30;null;925,6;18,1;1,5;
2013-05-31;48,8;926;16,2;1,3;
2013-06-30;419,4;926,4;14,8;1,2;
2013-07-31;120;928,5;13,3;1,7;
2013-08-31;30,6;927;15,2;2;
2013-09-30;144,4;925,9;17,2;1,8;
2013-10-31;201,2;924,6;19,1;1,9;
2013-11-30;111;923;20,6;2,2;
2013-12-31;91,8;921,1;22,2;1,8;
2014-01-31;235,4;924,2;22,3;1,5;
2014-02-28;116,4;923,8;22,9;1,9;
2014-03-31;148,8;924,1;21;1,6;
2014-04-30;89,6;925,8;19,2;1,6;
2014-05-31;154,4;926,1;15,7;1,5;
2014-06-30;290,8;926,7;15,5;1,6;
2014-07-31;87;929,6;14,2;1,6;
2014-08-31;68;928;15,9;1,7;
2014-09-30;null;null;null;null;
2014-10-31;null;null;null;null;
2014-11-30;null;null;21;null;
2014-12-31;185,6;922,7;21,9;1,8;
2015-01-31;274,8;924,5;23;1,6;
2015-02-28;220,2;923,3;21,8;1,4;
2015-03-31;116,4;924;21,2;1,5;
2015-04-30;92,8;925,4;19,2;1,4;
2015-05-31;null;null;null;null;
2015-06-30;null;null;null;null;
2015-07-31;null;null;14,5;null;
2015-08-31;53,8;927,3;17,8;1,2;
2015-09-30;191,8;923,7;19,5;1,1;
2015-10-31;214,2;924,3;20,6;1,5;
2015-11-30;218,8;922,1;20,3;1,6;
2015-12-31;197,8;923,1;22;1,3;
2016-01-31;206,2;922,3;22,6;1,4;
2016-02-29;251,4;923,8;22,9;,9;
2016-03-31;122,6;925;21;,8;
2016-04-30;110,6;925,2;21,6;,3;
2016-05-31;204,2;927,3;15,5;,4;
2016-06-30;null;928,7;13,9;,2;
2016-07-31;null;927,6;15,5;,3;
2016-08-31;null;926,5;16,1;,3;
2016-09-30;null;926,7;16,7;,2;
2016-10-31;null;924,1;19,1;,1;
2016-11-30;125,8;923,1;20,5;1,6;
2016-12-31;281,6;922,6;21,6;1,7;
2017-01-31;159,2;923,3;22,4;1,5;
2017-02-28;112,8;923,3;23;1,5;
2017-03-31;95,6;924,7;20,9;1,5;
2017-04-30;null;925,8;18,8;1,5;
2017-05-31;null;926;17,6;1,3;
2017-06-30;null;928;15,6;1,6;
2017-07-31;null;932,1;null;1,8;
2017-08-31;null;926,9;17,7;1,8;
2017-09-30;19,2;927,4;20,8;1,9;
2017-10-31;null;null;null;null;
2017-11-30;null;921,6;20,4;1,8;
2017-12-31;264,8;921,7;21,8;1,5;
