Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;37,4;1008;23,6;2,8;
2010-02-28;327,4;1008,1;23,5;2,7;
2010-03-31;46,2;1009,8;21,8;2,5;
2010-04-30;61,6;1014;18,2;2,4;
2010-05-31;84,6;1015;15,9;2,8;
2010-06-30;60,4;1016,3;12,7;2,8;
2010-07-31;255;1015,4;11,9;3;
2010-08-31;102,2;1017;12,2;2,9;
2010-09-30;122,6;1012,9;15,1;3,5;
2010-10-31;15,8;1012,8;16,1;3;
2010-11-30;101,6;1009,4;18,1;3;
2010-12-31;22,8;1006,8;22,4;3,4;
2011-01-31;97,8;1006,8;24,5;3;
2011-02-28;94,4;1009,7;22,7;3;
2011-03-31;158,6;1011,8;21;2,9;
2011-04-30;127,4;1011,7;18,4;2,3;
2011-05-31;165,2;1015,7;14,6;2,2;
2011-06-30;124,2;1013,4;12;3;
2011-07-31;44,8;1015,1;10,8;3;
2011-08-31;187;1014;11,9;4;
2011-09-30;41,4;1016,4;14,2;3,2;
2011-10-31;131,6;1010,7;16,8;3,5;
2011-11-30;29,6;1011,1;20,1;3,3;
2011-12-31;46,2;1009;20,4;3,2;
2012-01-31;62;1009,7;22,9;3,1;
2012-02-29;null;null;null;null;
2012-03-31;117,8;1010,7;21;2,4;
2012-04-30;85,2;1012;17,2;2,3;
2012-05-31;18,6;1015;16,8;2,2;
2012-06-30;94;1014;11,9;2,5;
2012-07-31;80,4;1016;9,4;2,6;
2012-08-31;108,2;1016;16,2;2,8;
2012-09-30;60,8;1014,2;15,3;3,3;
2012-10-31;87,8;1009,2;18,5;3,4;
2012-11-30;103,6;1010,2;21,3;2,9;
2012-12-31;158,2;1005,5;23,5;2,1;
2013-01-31;76;1010,6;22,1;2,2;
2013-02-28;118;1009;22,3;2,4;
2013-03-31;34,4;1011,8;19,3;2,1;
2013-04-30;119,4;1012,5;17,9;2,1;
2013-05-31;151,2;1012,6;14,1;1,9;
2013-06-30;107,8;1014,1;12,1;2,2;
2013-07-31;87;1016,3;11,2;2,2;
2013-08-31;137,4;1016,5;11,1;2,8;
2013-09-30;336,8;1013,4;15,3;3;
2013-10-31;83,4;1013,1;17,1;2,8;
2013-11-30;149;1009,2;20;3,4;
2013-12-31;52;1007,1;23,7;3;
2014-01-31;208,2;1008,2;24,4;2,6;
2014-02-28;159,8;1009,6;23,3;2,4;
2014-03-31;121,4;1010,5;20,2;2,3;
2014-04-30;67,4;1013,7;18,3;2,3;
2014-05-31;null;1013,1;15,2;1,9;
2014-06-30;null;null;null;null;
2014-07-31;null;null;null;null;
2014-08-31;70,2;1014,3;13,7;2,7;
2014-09-30;151;1012,2;15,8;3,2;
2014-10-31;210,4;1012,3;19;3,1;
2014-11-30;53,6;1009,9;20,7;3,1;
2014-12-31;103;1008,2;22,4;2,7;
2015-01-31;146,6;1009,5;23,3;2,6;
2015-02-28;62,2;1010,2;22,9;2,5;
2015-03-31;8;1011,6;21,9;2,4;
2015-04-30;3,4;1013,6;19;2,2;
2015-05-31;81,6;1015,2;16,1;2;
2015-06-30;85,6;1015,3;13,1;2,2;
2015-07-31;92,8;1015,3;12,8;2,2;
2015-08-31;173,8;1011,7;16,7;3;
2015-09-30;178,2;1011,9;14,4;2,7;
2015-10-31;281,4;1012,9;15,9;3,5;
2015-11-30;116;1010,1;18,8;3,3;
2015-12-31;128,6;1008;22,2;2,9;
2016-01-31;104;1009,2;23,6;2,8;
2016-02-29;90,4;1008,7;24,1;2,4;
2016-03-31;161,6;1012,8;20,5;2,5;
2016-04-30;417,6;1010,8;19;2,7;
2016-05-31;72;1017,1;13,1;2,6;
2016-06-30;42,4;1018,7;10;2,2;
2016-07-31;87;1014,4;11,8;2,4;
2016-08-31;113,8;1014,3;13,5;2,2;
2016-09-30;117,8;1015,6;13,6;3,4;
2016-10-31;149,2;1012;16,9;3,7;
2016-11-30;58,2;1010,7;19,5;2,8;
2016-12-31;null;null;null;null;
2017-01-31;null;null;null;null;
2017-02-28;null;null;null;null;
2017-03-31;null;null;null;null;
2017-04-30;138,8;1012,7;18,6;3;
2017-05-31;162,4;1013,6;16,2;2,5;
2017-06-30;116,6;1013,6;14,2;2,4;
2017-07-31;39,2;1018,5;14,6;2,4;
2017-08-31;null;1013,9;14,9;3;
2017-09-30;104,8;1014,9;17,2;2,9;
2017-10-31;162,6;1009,8;17,6;3,3;
2017-11-30;null;1008,9;19;3;
2017-12-31;null;1007,8;23,2;3,1;
2018-01-31;123,8;1008,2;23,5;3;
2018-02-28;8,8;1010,5;22,3;2,6;
2018-03-31;88,2;1009,1;20,5;2,5;
2018-04-30;102,6;1013,1;21,7;2,1;
2018-05-31;76,6;1014,5;16;2,2;
2018-06-30;59,6;1015,3;10,9;2,6;
2018-07-31;271,2;1016;11,8;2,9;
2018-08-31;183,8;1016,4;12,1;2,8;
2018-09-30;203;1013;16,8;3,1;
2018-10-31;100,4;1012,8;17;2,6;
2018-11-30;47,4;1010;20,9;3,3;
2018-12-31;113,6;1009,2;21,5;3,4;
2019-01-31;300;1009;23,8;2,7;
2019-02-28;53,2;1009,9;22,6;2,2;
2019-03-31;26,8;1012,3;21;2,7;
2019-04-30;90;1012;19,3;2,2;
2019-05-31;38;1013,6;16,4;1,9;
2019-06-30;155,6;1013,7;15,3;2,2;
2019-07-31;160,2;1016;11,2;2,2;
2019-08-31;190;1018,2;11,8;2,7;
2019-09-30;120,6;1014,9;13,8;2,6;
2019-10-31;359;1012;17,8;3,1;
2019-11-30;71,2;1010,1;20,9;2,6;
2019-12-31;84,8;1008,1;22,6;2,6;
2020-01-31;58,4;1008,4;23,2;2,5;
2020-02-29;86,8;1010,6;22,7;2,8;
2020-03-31;40,2;1012,2;22,5;2,5;
2020-04-30;80,8;1013,7;18,5;3,1;
2020-05-31;163,4;1012,9;15;2,6;
2020-06-30;139,2;1012,5;13,4;2,2;
2020-07-31;62,6;1014,1;11,5;2,3;
2020-08-31;63,6;1015,5;13,4;2,2;
2020-09-30;163,4;1014,3;13,8;2,5;
2020-10-31;67,8;1012,5;16,8;2,9;
2020-11-30;39,6;1012,8;19,3;2,4;
2020-12-31;null;1008,2;22,5;2,7;
2021-01-31;173,2;1008,3;23,4;2,3;
2021-02-28;302,2;1009;22,2;1,5;
2021-03-31;128,6;1010,2;21,6;,7;
2021-04-30;112,6;1014,5;19,3;1,1;
2021-05-31;41,8;1013,8;12,8;,8;
2021-06-30;null;1015,8;13,1;,6;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;230,8;1013;15,8;,9;
2021-10-31;66,8;1012,8;17,3;,6;
2021-11-30;30,2;1009,5;20,5;,9;
2021-12-31;44,8;1010,4;22;,6;
2022-01-31;144;1007,9;24,7;,5;
2022-02-28;85;1008,4;22,6;,3;
2022-03-31;57,8;1010;20,3;,5;
2022-04-30;95;1012,3;17,6;,2;
2022-05-31;41;1014,6;13,4;,4;
2022-06-30;84,6;1015,6;10,1;,3;
2022-07-31;283,4;1012,2;13,1;,5;
2022-08-31;91,8;1017;12,4;,2;
2022-09-30;78,2;1015,8;13,7;,4;
2022-10-31;55,2;1012,3;16,4;,7;
2022-11-30;58,4;1013,4;20,2;,7;
2022-12-31;11,8;1008,7;22,7;,6;
2023-01-31;38,4;1008,7;24,3;,6;
2023-02-28;91,6;1008,6;23,1;,4;
2023-03-31;null;1010,1;23,9;,2;
2023-04-30;null;1012,5;18,2;,1;
2023-05-31;127;1014,7;16,3;,1;
2023-06-30;null;null;12,7;null;
2023-07-31;31;1016,3;12,7;,1;
2023-08-31;3,6;1013,3;13,3;1,2;
2023-09-30;389,6;1011,8;14,8;3,2;
2023-10-31;71,2;1011,3;16,7;3,2;
2023-11-30;234,4;1008,6;19,4;3,2;
2023-12-31;136;1009,5;21,6;3,2;
2024-01-31;33,6;1010,8;23;3,1;
2024-02-29;63,4;1010,9;24,3;3,1;
2024-03-31;222,2;1010,7;22;2,3;
2024-04-30;195,2;1011,1;19;2,9;
2024-05-31;497,4;1013,6;13,6;2,7;
2024-06-30;126;1012,4;14,7;2,6;
2024-07-31;12,4;1020,1;10,6;2;
2024-08-31;167,8;1015,2;12,8;3,3;
2024-09-30;201,8;1011,9;16;2,9;
2024-10-31;114,6;1012,2;18,6;3,2;
2024-11-30;198,6;1010,3;21;3,3;
2024-12-31;244,8;1008,9;20;3,3;
2025-01-31;70,8;1008,7;23,2;2,8;
2025-02-28;93;1008,8;24,6;2,6;
2025-03-31;102,2;1012,3;22,5;,7;
2025-04-30;216,6;1013,7;17,4;,6;
2025-05-31;99;1014,7;16;,2;
2025-06-30;null;null;null;null;

