Nome: JAPIRA
Codigo Estacao: A871
Latitude: -23.77333332
Longitude: -50.18055554
Altitude: 692.88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;0;934,3;22,8;2;
2010-02-28;0;934,8;24,1;1,8;
2010-03-31;0;934,1;22,7;2;
2010-04-30;0;937,5;20,5;2,2;
2010-05-31;0;937,2;17,3;1,9;
2010-06-30;0;940,2;16,8;2,3;
2010-07-31;null;939,6;18,2;2,4;
2010-08-31;null;940,3;16,9;2,5;
2010-09-30;null;null;null;null;
2010-10-31;141,8;934,9;19,5;2,6;
2010-11-30;70,6;932,5;21,7;2,5;
2010-12-31;226,6;931,3;22,4;2,3;
2011-01-31;182;932;23,5;1,8;
2011-02-28;85,6;934;23,5;1,9;
2011-03-31;132,8;934,5;21,7;3;
2011-04-30;125,4;936,5;20,7;1,8;
2011-05-31;5,6;938,5;17,4;1,9;
2011-06-30;100,2;938,3;15,7;2;
2011-07-31;84;938,4;17,7;1,8;
2011-08-31;73,2;937,8;18,1;2,5;
2011-09-30;6,8;938,8;19;3;
2011-10-31;280,8;934,5;20,4;2,8;
2011-11-30;144,6;934,5;20,7;2,9;
2011-12-31;64,8;932,8;22,8;2,6;
2012-01-31;230,2;933,8;21,9;2,4;
2012-02-29;102,8;934,7;24,1;2;
2012-03-31;73,6;935,8;22,5;2,3;
2012-04-30;105,4;935,6;20,8;2,3;
2012-05-31;44,6;939,1;17,4;2,6;
2012-06-30;null;null;null;null;
2012-07-31;47,4;938,9;16,9;2;
2012-08-31;6,8;941,5;19,5;2,9;
2012-09-30;80,8;938,1;20,7;2,9;
2012-10-31;67;934,8;22,7;2,8;
2012-11-30;51,6;933,4;22,1;3,3;
2012-12-31;272,8;933,2;24,3;2,2;
2013-01-31;110,8;934,5;22,1;2,9;
2013-02-28;258,8;934,8;22,3;1,8;
2013-03-31;143,4;935,4;21,7;2,4;
2013-04-30;173;937,1;19,9;1,8;
2013-05-31;109;937,7;18,7;,4;
2013-06-30;263,8;938,4;16,7;,2;
2013-07-31;96,2;940,3;16,2;,4;
2013-08-31;4,4;938,8;17,8;,4;
2013-09-30;118,8;937,5;19,3;,4;
2013-10-31;187,8;936,2;20,2;,7;
2013-11-30;116,8;934,4;21,7;,9;
2013-12-31;75,8;932,4;23,6;,4;
2014-01-31;196,2;935,7;24;,2;
2014-02-28;142,2;935;24,6;,6;
2014-03-31;171,2;935,7;22,3;,6;
2014-04-30;105,8;937,2;20,5;,5;
2014-05-31;110,2;937,7;18,1;,4;
2014-06-30;null;null;null;null;
2014-07-31;null;null;null;null;
2014-08-31;33,4;939,7;18,7;,6;
2014-09-30;230;937;19,8;1,1;
2014-10-31;40,2;936,8;22,4;1,5;
2014-11-30;139,4;934,3;22;1,1;
2014-12-31;192,4;934,3;22,9;,8;
2015-01-31;147,6;935,9;24,7;,7;
2015-02-28;225,4;934,8;22,8;,6;
2015-03-31;73;935,5;21,9;,8;
2015-04-30;65,4;936,8;20,8;,8;
2015-05-31;119,6;938,5;17,9;,9;
2015-06-30;12;940,7;17,6;1,1;
2015-07-31;247,4;939,2;17,1;,7;
2015-08-31;39,4;939,1;20,1;1;
2015-09-30;187,2;935,5;21;1;
2015-10-31;272,4;936;21,7;1,7;
2015-11-30;427,2;933,6;21,5;1,3;
2015-12-31;278,2;934,9;22,7;,9;
2016-01-31;263,2;933,6;23,2;2;
2016-02-29;207,4;935,4;23,7;,9;
2016-03-31;93,4;936,5;22,4;1;
2016-04-30;47,8;936,7;23,5;,6;
2016-05-31;245,2;939,2;16,8;1;
2016-06-30;80,4;940,7;15,1;,8;
2016-07-31;39,8;939,5;17,2;,6;
2016-08-31;144,6;938,3;18,1;,9;
2016-09-30;63,8;938,2;18,3;1,3;
2016-10-31;152,4;935,6;20,1;2;
2016-11-30;96,4;934,5;21,6;1,9;
2016-12-31;154,2;934,1;23;1,1;
2017-01-31;null;934,9;23;,5;
