Nome: JOACABA
Codigo Estacao: A841
Latitude: -27.16916666
Longitude: -51.55888888
Altitude: 767.63
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;210,8;925,1;21,8;2,6;
2010-02-28;205;925,9;22,6;2,7;
2010-03-31;152,8;926;20,2;2,5;
2010-04-30;292,6;929,3;17,4;2,5;
2010-05-31;203,6;928,9;14;2,3;
2010-06-30;73,8;931;13,5;3;
2010-07-31;128,2;931,2;13,5;3,2;
2010-08-31;62,4;930,9;14,5;3,5;
2010-09-30;90,2;927,8;16,8;3,4;
2010-10-31;158,4;926,7;16,4;2,8;
2010-11-30;101,2;924,1;18,9;2,9;
2010-12-31;362,6;922,9;20,3;2,7;
2011-01-31;124,2;923,3;22;2,2;
2011-02-28;250,6;925,3;21,5;2,2;
2011-03-31;172,6;926,8;20;3,1;
2011-04-30;138;928;17,9;2,3;
2011-05-31;74,4;930,1;13,9;2,2;
2011-06-30;171,6;929,1;11,7;2,8;
2011-07-31;255,8;929,1;13,3;2,9;
2011-08-31;279;928,5;14,3;3,6;
2011-09-30;187,8;930,3;15,3;3,6;
2011-10-31;286,6;925,8;18,2;3,1;
2011-11-30;138,6;926,1;19;3,2;
2011-12-31;106,4;924,2;20,2;3;
2012-01-31;107,8;925;21,2;2,7;
2012-02-29;130,8;925,8;22,8;2,6;
2012-03-31;40,8;927,4;20,3;2,6;
2012-04-30;139,8;927,3;17,5;2,4;
2012-05-31;59,4;930,7;14,8;2,7;
2012-06-30;119,2;929,6;13;2,5;
2012-07-31;203,8;929,8;12,7;2,7;
2012-08-31;13;932,5;17,3;3,2;
2012-09-30;76,6;929,4;17,2;3,6;
2012-10-31;186,8;926,2;18,8;3,3;
2012-11-30;16,6;925,1;21,4;3,2;
2012-12-31;244;923,9;22,7;2,9;
2013-01-31;104;926,2;21,3;2,9;
2013-02-28;145,4;925,7;21,1;2,4;
2013-03-31;203,8;927,1;18,8;2,6;
2013-04-30;121,4;928,8;16,8;2,7;
2013-05-31;84,4;928,7;14,9;2,5;
2013-06-30;212;929,1;13,4;2,2;
2013-07-31;82,4;931,3;12,4;2,7;
2013-08-31;260;929,9;13,4;3;
2013-09-30;239;928,8;15,7;3,1;
2013-10-31;229,8;927,6;17,8;3;
2013-11-30;127,4;925,7;20,3;3,7;
2013-12-31;125,8;923,9;22;2,7;
2014-01-31;269,2;926,6;22,1;2,2;
2014-02-28;182;926,8;21,9;2,6;
2014-03-31;266,4;927;19,5;2,2;
2014-04-30;135,4;928,8;18,1;2;
2014-05-31;243;929,1;14,5;1,9;
2014-06-30;461,4;929,2;14;2,3;
2014-07-31;70,6;932,2;13,5;2,6;
2014-08-31;99,2;930,6;15,3;2;
2014-09-30;282,8;927,6;17,4;1,9;
2014-10-31;76,8;928,1;20,1;1,5;
2014-11-30;212,4;925,8;20,3;,7;
2014-12-31;266,2;925,4;21,2;,8;
2015-01-31;254,6;927,2;21,8;,5;
2015-02-28;111;926,1;21,2;,1;
2015-03-31;127,8;927,1;20,8;,2;
2015-04-30;77,8;928,6;18,2;,2;
2015-05-31;150,4;929,9;15,5;,3;
2015-06-30;210,6;931,4;14;,6;
2015-07-31;312,6;929,7;13,9;,4;
2015-08-31;49,2;929,5;18;,6;
2015-09-30;250,8;926,1;17,5;,7;
2015-10-31;321;926,9;19,1;,4;
2015-11-30;258,8;924,7;19,7;,3;
2015-12-31;344;925,3;21,7;,3;
2016-01-31;87;925,2;22,9;,3;
2016-02-29;192,8;926,3;22,5;,1;
2016-03-31;240,8;927,9;19,6;,2;
