Nome: JOAQUIM TAVORA
Codigo Estacao: A821
Latitude: -23.50527777
Longitude: -49.94638888
Altitude: 512.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;314,2;953,7;23,9;2;
2010-02-28;74;954,1;24,9;1,6;
2010-03-31;114,4;953,5;23,5;2;
2010-04-30;63,2;956,9;21,1;2;
2010-05-31;64,6;957,1;17,6;1,1;
2010-06-30;24,4;960,1;16,5;1,7;
2010-07-31;51,4;959,6;18,6;2,3;
2010-08-31;17,6;959,5;17,8;2,3;
2010-09-30;54,4;956,2;20,9;2,7;
2010-10-31;135;954,3;20,6;2,6;
2010-11-30;44,8;951,9;22,2;2,4;
2010-12-31;139,8;950,6;23,7;2,4;
2011-01-31;171,8;951,3;24,6;1,4;
2011-02-28;113;953,4;24,3;2;
2011-03-31;73,2;953,9;23;3,5;
2011-04-30;50,6;956;21,4;2,2;
2011-05-31;9,4;958,3;17,7;2,6;
2011-06-30;77;958,3;15,1;1,8;
2011-07-31;64,2;958,2;17,8;1,8;
2011-08-31;60,2;957,5;18,3;2,4;
2011-09-30;5;958,5;19,7;3,3;
2011-10-31;293,6;954;21,4;3,2;
2011-11-30;75,8;954;21,8;3,4;
2011-12-31;85,8;952,1;23,3;2,8;
2012-01-31;143,4;953,3;23,3;2,5;
2012-02-29;104,2;953,9;24,7;1,8;
2012-03-31;71;955,1;23,4;2,7;
2012-04-30;137,2;955,1;21,8;1,9;
2012-05-31;54,6;958,8;18,3;2,5;
2012-06-30;255,2;958,5;17,1;1,2;
2012-07-31;77,8;958,9;16,4;1,1;
2012-08-31;7,2;961,2;20;2,5;
2012-09-30;46,4;957,7;21,3;2,7;
2012-10-31;126;954,2;23,5;2,3;
2012-11-30;48,8;952,8;23,2;3,6;
2012-12-31;175,4;952,4;25,4;1,5;
2013-01-31;104,2;953,8;23,3;3,3;
2013-02-28;null;954,2;23,6;1,8;
2013-03-31;181,4;954,8;22,7;2,4;
2013-04-30;null;956,9;20,7;2,1;
2013-05-31;121,6;957,4;18,5;1,4;
2013-06-30;null;958,3;17,3;1,5;
2013-07-31;77,6;960,1;16,7;1,4;
2013-08-31;2;958,6;17,9;1,9;
2013-09-30;144,2;957,2;20,2;1,9;
2013-10-31;151,6;955,7;21,1;3,6;
2013-11-30;131,8;953,8;22,7;3,4;
2013-12-31;52,8;951,6;24,7;2,2;
2014-01-31;126,2;955;25;1,6;
2014-02-28;167,2;954,2;25,6;2,5;
