Nome: LAGES
Codigo Estacao: A865
Latitude: -27.80222222
Longitude: -50.33555555
Altitude: 952.7
Situacao: Operante
Data Inicial: 2014-11-05
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2014-11-30;null;null;17,9;null;
2014-12-31;181,4;906,6;19,4;3,3;
2015-01-31;199,4;908,2;20,6;2,8;
2015-02-28;126,6;907,2;20;2,7;
2015-03-31;126;908,2;18,9;2,9;
2015-04-30;93,2;909,5;16,3;2,7;
2015-05-31;66,8;910,6;14;3,2;
2015-06-30;130,8;912;11,7;2,7;
2015-07-31;249;910,2;12,5;2,8;
2015-08-31;66,6;910,7;15,6;3,2;
2015-09-30;311,6;907,1;15;3,2;
2015-10-31;337,8;908,2;16;3,8;
2015-11-30;119,8;906;17,4;3,6;
2015-12-31;192,2;906,4;20;3,2;
2016-01-31;101,6;906,7;20,6;3,5;
2016-02-29;225;907,4;21,1;2,8;
2016-03-31;173;908,9;18,2;3,1;
2016-04-30;132,4;908,8;18,6;2,6;
2016-05-31;123,8;910,7;12,3;2,8;
2016-06-30;25;912,4;9;2,8;
2016-07-31;121,2;910,5;11,4;3,2;
2016-08-31;136;909,9;12,5;2,9;
2016-09-30;110,4;910,2;13,3;3,4;
2016-10-31;207,8;907,9;15,2;4,2;
2016-11-30;70,4;907,2;17,3;3,5;
2016-12-31;151,4;906,2;19,2;3,1;
2017-01-31;114,2;907;20,8;3,1;
2017-02-28;102,6;907,3;21,3;3,1;
2017-03-31;86,6;908,8;18,8;3,2;
2017-04-30;null;910,2;16;3,2;
2017-05-31;108,2;909,7;14,6;3,3;
2017-06-30;null;911,1;12,2;3,1;
2017-07-31;null;915,7;11,9;3,1;
2017-08-31;106,2;910,6;12,3;3,8;
2017-09-30;null;null;null;null;
2017-10-31;null;null;null;null;
2017-11-30;null;906,3;17,2;3,6;
2017-12-31;145,8;905,7;19,8;3,4;
2018-01-31;192;906,4;19,7;3;
2018-02-28;61,2;907,2;19;2,9;
2018-03-31;134,4;906,5;19,6;2,6;
2018-04-30;19,2;910,9;18;2,5;
2018-05-31;66,8;911,2;13,9;2,9;
2018-06-30;124,8;910,9;11,6;2,4;
2018-07-31;80;911;12,7;null;
2018-08-31;89,8;911,4;11;null;
2018-09-30;200;908,3;15;null;
2018-10-31;146,2;907,6;15,6;3,7;
2018-11-30;152,4;907,5;17,8;3,9;
2018-12-31;227,2;907,1;20;3,1;
2019-01-31;134,4;908,4;22;3;
2019-02-28;125,6;907,1;19,6;2,9;
