Nome: LAGOA VERMELHA
Codigo Estacao: A844
Latitude: -28.222381
Longitude: -51.512845
Altitude: 833.83
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;282,6;918,5;21,1;3,2;
2010-02-28;283,6;919,3;22,1;3;
2010-03-31;113,8;919,4;19,7;3;
2010-04-30;220;922,7;16,8;3,4;
2010-05-31;153;922,1;13,5;3,3;
2010-06-30;149,4;924,1;12,5;3,3;
2010-07-31;156,6;924,1;12,4;3,5;
2010-08-31;65;924,1;13;3,8;
2010-09-30;226,8;921,1;15;3,8;
2010-10-31;124,8;920;15,2;3,4;
2010-11-30;111,2;917,4;18,1;3,3;
2010-12-31;132,6;916,2;20,1;3,4;
2011-01-31;178,4;916,8;21,7;2,8;
2011-02-28;172;918,7;20,9;3,1;
2011-03-31;128,6;920,4;19,1;3,5;
2011-04-30;97,4;921,1;17,5;2,9;
2011-05-31;93;923,3;13,3;3,2;
2011-06-30;201,6;921,9;10,9;3,1;
2011-07-31;293;922,2;12,1;3,3;
2011-08-31;246,2;921,5;12,5;3,8;
2011-09-30;85,8;923,5;14,3;3,8;
2011-10-31;181,6;919;17,3;3,7;
2011-11-30;54,8;919,5;18,5;3,6;
2011-12-31;86,6;917,5;19,5;3,4;
2012-01-31;99,2;918,4;20,8;3,3;
2012-02-29;124,8;919,1;22,5;3;
2012-03-31;60,8;920,7;19,7;3;
2012-04-30;64,6;920,4;17,2;3;
2012-05-31;35;923,8;14,7;3;
2012-06-30;173,2;922,6;12,6;2,8;
2012-07-31;251,2;922,8;11,2;3,2;
2012-08-31;27;925,6;16,1;3,9;
2012-09-30;155,6;922,6;15,7;4;
2012-10-31;135;919,4;17,9;3,5;
2012-11-30;55,6;918,8;20,1;3,7;
2012-12-31;123,8;917,1;22,1;3,3;
2013-01-31;129,4;919,7;20,2;3,4;
2013-02-28;117,6;919;20,5;2,9;
2013-03-31;199,4;920,5;17,7;3,2;
2013-04-30;69,6;921,9;16,9;2,9;
2013-05-31;104;921,7;14,1;2,8;
2013-06-30;162,2;922,1;13;2,7;
2013-07-31;59,2;924,3;11,7;2,9;
2013-08-31;346;923;11,6;3,6;
2013-09-30;185,4;922;14,7;3,3;
2013-10-31;190;920,9;16,4;3,5;
2013-11-30;130;919;19,4;4,1;
2013-12-31;73,2;917,2;21,9;3,2;
2014-01-31;178,6;919,9;22,2;2,8;
2014-02-28;214,8;920,2;22,1;3,3;
2014-03-31;247,8;920,2;19,1;3;
2014-04-30;139;922,2;17,5;3,4;
2014-05-31;228;922,2;13,9;2,9;
2014-06-30;348,6;922,1;12,9;3,4;
2014-07-31;65,8;925,2;12,8;3,3;
2014-08-31;139,8;923,6;14,3;3,1;
2014-09-30;274,2;920,7;16,2;3,6;
2014-10-31;135,2;921,5;18,7;3,7;
2014-11-30;101,8;919,2;19,9;3,6;
2014-12-31;186,2;918,7;20,6;3,4;
2015-01-31;201,8;920,5;21,2;3;
2015-02-28;191,2;919,5;20,8;2,9;
2015-03-31;28,6;920,6;20;3,1;
2015-04-30;null;922;17,6;3,1;
2015-05-31;null;923,5;15,4;3,2;
2015-06-30;null;null;null;null;
2015-07-31;null;null;null;null;
2015-08-31;41,4;922,5;17,3;3,4;
2015-09-30;null;null;13,6;null;
2015-10-31;null;null;null;null;
2015-11-30;null;null;null;null;
2015-12-31;254,2;918,5;20,9;3,1;
2016-01-31;null;918,6;22,3;3,3;
2016-02-29;null;919,6;21,9;2,7;
2016-03-31;202,8;921,2;19;3;
2016-04-30;175,6;921;19,7;2,8;
2016-05-31;90;923,4;12,8;2,8;
2016-06-30;27,8;925,4;9,4;2,6;
2016-07-31;218,2;923;12,2;3,1;
2016-08-31;140,6;922,3;13,7;3,2;
2016-09-30;72,4;922,9;13,9;3,2;
2016-10-31;336,6;920;16,5;3,8;
2016-11-30;114,4;919,5;18,7;3,4;
2016-12-31;109,8;918,4;20,8;3;
2017-01-31;221,2;919,3;21,5;3;
2017-02-28;null;919,4;22,1;2,8;
2017-03-31;117,8;921;19,8;3;
2017-04-30;187;922;16,8;3,2;
2017-05-31;383;921,9;15,3;3,3;
2017-06-30;178,6;923,4;13,2;2,9;
2017-07-31;11,8;927,9;13,4;3,1;
2017-08-31;167,4;922,4;14,6;3,6;
2017-09-30;null;923,3;18,8;3,1;
2017-10-31;168,2;919,1;17;3,5;
2017-11-30;144,4;918,1;18,2;3,4;
2017-12-31;150;917,7;21,5;3,2;
2018-01-31;177,6;918,6;20,7;3;
2018-02-28;89,4;919,5;20;2,9;
2018-03-31;128,6;918,8;20,3;2,6;
2018-04-30;67;923,2;19,5;2,6;
2018-05-31;107,4;923,5;15,1;2,8;
2018-06-30;155,8;923,5;11,7;2,6;
2018-07-31;119,4;923,5;13,3;3;
2018-08-31;116,4;923,9;11,6;3,1;
2018-09-30;208,6;920,5;16,3;3,2;
2018-10-31;240;919,9;16,8;3,7;
2018-11-30;245,6;919,4;19,7;3,5;
2018-12-31;162,6;919,4;20,9;3;
2019-01-31;133;920,5;23;2,9;
2019-02-28;171,8;919,5;20,5;3;
2019-03-31;152,4;921,5;19,2;3,1;
2019-04-30;136,4;920,8;18,7;2,6;
2019-05-31;220,2;921,4;16,1;2,9;
2019-06-30;32;924,2;15,2;2,7;
2019-07-31;112;923,9;12,1;2,9;
2019-08-31;42,4;925,7;13;3,4;
2019-09-30;75,8;921,8;15,9;3,6;
2019-10-31;312;920,5;18,6;3,6;
2019-11-30;118,8;918,9;19,9;3,7;
2019-12-31;92;918,7;21,3;3,2;
2020-01-31;184,8;918,3;21,3;3,1;
2020-02-29;109,2;920,3;20,7;3,2;
2020-03-31;18,2;921,5;21,1;2,9;
2020-04-30;44;922,7;16,7;3,1;
2020-05-31;162,8;922,5;13,9;2,8;
2020-06-30;227,2;921,9;13,9;3,3;
2020-07-31;351,2;922,4;12,1;3;
2020-08-31;91,2;923,6;14,5;3,2;
2020-09-30;116;921,5;16,9;3,4;
2020-10-31;40,4;919,8;18,7;3,6;
2020-11-30;94,8;920,2;18,9;3,4;
2020-12-31;105,6;918,4;20,9;3,2;
2021-01-31;null;918,6;20,9;3,1;
2021-02-28;69,8;918,9;20,2;2,9;
2021-03-31;239;919,5;20,2;2,9;
2021-04-30;13,2;922,9;17,2;3,1;
2021-05-31;16,4;922,4;13,2;2,8;
2021-06-30;18,4;923,6;11,7;3,1;
2021-07-31;4,2;925,2;11,4;2,9;
2021-08-31;22,8;924;15,2;3,4;
2021-09-30;205,2;921,1;16,6;3,4;
2021-10-31;134,2;920,4;16,8;3,6;
2021-11-30;91,2;918,4;19,8;3,4;
2021-12-31;25,8;918;21,4;3,5;
2022-01-31;null;918,7;23;3,1;
2022-02-28;61,8;918,9;21,8;2,9;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;null;null;null;null;
2022-06-30;297,2;922,4;11,2;3;
2022-07-31;67,8;922,1;15,4;3,2;
2022-08-31;132,2;923,6;12,7;3,5;
2022-09-30;59,2;922,2;13,1;3,8;
2022-10-31;167,6;919,9;16,2;3,4;
2022-11-30;39,6;921,2;17,5;3,9;
2022-12-31;107,2;917,7;21,1;3,3;
2023-01-31;50;918,7;22,2;2,9;
2023-02-28;62;919,1;20,7;2,7;
2023-03-31;49,8;920,7;21,2;3;
2023-04-30;75,2;921;17;3;
2023-05-31;96;923,5;15,5;2,7;
2023-06-30;126;924,2;13,2;2,9;
2023-07-31;166,4;923,8;13,3;3,1;
2023-08-31;64,2;921,7;14,7;3,2;
2023-09-30;321,6;919,8;17,1;3,6;
2023-10-31;399,4;918,7;16,8;3,6;
2023-11-30;386,2;917,9;19,4;3,6;
2023-12-31;87,2;919,1;21,7;3,2;
2024-01-31;159;919,4;21;3,4;
2024-02-29;128,2;920,5;22,5;2,9;
2024-03-31;92,6;920,7;21,1;2,9;
2024-04-30;168,8;920,7;19,7;3,1;
2024-05-31;349,8;921,2;14,8;3,1;
2024-06-30;207,8;922,3;15;3,1;
2024-07-31;133;925,8;12,3;3;
2024-08-31;87;923,6;14,5;3,1;
2024-09-30;120,6;920,9;18;3,4;
2024-10-31;197,8;920,4;18,3;3,6;
2024-11-30;43,4;918,9;20,7;3,6;
2024-12-31;null;917,7;19,7;3,4;
2025-01-31;67,4;917,8;22;3,1;
2025-02-28;66;919,9;23,4;2,9;
2025-03-31;8,4;922;21,4;3;
2025-04-30;93,2;921,5;16,9;3;
2025-05-31;66,6;923,8;15,3;2,9;
2025-06-30;null;null;null;null;

