Nome: Laguna - Farol de Santa Marta
Codigo Estacao: A866
Latitude: -28.60444444
Longitude: -48.81333333
Altitude: 34.36
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;139,8;1006,3;24;4,3;
2010-02-28;66,6;1006,4;24,7;5,4;
2010-03-31;220,2;1007,3;23,7;4,3;
2010-04-30;156,6;1011,9;21,3;5,9;
2010-05-31;null;null;18,8;null;
2010-06-30;null;null;null;null;
2010-07-31;null;null;null;null;
2010-08-31;null;null;16,1;null;
2010-09-30;93;1011,6;17,6;7,7;
2010-10-31;64,2;1010;18,4;7,1;
2010-11-30;157,2;1006,6;20,3;7,4;
2010-12-31;92,4;1005;22,2;6,7;
2011-01-31;114,8;1004,3;24;5,2;
2011-02-28;82,4;1006,6;23,9;5,8;
2011-03-31;134,4;1010;21,4;5,9;
2011-04-30;60,2;1010,1;20,8;4,6;
2011-05-31;118;1013,1;18,5;6,1;
2011-06-30;92,4;1011,8;16,2;6,6;
2011-07-31;null;1012,8;15,3;7,3;
2011-08-31;245,8;1012,1;16;8,3;
2011-09-30;131,8;1014,7;16,3;8,5;
2011-10-31;52,6;1008,8;18,7;7,3;
2011-11-30;25,2;1009,7;19,4;7,2;
2011-12-31;139,6;1006,6;21,1;6;
2012-01-31;158,8;1007,1;21,9;6,1;
2012-02-29;19,2;1006,3;22,1;5,5;
2012-03-31;23;1008,9;22,4;5,6;
2012-04-30;60;1009,4;21,3;6,3;
2012-05-31;66,8;1013,6;19,3;5,6;
2012-06-30;108,4;1012,1;16,8;5,2;
2012-07-31;85;1012,8;15;6;
2012-08-31;null;null;null;null;
2012-09-30;123,8;1012,8;17,8;8,2;
2012-10-31;157;1008,2;19,4;8,6;
2012-11-30;83,8;1008,4;20,7;6,7;
2012-12-31;109,4;1004,7;22,5;6,7;
2013-01-31;76;1008,4;23,2;7,1;
2013-02-28;88,4;1006,9;23,8;5,7;
2013-03-31;203,6;1009,4;22,3;6,8;
2013-04-30;87,4;1010,8;21;6,6;
2013-05-31;27,4;1011;18,4;5,8;
2013-06-30;90,8;1012,3;16,6;4,7;
2013-07-31;66,4;1015;14,6;6,3;
2013-08-31;360;1013,7;14,6;8;
2013-09-30;206;1011,7;17;7,8;
2013-10-31;81,8;1011,1;18,9;8,2;
2013-11-30;42,4;1008,6;19,7;9;
2013-12-31;85,8;1005,7;22,5;5,6;
2014-01-31;191,2;1007,2;23,7;5,6;
2014-02-28;90,6;1007,6;23,7;6,6;
2014-03-31;94;1008,7;23,2;4,4;
2014-04-30;147,6;1011,6;21,4;5,1;
2014-05-31;88,2;1011,8;18,7;4,1;
2014-06-30;243;1012,4;17,1;3,6;
2014-07-31;50,6;1016;16,8;0;
2014-08-31;86,4;1013,6;16,4;0;
2014-09-30;82,2;1010,8;18,3;0;
2014-10-31;112,8;1011,2;19,4;0;
2014-11-30;53,8;1008,2;20,8;0;
2014-12-31;null;null;21,9;null;
2015-01-31;null;null;null;null;
2015-02-28;204,4;1007,4;24,1;5,6;
2015-03-31;213,6;1009;22,8;6,1;
2015-04-30;128,4;1011,2;21,5;6,2;
2015-05-31;71,4;1012,9;19,1;6,4;
2015-06-30;null;1014,4;17,7;6,1;
2015-07-31;248,4;1012,9;16,2;5,9;
2015-08-31;58,6;1011,9;18,2;9;
2015-09-30;229,4;1009,3;17,2;6,9;
2015-10-31;187;1010,7;17,5;7,4;
2015-11-30;null;null;null;null;
2015-12-31;null;null;null;null;
2016-01-31;null;null;null;null;
2016-02-29;null;null;null;null;
2016-03-31;166,2;1009,8;22,9;5,9;
2016-04-30;226,2;1008,9;22,6;6,1;
2016-05-31;74,8;1013,9;16,2;5,5;
2016-06-30;45,6;1016,8;12,7;5,3;
2016-07-31;117,2;1013,3;14,8;5,9;
2016-08-31;90,2;1012,4;15,6;5,9;
2016-09-30;113,4;1013,1;16,2;6,5;
2016-10-31;108,6;1010,3;18,2;8,3;
2016-11-30;67;1008,8;20,2;8,2;
2016-12-31;167,8;1006,5;22,4;null;
2017-01-31;155,2;1007,2;24,4;null;
2017-02-28;33,8;1006,9;24,3;null;
2017-03-31;169,2;1009,8;23,5;null;
2017-04-30;105,2;1011,6;20,3;null;
2017-05-31;217,4;1011,9;19,2;null;
2017-06-30;158,4;1013,2;17,2;null;
2017-07-31;12;1018,8;16,8;null;
2017-08-31;65,6;1012,9;17,6;null;
2017-09-30;31;1013,2;18,3;null;
2017-10-31;99,2;1008,1;18,9;null;
2017-11-30;100;1007,5;19,9;7,9;
2017-12-31;143,2;1006,6;21,4;7,3;
2018-01-31;117,8;1006,8;22,8;5,2;
2018-02-28;62,2;1008,3;22,6;2,8;
2018-03-31;142,6;1006,9;23;4,8;
2018-04-30;33,8;1011,7;22,4;4,3;
2018-05-31;39,6;1013,1;19,5;4,9;
2018-06-30;null;1014,2;15,7;4,1;
2018-07-31;null;null;null;null;
2018-08-31;null;null;null;null;
2018-09-30;null;null;null;null;
2018-10-31;null;null;null;null;
2018-11-30;null;null;null;null;
2018-12-31;174;1007,6;23,1;7,2;
2019-01-31;53,2;1007,8;25;5,8;
2019-02-28;118,2;1007,4;24,3;5,7;
2019-03-31;104,6;1010;24,1;6,1;
2019-04-30;156,4;1009,1;22,7;5,4;
2019-05-31;482,6;1010,6;20,7;5,8;
2019-06-30;63;1013,3;19,7;5,5;
2019-07-31;124,6;1014,2;16,1;6,5;
2019-08-31;15,2;1016,2;16,1;8,7;
2019-09-30;42,2;1012,4;17,7;5,2;
2019-10-31;109,8;1009,7;20,2;0;
2019-11-30;59;1008,2;20,5;0;
2019-12-31;35;1006,9;22,3;0;
2020-01-31;186,4;1006,3;23,7;0;
2020-02-29;29,2;1008,9;23,2;0;
2020-03-31;25,2;1010,3;23,4;10,1;
2020-04-30;27,6;1011,4;21,2;null;
2020-05-31;14,2;1011,1;19,2;null;
2020-06-30;108,8;1011,7;18,2;0;
2020-07-31;153;1012,8;15,3;0;
2020-08-31;77,2;1014,3;16,5;0;
2020-09-30;145,8;1012,1;17,9;0;
2020-10-31;51,2;1009,8;19,8;0;
2020-11-30;121,8;1009,8;21,1;1,4;
2020-12-31;127,2;1007,2;22,7;6,2;
2021-01-31;196;1006,9;23,3;6,2;
2021-02-28;47,6;1006,8;24,6;5,4;
2021-03-31;150,8;1007,3;24,3;6;
2021-04-30;null;1012,1;21,7;4,9;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;null;null;null;null;
2021-12-31;null;null;null;null;
2022-01-31;null;null;null;null;
2022-02-28;null;null;null;null;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;null;null;null;null;
2022-06-30;null;1012,5;15,3;5,7;
2022-07-31;null;null;null;null;
2022-08-31;130,6;1014,3;16,5;8,3;
2022-09-30;null;null;16,9;null;
2022-10-31;null;null;null;null;
2022-11-30;141,4;1011,3;20,1;7,4;
2022-12-31;187,8;1006,5;21,9;7,5;
2023-01-31;65,4;1006,8;23,6;5,7;
2023-02-28;146,4;1006,8;24,4;5,3;
2023-03-31;91,2;1008,6;24,5;6,4;
2023-04-30;69,8;1010;21,6;6,4;
2023-05-31;71;1012,7;20,4;5,9;
2023-06-30;115,2;1013,4;18,5;5,2;
2023-07-31;114;1014,1;17,4;7;
2023-08-31;54,6;1011,5;17,3;6,7;
2023-09-30;138,4;1009,3;18,7;7,9;
2023-10-31;384;1008,8;18,9;7,4;
2023-11-30;216;1006,9;21,1;7,4;
2023-12-31;111,4;1007,2;22,1;7,9;
2024-01-31;207,8;1007,9;23,8;6;
2024-02-29;57;1008,7;24,6;5,4;
2024-03-31;112;1008,7;23,1;6,1;
2024-04-30;77,6;1009,3;22,8;7,4;
2024-05-31;268;1010,2;18,8;6,6;
2024-06-30;128,6;1011,4;18,3;5,8;
2024-07-31;189,4;1017;14,4;4,9;
2024-08-31;46;1013,6;16,3;7,5;
2024-09-30;60,4;1010,4;18,3;7,8;
2024-10-31;102;1010,2;19,8;7,1;
2024-11-30;null;null;null;null;
2024-12-31;null;null;null;null;
2025-01-31;null;null;null;null;
2025-02-28;null;null;null;null;
2025-03-31;null;null;null;null;
2025-04-30;null;null;null;null;
2025-05-31;null;null;null;null;
2025-06-30;null;null;null;null;

