Nome: LARANJEIRAS DO SUL
Codigo Estacao: B804
Latitude: -25.37138888
Longitude: -52.40083333
Altitude: 889
Situacao: Pane
Data Inicial: 2016-08-06
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;null;922,9;14,5;null;
2016-09-30;94,2;923,7;15,2;1,7;
2016-10-31;168,8;920,8;18,3;1,8;
2016-11-30;119,8;920;19,8;1,7;
2016-12-31;270,4;919,5;21,2;1,8;
2017-01-31;125,8;920,2;21,9;1,6;
2017-02-28;144;920,3;22;1,6;
2017-03-31;122,8;921,5;20,8;1,6;
2017-04-30;167;922,5;18;null;
2017-05-31;161;922,5;17,8;1,5;
2017-06-30;187,8;924,6;14,4;1,7;
2017-07-31;5;928,6;12,7;1,7;
2017-08-31;122,2;923,3;16,4;1,8;
2017-09-30;38,6;923,8;20,4;1,8;
2017-10-31;432,2;920,2;18,6;null;
2017-11-30;232,6;918,8;19,2;null;
2017-12-31;200,6;918,5;21,8;1,7;
2018-01-31;277,4;919,7;21,2;1,8;
2018-02-28;83,6;920,1;20,3;1,6;
2018-03-31;304,2;919,7;21,7;1,5;
2018-04-30;78;923,9;18,9;1,4;
2018-05-31;105,6;924,4;15,5;1,6;
2018-06-30;163,2;924,7;14,3;1,7;
2018-07-31;2,6;924,6;15,1;1,6;
2018-08-31;90,6;924,8;13,1;1,5;
2018-09-30;null;null;null;null;
2018-10-31;null;null;null;null;
2018-11-30;149,4;920;20,7;null;
2018-12-31;109;920,4;21,8;null;
2019-01-31;169,4;921,7;23;null;
2019-02-28;215;920;21,2;null;
2019-03-31;173,4;922,1;20,8;null;
2019-04-30;141,8;921,6;19,5;null;
2019-05-31;339,2;922,3;17,6;null;
2019-06-30;76,6;925,3;16,5;null;
2019-07-31;33;924,9;14,1;null;
2019-08-31;6;926;15,6;null;
2019-09-30;59,2;922,1;19,6;null;
2019-10-31;183;920,9;21,1;null;
2019-11-30;196;919,2;21,5;null;
2019-12-31;183,6;919,4;21;1,6;
2020-01-31;140;918,8;21,8;1,5;
2020-02-29;91,2;920,4;21,7;1,7;
2020-03-31;76,2;921,8;20,4;1,6;
2020-04-30;44,6;923,3;16,7;1,5;
2020-05-31;180,6;923,7;13,6;1,7;
2020-06-30;135;923,1;16,4;2;
2020-07-31;70,6;923,6;14,6;1,9;
2020-08-31;175,8;924,2;15,6;null;
2020-09-30;75,6;921,8;20,6;1,8;
2020-10-31;null;920,8;null;null;
2020-11-30;null;null;null;null;
2020-12-31;null;null;null;null;
2021-01-31;null;null;null;null;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;null;null;null;null;
2021-12-31;null;null;null;null;
2022-01-31;null;null;null;null;
2022-02-28;null;null;null;null;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;null;null;null;null;
2022-06-30;null;null;null;null;
2022-07-31;null;null;null;null;
2022-08-31;null;null;null;null;
2022-09-30;229,2;922,6;15,3;null;
2022-10-31;566,6;920,4;18;null;
2022-11-30;185,8;920,7;18,6;null;
2022-12-31;173,8;918,2;21,6;null;
2023-01-31;261,6;919,5;21,3;null;
2023-02-28;234,2;920,1;20,5;null;
2023-03-31;116,8;921,4;21,6;null;
2023-04-30;132,6;921,4;18;null;
2023-05-31;72;924;16;null;
2023-06-30;null;925;14,9;null;
2023-07-31;130;924,8;16,3;null;
2023-08-31;123,2;922,6;16,8;null;
2023-09-30;200,8;918,5;20,5;null;
2023-10-31;512,6;912;20,3;3,3;
2023-11-30;260,2;911,9;21,8;3,5;
2023-12-31;261,4;913;23;2,4;
2024-01-31;217,2;912,9;22,4;null;
2024-02-29;133,6;914,2;22,9;null;
2024-03-31;145;914,3;23,2;2,6;
2024-04-30;233,8;914,6;21,5;2,6;
2024-05-31;154,2;915,1;19,2;3,4;
2024-06-30;37,2;916,4;19,5;3,5;
2024-07-31;null;919,2;17,6;2,7;
2024-08-31;null;917,1;19,4;3,6;
2024-09-30;174,6;914,7;21,9;3,4;
2024-10-31;217,6;913,7;21,1;3,1;
2024-11-30;191,8;912,3;21,9;2,8;
2024-12-31;342,6;911,5;21,1;2,9;
2025-01-31;173,8;911,8;22,2;2,6;
2025-02-28;143;914;23,3;2,4;
2025-03-31;null;null;null;null;
2025-04-30;null;null;null;null;
2025-05-31;null;null;null;null;
2025-06-30;null;null;null;null;

