Nome: MAL. CANDIDO RONDON
Codigo Estacao: A820
Latitude: -24.53333333
Longitude: -54.01916666
Altitude: 392.07
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;188,4;965,2;24,9;3,1;
2010-02-28;211,8;965,8;25,9;3,4;
2010-03-31;128;966;24,6;3;
2010-04-30;165;969,5;21,7;3,1;
2010-05-31;null;970,2;17,9;3,5;
2010-06-30;19;971,8;18,2;3,7;
2010-07-31;null;971;18;4,3;
2010-08-31;null;970,9;19,4;4,7;
2010-09-30;null;null;null;null;
2010-10-31;null;967,3;21,3;4,3;
2010-11-30;127,8;964,9;22,4;3,6;
2010-12-31;240,2;962,9;23,4;3,2;
2011-01-31;165,4;963,8;24,6;2,5;
2011-02-28;164,4;965,4;24,5;2,8;
2011-03-31;20,8;966,1;25;4;
2011-04-30;5,4;968,5;22;3,2;
2011-05-31;,2;971,3;18,3;3,1;
2011-06-30;41,4;970,7;16,3;3,6;
2011-07-31;137,6;970,3;17,6;3,6;
2011-08-31;279,4;969,9;18,3;4,4;
2011-09-30;55,2;970,5;20,6;4,1;
2011-10-31;165,6;966;22,7;4,1;
2011-11-30;154,6;966,2;22,5;3,8;
2011-12-31;33,8;964,7;24,1;3,1;
2012-01-31;219;964,9;24,9;3,4;
2012-02-29;91,2;966;26,3;3,4;
2012-03-31;63,8;968;24;3,2;
2012-04-30;251,8;968,1;21,3;3,1;
2012-05-31;86,4;971,2;18,4;3,5;
2012-06-30;38,6;970,9;16,9;3,1;
2012-07-31;50,8;971,5;16,8;3,1;
2012-08-31;6,6;972,6;21,1;4,8;
2012-09-30;28,8;969,6;22,4;4,6;
2012-10-31;204,8;966,1;24,1;4,4;
2012-11-30;204;965;24,4;3,3;
2012-12-31;188,8;964,2;25,6;3,1;
2013-01-31;122,6;966,1;24,5;3,3;
2013-02-28;202,6;966;24,7;3,5;
2013-03-31;115,8;967,1;23,2;3,1;
2013-04-30;73,6;969,5;20,6;2,9;
