Nome: NOVA FATIMA
Codigo Estacao: A842
Latitude: -23.41527777
Longitude: -50.57777777
Altitude: 664.31
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;25,5;2,7;
2010-02-28;null;null;26;2,7;
2010-03-31;56;936,9;24,8;3,2;
2010-04-30;43,2;940,5;21,5;3,6;
2010-05-31;null;null;18,5;null;
2010-06-30;null;null;null;null;
2010-07-31;null;null;null;null;
2010-08-31;null;null;null;null;
2010-09-30;null;null;null;null;
2010-10-31;129,8;937,7;20;3,3;
2010-11-30;74,4;935,4;22;3;
2010-12-31;137,6;934,1;22,6;3,1;
2011-01-31;246,6;934,9;23,5;2,2;
2011-02-28;189,6;936,9;23,3;2,2;
2011-03-31;98,2;937,2;22;4,3;
2011-04-30;75,2;939,3;21,2;3;
2011-05-31;6,8;941,4;17,7;3;
2011-06-30;84;941,2;15,9;2,6;
2011-07-31;95,2;941,3;18;2,6;
2011-08-31;61,8;940,6;18,6;3,4;
2011-09-30;8;941,4;19,8;4,4;
2011-10-31;255,4;937,2;21;3,5;
2011-11-30;110,6;937,1;21,3;3,8;
2011-12-31;78,2;935,6;23,1;3,1;
2012-01-31;295,2;936,7;22,1;2,8;
2012-02-29;74,6;937,5;24,1;2,3;
2012-03-31;64,2;938,6;23;2,9;
2012-04-30;114,2;938,5;21,3;2,8;
2012-05-31;62;941,8;17,9;3,6;
2012-06-30;null;null;17,6;null;
2012-07-31;47,4;941,9;17,3;2,6;
2012-08-31;2,8;944,3;20;3,3;
2012-09-30;null;940,3;22,5;3,6;
2012-10-31;81,6;937,5;23,5;3,6;
2012-11-30;68;936,1;22,6;4;
2012-12-31;90,6;936,3;24,9;2,3;
2013-01-31;124,6;937,2;22,4;3,2;
2013-02-28;null;937,8;22,4;2,4;
2013-03-31;null;938,2;22,4;2,9;
2013-04-30;119,2;940,1;20,2;2,7;
2013-05-31;null;940,5;19,4;2,2;
2013-06-30;null;null;16,9;null;
2013-07-31;34;943,1;16,3;2,6;
2013-08-31;1,6;941,7;18;3,4;
2013-09-30;92,6;940,3;20;3,6;
2013-10-31;156,2;939;20,4;3,6;
2013-11-30;null;936,9;22,1;4,2;
2013-12-31;42,8;935,2;23,6;3,4;
2014-01-31;129;938,6;24,2;2,1;
2014-02-28;145,8;937,8;24,7;2,5;
2014-03-31;166,8;938,3;22,8;1,9;
2014-04-30;57,4;940;21,2;2,5;
2014-05-31;0;940,6;18,5;1,7;
2014-06-30;null;941,6;17,7;1,4;
2014-07-31;0;944,2;16,7;1,5;
2014-08-31;11;942,4;19,2;2,2;
2014-09-30;231,6;939,7;20,6;3,9;
2014-10-31;18,2;939,5;23;4,1;
2014-11-30;null;937,1;22,5;3,5;
2014-12-31;90,2;937,1;23,2;3,3;
2015-01-31;122,2;938,7;25;2,7;
