Nome: NOVA TEBAS
Codigo Estacao: A822
Latitude: -24.43388888
Longitude: -51.95388888
Altitude: 660
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;937,7;23,2;,4;
2010-02-28;null;null;null;null;
2010-03-31;null;null;null;null;
2010-04-30;null;941,2;20,7;,3;
2010-05-31;null;941,3;17,2;0;
2010-06-30;13,2;943,7;16,7;0;
2010-07-31;23,4;942,9;18,1;0;
2010-08-31;2,4;942,9;18,4;0;
2010-09-30;39,8;940,1;20,4;0;
2010-10-31;null;938,2;20,1;0;
2010-11-30;null;null;null;null;
2010-12-31;null;null;null;null;
2011-01-31;null;null;23,4;null;
2011-02-28;null;937,6;23,2;0;
2011-03-31;99;938,2;22,2;0;
2011-04-30;21,4;940,3;20,5;0;
2011-05-31;0;942,4;17,4;0;
2011-06-30;null;942,1;15,1;0;
2011-07-31;null;941,7;17,6;0;
2011-08-31;null;941,6;18,4;0;
2011-09-30;0;942,3;19,1;0;
2011-10-31;null;938,5;20,9;0;
2011-11-30;null;938,2;21,4;0;
2011-12-31;65;936,5;23;0;
2012-01-31;null;null;null;null;
2012-02-29;null;null;23,5;null;
2012-03-31;102,4;939,6;22,3;2,3;
2012-04-30;217,6;939,5;20,3;2,2;
2012-05-31;131,4;942,7;17,3;2,7;
2012-06-30;null;942,7;16,7;2,4;
2012-07-31;null;942,7;16,5;2,4;
2012-08-31;2,6;944,8;20,1;3,2;
2012-09-30;48,6;941,5;21,1;3,2;
2012-10-31;158,4;938,3;22,7;3;
2012-11-30;107,4;937;22,5;2,9;
2012-12-31;239;936,7;24,2;2,3;
2013-01-31;200,6;938,1;22,5;2,8;
2013-02-28;448;938,3;22,4;2,2;
2013-03-31;214,4;939;21,7;2,6;
2013-04-30;83;940,9;20,2;2,5;
