Nome: NOVO HORIZONTE
Codigo Estacao: A816
Latitude: -26.40638888
Longitude: -52.85027777
Altitude: 943.57
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;216,8;905,6;21,4;3,9;
2010-02-28;123,6;906,5;22,2;4,2;
2010-03-31;309,4;906,4;20,8;3,1;
2010-04-30;352,2;909,3;17,9;3,3;
2010-05-31;260,4;908,8;13,8;3,6;
2010-06-30;119,6;910,7;14,5;4,2;
2010-07-31;154,6;910,7;13,8;4;
2010-08-31;56,4;910,6;15,2;4,3;
2010-09-30;62,2;907,6;17,1;3,9;
2010-10-31;202,6;906,8;16,8;3,2;
2010-11-30;85,8;904,6;19;3,3;
2010-12-31;360,2;903,3;20,1;3,3;
2011-01-31;283,4;904,1;21,6;2,9;
2011-02-28;216,8;905,8;20,7;3,3;
2011-03-31;192,2;906,8;20;3,3;
2011-04-30;119,6;908,2;18,3;3;
2011-05-31;55,4;910;14,8;2,1;
2011-06-30;214,6;908,9;12,6;2,6;
2011-07-31;226,4;908,9;14,5;2,8;
2011-08-31;261,8;908,5;14,5;3,7;
2011-09-30;217,8;910;16,5;2,2;
2011-10-31;244,2;905,9;18,2;1,9;
2011-11-30;129,4;906,2;19,1;1,2;
2011-12-31;51,6;904,8;20,7;1,3;
2012-01-31;null;905,4;21,5;1,5;
2012-02-29;null;906,5;22,7;2,3;
2012-03-31;null;907,9;20,8;1,3;
2012-04-30;140;907,6;17,8;1,7;
2012-05-31;90;910,4;15,4;2,9;
2012-06-30;156,6;909,4;13,6;3;
2012-07-31;156;909,6;13;3,4;
2012-08-31;4,8;912,1;17,8;3,6;
2012-09-30;79,6;909,3;18,1;3,7;
2012-10-31;336,6;906,4;19;3,7;
2012-11-30;60,4;905,4;20,9;2,6;
2012-12-31;316;904,7;21,7;3,7;
2013-01-31;259,6;906,5;20,8;3;
2013-02-28;206;906,2;20,5;3,5;
2013-03-31;344,4;907,2;18,6;3;
2013-04-30;156,4;908,9;17,8;2,7;
2013-05-31;185,4;908,9;15,5;3,2;
2013-06-30;301;909;14,3;2,7;
2013-07-31;73,8;911,1;13,4;3,3;
2013-08-31;209,6;909,7;13,4;3,6;
2013-09-30;218,6;908,8;16,1;3,2;
2013-10-31;146,8;907,8;17,7;3;
2013-11-30;99,4;905,9;19,9;3,5;
2013-12-31;127,6;904,5;21,7;2,8;
2014-01-31;null;907,5;null;3,4;
2014-02-28;null;null;null;null;
2014-03-31;null;null;null;null;
2014-04-30;null;null;null;null;
2014-05-31;null;null;null;null;
2014-06-30;null;null;null;null;
2014-07-31;145;911,8;13,7;4;
2014-08-31;54,2;910,6;16,3;4,3;
2014-09-30;414;907,6;17,5;4,3;
2014-10-31;129,2;908,2;20,8;3,7;
2014-11-30;215,2;906,1;20,3;3,3;
2014-12-31;155,2;905,8;20,6;3,7;
2015-01-31;338,6;907,8;21,6;3,7;
2015-02-28;104;906,6;21,2;3,4;
2015-03-31;104;907,6;20,7;3;
2015-04-30;59,2;908,7;18,6;2,9;
2015-05-31;226,6;909,8;15,6;3,2;
2015-06-30;154,8;911,2;15;4,4;
2015-07-31;null;909,5;14,1;4,2;
2015-08-31;89,6;909,5;18,9;4,4;
2015-09-30;130,2;906,6;18,6;4,2;
2015-10-31;178,4;906,9;19,8;3,7;
2015-11-30;null;905;19,4;3,4;
2015-12-31;358;905,9;20,7;4,1;
2016-01-31;146,6;905,5;22,5;3,1;
2016-02-29;null;null;null;null;
2016-03-31;null;null;19,6;null;
2016-04-30;111,4;908,5;20,4;3,6;
2016-05-31;200,8;910,3;13,9;2,7;
2016-06-30;71,6;912,1;11,1;2,7;
