Nome: PALMEIRA DAS MISSOES
Codigo Estacao: A856
Latitude: -27.92027777
Longitude: -53.31805554
Altitude: 614.11
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;137,8;941,5;22,7;2,7;
2010-02-28;150;942,1;23,9;3,2;
2010-03-31;1,8;942,6;21,7;2,2;
2010-04-30;15,6;946,1;18,6;2,6;
2010-05-31;35,8;946,2;14,5;2,5;
2010-06-30;120,6;947,7;14,4;3,1;
2010-07-31;199,6;947,7;13,8;3,3;
2010-08-31;43,8;947,9;14,6;3,2;
2010-09-30;198,4;944,3;16,2;2,9;
2010-10-31;119,2;943,8;17,2;2,4;
2010-11-30;,2;941;20,2;2,5;
2010-12-31;248,4;939,2;21,8;2,8;
2011-01-31;168,2;939,8;23,4;2,1;
2011-02-28;247,4;941,8;22,2;2,4;
2011-03-31;197,2;943,2;21,1;2,5;
2011-04-30;148,2;944,5;19,4;2,5;
2011-05-31;83;947,2;15;2,5;
2011-06-30;245;945,9;12,6;3;
2011-07-31;316,4;945,9;13,4;2,8;
2011-08-31;206;945,1;14,4;3,5;
2011-09-30;57;946,8;16,3;2,9;
2011-10-31;168,8;942,4;18,9;2,9;
2011-11-30;73,4;942,5;20,7;2,7;
2011-12-31;37,6;940,8;22,1;2,5;
2012-01-31;108;941,4;23,2;2,6;
2012-02-29;null;942;24,8;2,8;
2012-03-31;null;null;19,6;null;
2012-04-30;98,2;944,1;18,8;2,2;
2012-05-31;9,2;947,3;16,7;2,6;
2012-06-30;141,6;946,5;13,9;2,6;
2012-07-31;188,4;946,8;12,6;2,9;
2012-08-31;43;948,6;18,1;3,7;
2012-09-30;115,2;945,9;17,4;3;
2012-10-31;367,6;942,5;19,2;3,2;
2012-11-30;69,2;941,7;22,2;2,6;
2012-12-31;159,2;940,1;23,3;3,3;
2013-01-31;167,6;942,8;21,7;2,6;
2013-02-28;144,6;942,1;22;2,6;
2013-03-31;143;943,8;19,2;2,5;
2013-04-30;129;945,4;18,9;2,3;
2013-05-31;68,4;945,5;15,5;2,7;
2013-06-30;130,8;946;14,2;2,4;
2013-07-31;48,6;948,3;13,3;2,8;
2013-08-31;136,6;947,1;12,7;3,2;
2013-09-30;21;945,5;16,1;2,9;
2013-10-31;204,4;944,2;18,5;2,7;
2013-11-30;124;941,9;21,5;3,5;
2013-12-31;91;940,2;23,6;2,6;
2014-01-31;274;942,8;23,7;2,8;
2014-02-28;128;942,9;23,8;2,8;
2014-03-31;207,8;943,4;20,7;2,6;
2014-04-30;116;945,5;19;2,7;
2014-05-31;null;null;null;null;
2014-06-30;null;null;null;null;
2014-07-31;null;948,7;14,2;3,2;
2014-08-31;null;947,2;16,1;3,2;
2014-09-30;230,8;943,8;17,6;3,3;
2014-10-31;115;944,3;20,7;3,2;
2014-11-30;84;942,2;21,6;2,8;
2014-12-31;109,8;941,7;22,2;3;
2015-01-31;93,8;943,5;22,6;2,8;
2015-02-28;88,8;942,5;22,4;2,2;
2015-03-31;null;943,8;21,9;2,1;
2015-04-30;null;945,3;19,5;2,2;
2015-05-31;null;946,6;16,4;2,6;
2015-06-30;null;948;15;3,3;
2015-07-31;null;946,4;13,9;2,8;
2015-08-31;null;945,4;19,4;3,6;
2015-09-30;null;942,8;17,3;2,8;
2015-10-31;null;943,2;19,2;3;
2015-11-30;116,2;941,2;19,9;2,7;
2015-12-31;284;941,5;22;2,8;
2016-01-31;98,2;941,5;24;2,4;
2016-02-29;210,4;942,6;23,2;2,3;
2016-03-31;125;944,7;20,3;2,3;
2016-04-30;134,8;944,3;21;2,8;
2016-05-31;null;null;15;null;
2016-06-30;null;null;null;null;
2016-07-31;null;946,5;12,9;2,6;
2016-08-31;191;946;15,6;2,9;
2016-09-30;50,8;947;15,4;2,2;
2016-10-31;276,6;943,3;18,3;2,5;
2016-11-30;100,4;942,9;20,4;2,4;
2016-12-31;140,4;941,5;22,3;2,6;
2017-01-31;146,6;942,4;22,8;2,4;
2017-02-28;124,4;942,2;23,2;2,5;
2017-03-31;126,2;944;21,3;2,4;
2017-04-30;350,6;945,3;18,1;2,4;
2017-05-31;381,6;945,2;16,5;2,5;
2017-06-30;226,4;947;14,6;2,7;
2017-07-31;20,6;951,4;15,4;2,7;
2017-08-31;158,8;945,9;16,3;2,9;
2017-09-30;76,8;946,2;20,4;1,7;
2017-10-31;381,4;942,3;18,6;1,5;
2017-11-30;228,8;941,5;20;1,2;
2017-12-31;87,8;940,8;23,1;1,2;
2018-01-31;238,6;941,7;22,1;1,3;
2018-02-28;66,2;942,7;21,6;,9;
2018-03-31;165;942,2;21,5;,8;
2018-04-30;38,2;946,4;21,7;1,1;
2018-05-31;148,6;947,1;17;1,1;
2018-06-30;183,4;947,7;12,6;1,2;
2018-07-31;98,2;947,1;14,7;1,3;
2018-08-31;null;null;null;null;
2018-09-30;null;null;null;null;
2018-10-31;null;null;null;null;
2018-11-30;null;null;null;null;
2018-12-31;58,8;942,8;22,6;2,7;
2019-01-31;178,2;943,4;24,1;2,9;
2019-02-28;195;942,7;21,8;2,3;
2019-03-31;138,6;944,8;20,8;2,4;
2019-04-30;149,4;944,2;20,1;2;
2019-05-31;256,2;945;17,1;2,4;
2019-06-30;29,2;947,6;17,3;3,4;
2019-07-31;88,8;947,9;13,1;2,8;
2019-08-31;60,4;949,2;14,4;3,2;
2019-09-30;52,4;945,1;17,3;3;
2019-10-31;187,6;943,6;20,3;3;
2019-11-30;148,6;941,8;22;2;
2019-12-31;101,4;941,9;23;2;
2020-01-31;186,2;941,4;22,9;2,3;
2020-02-29;67,8;943,5;21,8;2,3;
2020-03-31;54;944,6;23,3;2,1;
2020-04-30;54;946,6;18,3;1,2;
2020-05-31;79,6;946,6;15,3;2;
2020-06-30;106;945,4;15;2,7;
2020-07-31;null;946,3;13,3;1,9;
2020-08-31;80,8;947;16,2;1,7;
2020-09-30;86;944,7;18,1;1;
2020-10-31;19,6;942,9;20,7;,8;
2020-11-30;null;943,4;21;,8;
2020-12-31;31,6;941,5;22,7;,6;
2021-01-31;149,2;941,7;22,2;,7;
2021-02-28;null;942,4;21,5;,1;
2021-03-31;61,6;943;21,4;,2;
2021-04-30;10;946,3;18,8;,3;
2021-05-31;null;946,5;14,9;,3;
2021-06-30;null;947,6;12,8;,4;
2021-07-31;38,6;949,4;13,3;,5;
2021-08-31;50,4;947,2;16,9;1;
2021-09-30;null;944,3;17,9;,9;
2021-10-31;null;943,7;18,3;1,2;
2021-11-30;54;941,8;21,6;2,4;
2021-12-31;2,8;941;23,8;2,6;
2022-01-31;72,6;941,2;25,1;2,8;
2022-02-28;75,4;942;23,8;2,5;
2022-03-31;272,4;943,2;20,6;2,6;
2022-04-30;197,2;944,5;17,9;2,6;
2022-05-31;null;null;13,4;null;
2022-06-30;null;null;null;null;
2022-07-31;null;null;null;null;
2022-08-31;null;null;null;null;
2022-09-30;null;null;null;null;
2022-10-31;214,4;943,6;17,1;2,6;
2022-11-30;56;944,7;19,3;2,5;
2022-12-31;45,8;940,9;23,3;2,3;
2023-01-31;76,8;941,9;24;2,3;
2023-02-28;83;942,6;22,5;2,3;
2023-03-31;102,4;943,9;22,9;2,3;
2023-04-30;55,4;944,5;18,6;2,2;
2023-05-31;143;947,1;17,2;2,2;
2023-06-30;154,4;948,1;15,1;2,9;
2023-07-31;167,8;947,4;15;2,8;
2023-08-31;100;945,3;16,7;3;
2023-09-30;376,8;942,8;19;3,5;
2023-10-31;600,8;942;18,2;2,6;
2023-11-30;440,8;940,9;21,1;3;
2023-12-31;216,2;942,2;22,8;2,7;
2024-01-31;195;942,5;22,4;2,3;
2024-02-29;114,8;943,4;23,8;2,1;
2024-03-31;235,8;943,9;22,3;2,1;
2024-04-30;244,6;943,7;21,3;2,5;
2024-05-31;457,6;945;15,5;2,5;
2024-06-30;200,8;945,6;16,8;3,1;
2024-07-31;73,6;949,7;13,5;1;
2024-08-31;101,8;947,3;15,8;1,4;
2024-09-30;117,4;944;19,4;1,6;
2024-10-31;213,6;943,4;19,6;,7;
2024-11-30;90,8;941,9;22;,7;
2024-12-31;190,2;941,2;21,1;,5;
2025-01-31;104,6;941;23,4;,5;
2025-02-28;86,2;942,9;24,8;,6;
2025-03-31;84,8;945,1;23,2;,5;
2025-04-30;182,4;945,1;18,2;,4;
2025-05-31;159;947,4;16,5;1,1;
2025-06-30;null;null;null;null;

