Nome: PARANAPOEMA
Codigo Estacao: A850
Latitude: -22.65833333
Longitude: -52.13444444
Altitude: 308.7
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;
2010-02-28;null;null;null;null;
2010-03-31;null;null;null;null;
2010-04-30;35,4;978,9;23,1;2,8;
2010-05-31;58,6;979,8;19;2,4;
2010-06-30;7;982,1;19,3;3,1;
2010-07-31;26,8;981,6;20,3;3,3;
2010-08-31;2,6;981,5;20,3;3,2;
2010-09-30;221,6;977,7;23,7;4;
2010-10-31;197,6;976,6;22,6;3,3;
2010-11-30;76,6;974,2;23,8;2,8;
2010-12-31;95;972,4;25,4;3,2;
2011-01-31;84,2;973,3;26,3;2,2;
2011-02-28;258,8;975,3;25,7;2,4;
2011-03-31;144,2;975,3;24,7;4;
2011-04-30;219,2;977,9;23,3;2,5;
2011-05-31;15,6;980,7;19,4;2,3;
2011-06-30;63,2;980,8;17,2;2,6;
2011-07-31;80,8;980,3;19,5;2,6;
2011-08-31;25,2;979,9;20,1;3,3;
2011-09-30;12,4;979,9;22,9;3,8;
2011-10-31;132,2;975,6;24,1;3,9;
2011-11-30;137,8;975,6;24,6;3,8;
2011-12-31;64;974;26,2;2,9;
2012-01-31;174,4;974,9;25;3,1;
2012-02-29;65,8;975,7;26,5;2,3;
2012-03-31;115,8;977,2;25,1;2,5;
2012-04-30;190,6;977,3;23,2;2,2;
2012-05-31;96;980,7;20,2;3,2;
2012-06-30;328,2;980,7;19;2,5;
2012-07-31;24,2;981,4;18,4;2,1;
2012-08-31;1,2;982,7;22,4;3,6;
2012-09-30;3,4;979,3;23,6;3,4;
2012-10-31;null;975,7;25,9;2,8;
2012-11-30;75,6;974,3;26;3,1;
2012-12-31;273;974,2;27;2,3;
2013-01-31;126,6;975,4;25,4;3,2;
2013-02-28;104,4;976;25,2;2,3;
2013-03-31;16,2;976,6;24,9;2,4;
2013-04-30;115,2;978,8;22,4;2,2;
2013-05-31;null;979,5;20,9;2,1;
2013-06-30;null;980,5;19,7;1,8;
2013-07-31;null;982,8;17,8;2,3;
2013-08-31;null;981,1;19,1;3,1;
2013-09-30;91;979;22,6;3,4;
2013-10-31;116,2;977,5;23,8;3,5;
2013-11-30;113,2;975,2;25,4;4;
2013-12-31;89,4;973,3;27;3;
2014-01-31;119,4;976,9;26,4;2;
2014-02-28;66,6;975,8;26,9;3,2;
2014-03-31;145,2;976,8;24,9;2,4;
2014-04-30;93,8;978,6;23,5;2,4;
2014-05-31;121,4;979,8;20,1;2,2;
2014-06-30;29;980,7;19,8;2,4;
2014-07-31;121,2;983,4;18,9;2,9;
2014-08-31;8,8;981,2;21,5;2,6;
2014-09-30;196,2;978;23,3;3,6;
2014-10-31;53;977,6;25,4;3,3;
2014-11-30;109,2;975,4;25,2;3;
2014-12-31;103;975,1;26,1;3,1;
2015-01-31;null;null;null;null;
2015-02-28;null;null;null;null;
2015-03-31;null;null;null;null;
2015-04-30;null;null;null;null;
2015-05-31;null;981,1;20,2;3;
2015-06-30;10,4;982,6;20,2;2,8;
2015-07-31;131,6;981,3;19,2;2,8;
2015-08-31;29,8;980,3;21,9;2,9;
2015-09-30;148,8;976,9;23,3;2,4;
2015-10-31;225,2;976,9;25;3,1;
2015-11-30;325,2;974,8;25;2,7;
2015-12-31;139,2;976,3;25,3;2,4;
2016-01-31;181,2;974,4;26;3,3;
2016-02-29;292,6;976,7;25,8;2;
2016-03-31;56;978,1;24,8;2,4;
2016-04-30;100,2;977,9;25,1;2,2;
2016-05-31;114,8;981,6;19,2;2,4;
2016-06-30;87,2;983,4;17,2;2;
2016-07-31;18,8;981,6;19;2,3;
2016-08-31;null;980,4;20,5;3,1;
2016-09-30;39,6;980,3;20,9;2,6;
2016-10-31;149,4;977;23,8;3,6;
2016-11-30;49,4;975,6;25,2;3,3;
2016-12-31;143,8;975,5;25,5;3,2;
2017-01-31;229,8;976,2;25,8;2,4;
2017-02-28;148,2;975,7;26,6;2,4;
2017-03-31;87,2;977;25,5;2,9;
2017-04-30;43;978,7;22,7;3,3;
2017-05-31;202;979,2;21,8;2,9;
2017-06-30;null;null;null;null;
2017-07-31;null;null;null;null;
2017-08-31;null;null;null;null;
2017-09-30;null;null;null;null;
2017-10-31;180,8;976,5;24;3,5;
2017-11-30;null;974,7;24,3;3,4;
2017-12-31;null;null;26,8;null;
2018-01-31;null;null;null;null;
2018-02-28;null;null;null;null;
2018-03-31;146,8;975,4;26,2;2;
2018-04-30;2,8;979,6;24,2;2,6;
2018-05-31;29,8;981;21,3;2,9;
2018-06-30;18,6;982;19,9;2,3;
2018-07-31;1;981,5;20,8;2,6;
2018-08-31;100,8;982,2;19;3,2;
2018-09-30;136;977,7;22,1;3,1;
2018-10-31;197,8;976,2;24,2;3,5;
2018-11-30;147;975,5;25;4,1;
2018-12-31;22,6;976;26,8;2,5;
2019-01-31;55;977,4;27,7;2,6;
2019-02-28;115,2;975,5;26,5;2,6;
2019-03-31;227;977,8;25,2;2,5;
2019-04-30;47,6;977,6;24,3;1,9;
2019-05-31;33;979,1;22;2,4;
2019-06-30;26,4;982,2;21;2,6;
2019-07-31;52,4;982,1;19;2,6;
2019-08-31;,2;982,6;21,7;3,5;
2019-09-30;91,6;978,2;24,5;3,2;
2019-10-31;77,6;976,4;26,4;3,1;
2019-11-30;68,4;974,6;26,8;3,7;
2019-12-31;265,2;975,4;25,5;2,8;
2020-01-31;160,8;974,6;26,2;2,7;
2020-02-29;206,8;976,1;25,6;2,9;
2020-03-31;39,4;977,5;25,5;3;
2020-04-30;40,8;979,6;22,8;2,6;
2020-05-31;42,8;981,1;19,5;2,4;
2020-06-30;149;980,7;20,9;3;
2020-07-31;10;980,9;19,8;2,7;
2020-08-31;168;981,2;20,4;3,6;
2020-09-30;12,4;977,8;25,5;3,2;
2020-10-31;74,4;975,6;26,1;3,5;
2020-11-30;null;976,1;25,7;3,5;
2020-12-31;null;975;26,3;3;
2021-01-31;null;null;null;null;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;27,6;974,6;26,2;0;
2021-12-31;22,4;973,6;27,4;,1;
2022-01-31;227;974,5;26,7;0;
2022-02-28;59,4;975,3;26,6;0;
2022-03-31;296;976,2;25,6;0;
2022-04-30;103;978;23,6;0;
2022-05-31;45;980,7;18,9;0;
2022-06-30;68,6;980,8;19;0;
2022-07-31;2,4;980,4;21;0;
2022-08-31;null;null;null;null;
2022-09-30;null;null;null;null;
2022-10-31;null;null;null;null;
2022-11-30;null;null;null;null;
2022-12-31;97,2;974,2;25,7;2,8;
2023-01-31;195,6;975,4;25,2;2,7;
2023-02-28;null;976,5;25;2,4;
2023-03-31;146,4;977,3;25,8;2,5;
2023-04-30;136;978,1;23,6;2,7;
2023-05-31;36,8;980,6;21;2,1;
2023-06-30;null;982,3;19,5;1,9;
2023-07-31;null;982,2;20,3;2,7;
2023-08-31;null;979;22,4;2,8;
2023-09-30;null;976,9;25,4;3,2;
2023-10-31;null;974,8;25,9;3,4;
2023-11-30;122,4;974,6;25,8;3;
2023-12-31;146,4;975,3;26,8;2,5;
2024-01-31;60,8;975,4;26,8;2,7;
2024-02-29;77,4;976,7;27,3;2,5;
2024-03-31;30;976,7;27,4;2,7;
2024-04-30;55,8;977,4;26;2,5;
2024-05-31;null;978,4;25,1;2,6;
2024-06-30;0;980,5;22,5;2,5;
2024-07-31;3,6;983,6;20,3;2,3;
2024-08-31;null;981;21,6;2,8;
2024-09-30;76,8;977,6;24,9;3;
2024-10-31;62,4;976,2;25,9;3,5;
2024-11-30;175,4;974,7;26,4;3,5;
2024-12-31;null;974,5;25,5;3;
2025-01-31;null;null;null;null;
2025-02-28;null;null;null;null;
2025-03-31;null;null;null;null;
2025-04-30;null;null;null;null;
2025-05-31;null;null;null;null;
2025-06-30;null;null;null;null;

