Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.22666666
Longitude: -52.40361111
Altitude: 680.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;123,6;934,5;21,9;3,1;
2010-02-28;77,4;935,2;22,9;3,2;
2010-03-31;67;935,6;20,9;2,5;
2010-04-30;51;939,1;17,8;2,9;
2010-05-31;129,4;938,9;14,1;2,4;
2010-06-30;138;940,6;13,3;3,2;
2010-07-31;188;940,7;12,6;3,5;
2010-08-31;54;940,8;13,3;3,8;
2010-09-30;233,4;937,4;15,6;3,9;
2010-10-31;142,8;936,6;16,4;3,2;
2010-11-30;59,8;933,8;19,2;3,2;
2010-12-31;188,8;932,3;21,3;3,6;
2011-01-31;142,8;932,8;22,7;2,8;
2011-02-28;166,8;934,9;21,6;3;
2011-03-31;206,6;936,4;20,1;3,5;
2011-04-30;105;937,4;18,4;2,8;
2011-05-31;134,4;940;14,2;3,2;
2011-06-30;221,8;938,7;11,5;3,1;
2011-07-31;320,6;938,8;12,5;3,1;
2011-08-31;214,6;938;13,2;4,2;
2011-09-30;57,8;939,9;15,2;3,7;
2011-10-31;187;935,3;18,2;3,5;
2011-11-30;75,8;935,6;19,9;3,6;
2011-12-31;87,4;933,7;20,9;3,2;
2012-01-31;90;934,5;21,7;3,1;
2012-02-29;84;935;23,4;3;
2012-03-31;109,8;937;20,5;2,6;
2012-04-30;56,2;937;18;2,6;
2012-05-31;30;940,3;15,7;3;
2012-06-30;178;939,3;13;2,4;
2012-07-31;205;939,6;11,7;1,2;
2012-08-31;27,4;941,8;16,5;2,6;
2012-09-30;139,8;938,9;16,5;2,9;
2012-10-31;229,2;935,5;18,8;2,8;
2012-11-30;33,6;935;21,5;2,9;
2012-12-31;176,4;933,2;22,7;3,7;
2013-01-31;96,2;935,9;21,1;3,5;
2013-02-28;166,2;935,2;21,2;3,1;
2013-03-31;166,6;936,9;18,4;3,3;
2013-04-30;96;938,3;18;2,9;
2013-05-31;85;938,3;14,7;3;
2013-06-30;119,4;938,8;13,4;3;
2013-07-31;83;941,1;12,2;3,3;
2013-08-31;359,8;939,8;11,9;3,7;
2013-09-30;184,2;938,5;15,2;3,6;
2013-10-31;190,8;937,3;17,5;3,5;
2013-11-30;103,4;935;20,7;4,3;
2013-12-31;66,8;933,3;23,1;3,6;
2014-01-31;188,4;935,9;23,1;3,3;
2014-02-28;135,8;936,1;22,7;3,5;
2014-03-31;214,8;936,4;20,1;3,2;
2014-04-30;134,2;938,5;18,4;3,5;
2014-05-31;227,8;938,8;14,7;2,8;
2014-06-30;292,4;938,6;13,4;3,7;
2014-07-31;113;941,7;13,3;3,7;
2014-08-31;131,6;940,1;15;3,5;
2014-09-30;261,4;936,9;16,9;4,1;
2014-10-31;176,4;937,5;19,7;3,9;
2014-11-30;142,8;935,3;21,1;3,6;
2014-12-31;215,2;934,8;21,6;3,6;
2015-01-31;326,2;936,6;21,7;3,1;
2015-02-28;110;935,6;21,6;3;
