Nome: PLANALTO
Codigo Estacao: A855
Latitude: -25.72194443
Longitude: -53.74805555
Altitude: 399.1
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;146,6;964,7;25,2;2,6;
2010-02-28;169,6;965,4;25,5;2,8;
2010-03-31;236;965,7;24,1;2,8;
2010-04-30;238,2;969,3;21,1;2,8;
2010-05-31;147,8;970;17;2,7;
2010-06-30;49,8;971,6;17,5;3;
2010-07-31;73,4;971,5;17;3,2;
2010-08-31;27,6;971,3;18,1;3;
2010-09-30;null;967,7;20,4;3,4;
2010-10-31;null;967;20,3;3;
2010-11-30;null;964,5;22,5;2,7;
2010-12-31;null;962,4;23,4;2,8;
2011-01-31;null;963,2;24,7;1,8;
2011-02-28;null;965,1;24,4;2,1;
2011-03-31;null;null;24,5;null;
2011-04-30;null;null;null;null;
2011-05-31;null;null;null;null;
2011-06-30;97,6;970,3;15,8;2,9;
2011-07-31;263;969,8;17;2,8;
2011-08-31;253,6;969,3;17,7;3,3;
2011-09-30;160,2;970,3;19,8;3,3;
2011-10-31;306,4;965,7;22,2;3,2;
2011-11-30;165,2;965,8;22,8;3,3;
2011-12-31;30,2;964;24,4;2,7;
2012-01-31;175,6;964,5;25,7;2,8;
2012-02-29;126,4;965,5;26,5;2,6;
2012-03-31;50,8;967,5;24,5;2,6;
2012-04-30;367,4;967,7;21,6;2,7;
2012-05-31;80,4;970,9;19,1;3,1;
2012-06-30;124,4;970,5;17,2;2,6;
2012-07-31;80,6;971;16,3;2,7;
2012-08-31;3,2;972,3;21,5;3,3;
2012-09-30;51,6;969,4;23,1;3,6;
2012-10-31;209,2;965,8;24,9;3,7;
2012-11-30;29,6;964,6;25,5;3;
2012-12-31;206,8;963,6;25,9;3;
