Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05351111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;181,2;1005,6;24,8;1,6;
2010-02-28;115,2;1005,7;26,3;1,5;
2010-03-31;106,8;1007,1;23,4;1,5;
2010-04-30;74,4;1011,4;20,1;1,2;
2010-05-31;124,8;1012;17,2;1,5;
2010-06-30;206;1014,2;15;1,2;
2010-07-31;172;1014;14,5;1,3;
2010-08-31;97,2;1014,5;14,7;1,3;
2010-09-30;183;1010,5;17,2;1,8;
2010-10-31;58;1009,8;18;1,5;
2010-11-30;71,4;1006,1;20,7;1,7;
2010-12-31;91,4;1004,2;23,3;1,9;
2011-01-31;131,6;1003,8;25,6;1,6;
2011-02-28;120,8;1006,3;24,6;1,6;
2011-03-31;79;1008,9;22,9;1,7;
2011-04-30;174,4;1009,5;20,2;1;
2011-05-31;49,4;1013,2;16,5;1,1;
2011-06-30;110,4;1011,8;13,6;1,2;
2011-07-31;231,2;1012,8;13;1,3;
2011-08-31;147,8;1011,4;14,4;1,8;
2011-09-30;52,8;1013,7;16,3;1,5;
2011-10-31;124,4;1007,9;19,5;1,6;
2011-11-30;14,8;1008,4;21,5;1,9;
2011-12-31;53;1005,7;22,5;1,7;
2012-01-31;165,8;1006,4;24,3;1,7;
2012-02-29;136,6;1005,2;26,2;1,4;
2012-03-31;120,2;1008,3;23,2;1,3;
2012-04-30;78;1009,3;19,6;1,2;
2012-05-31;36,2;1013;18,5;1;
2012-06-30;32,4;1012,4;14,7;,9;
2012-07-31;145,2;1013,4;13,2;1,2;
2012-08-31;92,4;1014,4;19,1;1,2;
2012-09-30;250,4;1012,1;17,8;1,8;
2012-10-31;121;1007,2;20,8;1,7;
2012-11-30;27,4;1007,3;22,9;1,7;
2012-12-31;193,8;1003,7;25,2;1,7;
2013-01-31;103;1007,8;23,8;1,8;
2013-02-28;null;1006,1;24,4;1,7;
2013-03-31;null;1010,3;21,3;1,5;
2013-04-30;106,8;1010,5;20,4;1,4;
2013-05-31;64,8;1010,9;16,6;1,1;
2013-06-30;103,6;1012,1;14,5;1,1;
2013-07-31;108,6;1014,8;13,6;1,1;
2013-08-31;248,8;1014;13,7;1,5;
2013-09-30;137;1011,3;17,5;1,5;
2013-10-31;131,6;1010,3;19,1;1,6;
2013-11-30;184;1007,1;22,3;1,8;
2013-12-31;75,8;1004,7;24,7;1,8;
2014-01-31;77;1006,3;26,5;1,4;
2014-02-28;151,2;1007;26,3;1,6;
2014-03-31;129,8;1008;23;1,4;
2014-04-30;87;1011,1;21;1,4;
2014-05-31;73,2;1011,8;16,8;1;
2014-06-30;238,4;1011,9;15,5;1,2;
2014-07-31;260,6;1015,2;15,5;1,2;
2014-08-31;132,4;1013;16,2;1,2;
2014-09-30;160,2;1009,7;18,5;1,4;
2014-10-31;190,8;1010,1;20,9;1,4;
2014-11-30;106,6;1007,3;22,9;1,3;
2014-12-31;178,8;1006;24,2;1,4;
2015-01-31;164,8;1007,3;25,4;1,4;
2015-02-28;99,4;1007,1;24,7;1,5;
2015-03-31;54;1008,7;23,8;1,5;
2015-04-30;76;1010,9;21;1,2;
2015-05-31;142,4;1012,6;18,3;1,2;
2015-06-30;171,8;1013,9;15,6;1;
2015-07-31;314;1012,6;15,6;1,1;
2015-08-31;111,6;1010,4;20,3;1,3;
2015-09-30;186,6;1008,9;17,1;1,4;
2015-10-31;310,4;1009,7;18,5;1,6;
2015-11-30;127;1007,1;20,7;1,9;
2015-12-31;100;1005,8;23,6;1,5;
2016-01-31;108,8;1006,3;25,7;1,7;
2016-02-29;null;1006;26,4;1,5;
2016-03-31;308,8;1009,5;22,7;1,7;
2016-04-30;217,2;1008,5;22,3;1,5;
2016-05-31;73,2;1014,3;15,1;1,2;
2016-06-30;null;1016,3;12,1;1,1;
2016-07-31;152,2;1012,8;14,4;1,4;
2016-08-31;104,8;1011,9;16,3;1,2;
2016-09-30;92,8;1013;16,3;1,7;
2016-10-31;196,4;1009,1;19,3;1,9;
