Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Pane
Data Inicial: 2022-12-07
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2022-12-31;null;1011,3;23;3,2;
2023-01-31;100,8;1010,8;25,5;2,9;
2023-02-28;151,8;1011,2;24,1;2,2;
2023-03-31;91,4;1012,6;25;2,2;
2023-04-30;50;1014,8;20;2,1;
2023-05-31;174;1017,5;17,6;1,6;
2023-06-30;188,6;1018,5;15,7;1,8;
2023-07-31;194,6;1018,9;15;2,1;
2023-08-31;73,4;1016,1;15,9;2,2;
2023-09-30;375,2;1013,7;18;2,8;
2023-10-31;99,4;1013,3;18,6;2,7;
2023-11-30;233,2;1011;21;2,7;
2023-12-31;110,4;1011,4;24;2,9;
2024-01-31;113,6;1012,4;24;2,9;
2024-02-29;67,4;1012,9;25,5;2,7;
2024-03-31;90;1013;24;2,2;
2024-04-30;247;1013,6;21,5;2,3;
2024-05-31;556,2;1015,5;16,7;2,4;
2024-06-30;175;1015,8;17;2;
2024-07-31;93,4;1022,4;13,3;2,1;
2024-08-31;69,4;1018,3;15;2,3;
2024-09-30;209,4;1014,6;18,3;2,6;
2024-10-31;73,6;1014,5;20,2;2,9;
2024-11-30;68;1012,3;22,7;3;
2024-12-31;225,6;1010,9;22,1;3,1;
2025-01-31;81,4;1010,4;24,5;2,8;
2025-02-28;82,8;1011,5;26;2,4;
2025-03-31;46,6;1014,5;24,6;2,3;
2025-04-30;82,8;1015,7;19,7;null;
2025-05-31;null;null;18,1;null;
2025-06-30;null;null;null;null;

