Nome: QUARAI
Codigo Estacao: A831
Latitude: -30.3686111
Longitude: -56.43722221
Altitude: 113.05
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;260;996,5;24,9;2,4;
2010-02-28;186,4;996,3;25;2,9;
2010-03-31;38,4;998,4;23,2;2,1;
2010-04-30;111,4;1002,9;18,3;2,3;
2010-05-31;103,4;1003,6;14,9;2,4;
2010-06-30;22,2;1004,6;13,3;2,7;
2010-07-31;231;1004,5;12,1;3;
2010-08-31;10;1005,4;13;3;
2010-09-30;155,8;1001,1;15,9;2,9;
2010-10-31;29,4;1001,2;17,5;2,4;
2010-11-30;31;997,9;21,1;2;
2010-12-31;30,8;994,5;25,3;2,5;
2011-01-31;90,2;994,7;26,7;1,4;
2011-02-28;183,6;997,5;24,4;1,3;
2011-03-31;42,8;999,3;22,5;1,1;
2011-04-30;96;1000,5;19,1;,9;
2011-05-31;110,6;1004,4;15,1;1,2;
2011-06-30;59,2;1002,7;12,6;1,5;
2011-07-31;63,8;1003,6;11,5;1,6;
2011-08-31;41,8;1002,1;13,4;2,9;
2011-09-30;90,2;1003,8;16,3;2,3;
2011-10-31;149,8;999,2;18,4;1,5;
2011-11-30;73,8;998,6;22,1;2,2;
2011-12-31;125,4;997,1;22,8;2,2;
2012-01-31;26,6;997;25,9;1,8;
2012-02-29;null;null;null;null;
2012-03-31;null;null;20,1;null;
2012-04-30;189,4;1001;18,2;1;
2012-05-31;22,4;1003,5;17;1,3;
2012-06-30;81,2;1003,2;13;1,6;
2012-07-31;23,8;1004,9;10,2;1,9;
2012-08-31;110,6;1004;17,6;2,9;
2012-09-30;92,2;1002,2;17,1;2,6;
2012-10-31;334,2;997,7;19,6;2,7;
2012-11-30;33,8;998,1;23,2;2;
2012-12-31;238,6;994,6;24,3;2,4;
2013-01-31;90,2;998,8;23,5;1,9;
2013-02-28;257,8;997,4;23,4;1,8;
2013-03-31;106,4;1000,3;20,3;1,7;
2013-04-30;105,4;1001,5;18,4;1,1;
2013-05-31;80,2;1002;14,8;1,3;
2013-06-30;39,4;1003,4;12,7;1;
2013-07-31;66,4;1005,2;12,9;1,9;
2013-08-31;41,8;1005,3;11,8;2,4;
2013-09-30;54,8;1002,1;16,3;2,9;
2013-10-31;89,4;1000,8;19;2,4;
2013-11-30;393,6;997,2;21,8;2,9;
2013-12-31;22;995,2;26;1,8;
2014-01-31;94,8;996,9;26,4;2,4;
2014-02-28;207,4;997,8;24,8;2,6;
2014-03-31;null;999,2;20,5;1,4;
2014-04-30;null;1001,9;18,7;1,6;
2014-05-31;null;1002,8;14,9;1,3;
2014-06-30;40,2;1003,6;12,9;3,4;
2014-07-31;null;1005;13,9;3,2;
2014-08-31;null;1003,5;15;3,3;
2014-09-30;176,2;999,9;16,9;3,9;
2014-10-31;208,6;999,7;20,6;3,6;
2014-11-30;76;998,2;21,8;3,1;
2014-12-31;339;997;23;3,1;
2015-01-31;265;998,4;24,1;2,9;
2015-02-28;97,4;998,1;24,1;2,5;
2015-03-31;53,2;1000;22,3;2,5;
2015-04-30;null;null;19,7;null;
2015-05-31;null;null;null;null;
2015-06-30;null;null;null;null;
2015-07-31;null;null;null;null;
2015-08-31;null;null;null;null;
2015-09-30;null;null;null;null;
2015-10-31;341,8;1000,5;17,4;3,7;
2015-11-30;138,8;997,9;20;3,5;
2015-12-31;478,6;996,5;23;3;
2016-01-31;118,4;997;25,7;2,7;
2016-02-29;95,6;997,2;25,4;2,5;
2016-03-31;157;1001,5;20,6;2,7;
2016-04-30;425,8;999,5;19,9;3,2;
2016-05-31;100,2;1005,9;12,9;2,4;
2016-06-30;114,4;1008,1;9,8;1,9;
2016-07-31;74,2;1003,8;12,2;2,9;
2016-08-31;94,6;1003;14,8;2,7;
2016-09-30;15,6;1004,8;14,4;3,2;
2016-10-31;165,4;999,8;18,4;3;
2016-11-30;106,4;999,5;20,9;2,6;
2016-12-31;151,4;996,3;24;2,5;
2017-01-31;116,2;997,2;24,6;1,3;
2017-02-28;192,2;996,7;24,3;1,7;
2017-03-31;111,8;1000;21,8;1,8;
2017-04-30;324;1001,4;18,3;2,3;
2017-05-31;193,8;1001,5;16,3;1,8;
2017-06-30;83,4;1003,1;14,6;2,2;
2017-07-31;71,4;1006,7;15,7;1,9;
2017-08-31;180,8;1001,9;15,7;3,2;
2017-09-30;null;null;null;null;
2017-10-31;131,4;998,3;18,6;3,9;
2017-11-30;68;998,1;20,3;3,1;
2017-12-31;64,6;996,3;25,1;3,2;
2018-01-31;98;996,6;25;3,1;
2018-02-28;72;998,4;24,4;2,9;
2018-03-31;150,2;998;22,1;2,8;
2018-04-30;81,8;1001,6;22,6;2,9;
2018-05-31;266,2;1003,2;16,4;3;
2018-06-30;47,2;1005,3;10,9;2,6;
2018-07-31;83,6;1004,9;12;3,4;
2018-08-31;103,8;1005,6;12,1;3,5;
2018-09-30;194,6;1000,1;18,4;3,7;
2018-10-31;null;null;null;null;
2018-11-30;null;null;null;null;
2018-12-31;174;998;23,2;3;
2019-01-31;572;997,6;24,5;3,3;
2019-02-28;138,6;998,6;23,5;2,5;
2019-03-31;52,4;1001,1;21,2;2,5;
2019-04-30;241,6;1000,7;19,4;2,3;
2019-05-31;146,4;1001,8;16,9;2,5;
2019-06-30;22,2;1002,5;16,7;2,9;
2019-07-31;118,6;1004,9;12,1;2,7;
2019-08-31;51;1006,6;13,4;3,3;
2019-09-30;18,4;1002,3;15,5;2,9;
2019-10-31;292,8;999,6;19,6;3,7;
2019-11-30;222,8;997,8;22,1;3;
2019-12-31;100,6;997,4;23;2;
2020-01-31;79,4;997,1;24,9;2,7;
2020-02-29;64;999;24,2;2,6;
2020-03-31;67,2;999,8;24,5;2,2;
2020-04-30;43,8;1003,3;18,5;2,4;
2020-05-31;251;1002,9;14,9;2,4;
2020-06-30;160,6;1001,1;14,3;2,9;
2020-07-31;16,2;1003,5;12,1;2,8;
2020-08-31;19,8;1003,5;15,9;2,7;
2020-09-30;116,6;1002;15,6;2,8;
2020-10-31;78,8;1000,1;19,1;3,4;
2020-11-30;53,4;1000,1;21,6;2,8;
2020-12-31;100,4;997,4;23,3;,9;
2021-01-31;120,4;996,5;24,3;,9;
2021-02-28;92,6;998,1;22,8;,3;
2021-03-31;null;998,9;22,4;,3;
2021-04-30;46,8;1002,5;19,9;,6;
2021-05-31;125,6;1003,7;13,3;,6;
2021-06-30;138,2;1005,3;11,6;1;
2021-07-31;27;1006,3;12,1;1;
2021-08-31;56,6;1004,1;14,7;1,7;
2021-09-30;171,8;1000,9;16,9;2,2;
2021-10-31;48,2;1000,8;18,4;1,6;
2021-11-30;100;998,1;21,8;1,9;
2021-12-31;28,4;997,5;24,7;1,7;
2022-01-31;89;995,7;27,8;1,5;
2022-02-28;null;997;25,2;,9;
2022-03-31;170,8;999,2;20,8;1,2;
2022-04-30;245,2;1000,7;18;1;
2022-05-31;71;1004,7;13,1;1,2;
2022-06-30;null;1004,6;10,4;1,1;
2022-07-31;null;1000,1;16,2;2,1;
2022-08-31;14,6;1005,6;13,3;3;
2022-09-30;59,2;1003,9;14,5;3;
2022-10-31;71,6;1001;17,5;3,5;
