Nome: RANCHO QUEIMADO
Codigo Estacao: A870
Latitude: -27.6786111
Longitude: -49.04194444
Altitude: 881
Situacao: Operante
Data Inicial: 2016-05-30
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;null;null;null;
2016-06-30;32,2;921,9;9,4;1,3;
2016-07-31;105,8;919,2;11,9;1,7;
2016-08-31;121,8;918,6;13;null;
2016-09-30;90,2;918,8;13,3;null;
2016-10-31;231,8;917,1;14,9;null;
2016-11-30;85,6;916,1;16,3;null;
2016-12-31;401,2;914,9;18,7;null;
2017-01-31;244,4;915,7;20,5;null;
2017-02-28;206,4;916,1;20,9;null;
2017-03-31;158;917,7;18,5;null;
2017-04-30;138,8;918,6;15,8;null;
2017-05-31;326,4;918,7;15,2;null;
2017-06-30;220,8;919,7;13,3;null;
2017-07-31;28,6;924,7;12,5;1,7;
2017-08-31;154;919,7;13,2;1,9;
2017-09-30;81;920,6;16,5;1,7;
2017-10-31;104;915,7;16,3;1,9;
2017-11-30;129,4;914,7;16,2;1,8;
2017-12-31;252,4;914,7;18,7;1,7;
2018-01-31;296,8;915,1;19,4;2,1;
2018-02-28;108,4;916;18,4;2;
2018-03-31;201,8;915,2;19,1;2;
2018-04-30;59,4;919,7;17,9;1,9;
2018-05-31;83,6;919,8;14,6;2;
2018-06-30;122,4;919,4;12,7;2;
2018-07-31;67,8;919,6;13,7;2,2;
2018-08-31;98;920,1;11,6;2,3;
2018-09-30;198,4;917,4;14,9;2,1;
2018-10-31;145,2;916,7;15,1;2,5;
2018-11-30;138,6;916,6;17;null;
2018-12-31;259,2;915,9;19,3;null;
2019-01-31;218,4;917,1;21,9;null;
2019-02-28;null;null;19;null;
2019-03-31;null;null;null;null;
2019-04-30;130,8;917;18;2;
2019-05-31;236,6;917,7;16,1;2,1;
2019-06-30;25,8;920,7;14,9;2,2;
2019-07-31;85,8;920;12,1;null;
2019-08-31;51,2;922,2;12,2;null;
2019-09-30;83,6;919;14,2;2,2;
2019-10-31;126,6;917,4;17,1;2,4;
2019-11-30;147;915,9;17,8;2,4;
2019-12-31;null;null;null;null;
2020-01-31;null;null;null;null;
2020-02-29;null;null;null;null;
2020-03-31;null;null;null;null;
2020-04-30;null;null;null;null;
2020-05-31;null;null;null;null;
2020-06-30;null;null;null;null;
2020-07-31;null;null;null;null;
2020-08-31;null;null;null;null;
2020-09-30;131,8;918,8;15;2,1;
2020-10-31;112,6;916,8;16,1;2,3;
2020-11-30;174;917;16,5;2,2;
2020-12-31;354,2;915,2;18,6;2,1;
2021-01-31;464;915,6;19,4;null;
2021-02-28;131;915;19,1;null;
2021-03-31;219,2;915,7;19,2;2;
2021-04-30;68,2;919,2;16,1;2;
2021-05-31;136,8;918,2;13,1;2,1;
2021-06-30;276,4;919,6;11,7;2,1;
2021-07-31;33,4;921,1;10,8;2,3;
2021-08-31;68,8;921,1;13,8;2,1;
2021-09-30;163;918,1;14,9;2,3;
2021-10-31;237,6;917,4;14,4;2,2;
2021-11-30;159,2;915,3;16,6;null;
2021-12-31;73;915,1;17,7;null;
2022-01-31;139;915,1;20,3;null;
2022-02-28;164;915,6;19,9;2,1;
2022-03-31;208;916,2;19;2,2;
2022-04-30;84,2;917,6;15,9;2,1;
2022-05-31;235,4;917,7;12,8;2,2;
2022-06-30;179,2;918,3;11,7;2,1;
2022-07-31;41,8;918,8;14,3;2,3;
2022-08-31;172,8;920,1;11,9;2,4;
2022-09-30;124,6;918,8;12,4;2,3;
2022-10-31;223,2;916,3;15,3;2,2;
2022-11-30;301,6;917,7;15,3;null;
2022-12-31;552,4;914,6;18,6;2,1;
2023-01-31;236;915,4;19,8;2;
2023-02-28;240,6;915,3;19,7;2;
2023-03-31;231,8;917,3;20;1,8;
2023-04-30;136,2;917,4;16,1;1,9;
2023-05-31;66,8;919,7;14,9;1,9;
2023-06-30;112,4;920;13,1;2,5;
2023-07-31;169,6;920,2;12,7;2,2;
2023-08-31;128,2;918,1;14,4;2,3;
2023-09-30;204,8;916,9;16;2,4;
2023-10-31;445,2;915,6;14,9;2,1;
2023-11-30;363,2;914,9;17,7;2,3;
2023-12-31;77;915,8;20,1;2,2;
2024-01-31;237,4;915,9;19,5;2,2;
2024-02-29;198,2;917,3;20,8;1,9;
2024-03-31;186,8;917,2;20;1,9;
2024-04-30;null;null;null;null;
2024-05-31;null;null;null;null;
2024-06-30;null;null;null;null;
2024-07-31;null;null;12,7;null;
2024-08-31;36,4;920;13,8;null;
2024-09-30;105;917,9;16,5;null;
2024-10-31;217;917,4;16,3;null;
2024-11-30;278,6;916,1;17,6;null;
2024-12-31;227,6;914,5;17,7;null;
2025-01-31;229,6;914,6;19,6;null;
2025-02-28;204;916,6;21,5;null;
2025-03-31;189;918,7;19,9;null;
2025-04-30;97;917,8;16,4;null;
2025-05-31;101;920,3;15;null;
2025-06-30;null;null;null;null;

