Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;3,4;1010,9;24,1;3,7;
2010-02-28;258;1010,7;25;3,6;
2010-03-31;32;1012,5;22,9;3,4;
2010-04-30;102,2;1016,5;19,6;2,8;
2010-05-31;163,2;1017,5;17,3;3,1;
2010-06-30;87;1019,1;14,2;2,8;
2010-07-31;215;1018,5;12,9;2,6;
2010-08-31;12;1020;13;2,7;
2010-09-30;27,8;1015,8;15,9;3,4;
2010-10-31;10,4;1015,4;16,7;3,2;
2010-11-30;38,6;1011,9;18,7;3,9;
2010-12-31;40,6;1009,8;22,3;4,5;
2011-01-31;36,4;1009,6;24,8;4,2;
2011-02-28;133,2;1012,1;23,8;4;
2011-03-31;281,4;1014,7;22,2;4,3;
2011-04-30;98;1014,4;19,6;2,8;
2011-05-31;146,2;1018,2;16,4;2,8;
2011-06-30;126,6;1016,1;13,1;2,9;
2011-07-31;41,8;1017,9;11,6;3,1;
2011-08-31;147,2;1016,7;12,8;4,3;
2011-09-30;54,6;1019,4;14,8;4;
2011-10-31;71,4;1013,4;17,5;4,1;
2011-11-30;45,6;1014,3;20,1;4,5;
2011-12-31;48,2;1011,6;20,8;4,1;
2012-01-31;39,2;1012,3;23,2;4,4;
2012-02-29;79,2;1010,1;24,8;3,3;
2012-03-31;131,4;1013,3;22,3;2,9;
2012-04-30;83,8;1014,5;18,2;2,9;
2012-05-31;12,4;1017,9;17,8;2,7;
2012-06-30;81,2;1016,8;12,8;2,4;
2012-07-31;107,6;1018,5;10,9;3;
2012-08-31;120,6;1019,2;16,7;3,6;
2012-09-30;132;1017,1;16,6;4,1;
2012-10-31;36,8;1012,2;19,1;3,9;
2012-11-30;36,2;1013,1;21,5;4;
2012-12-31;138,2;1008,5;23,9;3,7;
2013-01-31;78,8;1013,4;22,9;3,8;
2013-02-28;194,8;1011,6;23,4;3,7;
2013-03-31;31,2;1014,5;20,7;3,4;
2013-04-30;149,4;1015,3;19,1;3;
2013-05-31;89,4;1015,3;15,3;2,5;
2013-06-30;128,4;1016,8;13,3;2,5;
2013-07-31;73,4;1019,2;12,2;2,8;
2013-08-31;112,4;1019,1;12,2;3,6;
2013-09-30;120,8;1016,3;15,6;3,5;
2013-10-31;119,2;1015,9;17,5;3,8;
2013-11-30;148,2;1012,3;20,3;4,4;
2013-12-31;64,6;1010,1;23,3;4,1;
2014-01-31;206,4;1011,1;25;3,3;
2014-02-28;158,6;1012,2;24,6;3,5;
2014-03-31;181;1013,1;21,6;3,2;
2014-04-30;55,4;1016,3;19,7;3,1;
2014-05-31;36,2;1016,5;15,5;2,2;
2014-06-30;147,8;1017,1;14,1;3;
2014-07-31;199,8;1020;14,6;3,1;
2014-08-31;58,8;1017,4;14,3;2,8;
2014-09-30;108,4;1015,1;16,5;3,8;
2014-10-31;255,2;1015,4;19,4;3,9;
2014-11-30;69,8;1012,6;21,3;3,8;
2014-12-31;146,8;1011;23;3,3;
2015-01-31;173;1012,1;24,5;3,1;
2015-02-28;null;null;null;null;
2015-03-31;null;null;null;null;
2015-04-30;null;1017,2;19,9;2,6;
2015-05-31;127;1018,2;17,4;2,6;
2015-06-30;122,8;1018,5;14,4;2,4;
2015-07-31;148;1018;14,1;2,5;
2015-08-31;62,2;1015;17,8;3,3;
2015-09-30;278,8;1014,6;15,5;3;
2015-10-31;203,6;1015,7;16,6;4,2;
2015-11-30;124,4;1013,1;19,1;3,9;
2015-12-31;136,4;1011,1;22,4;3,6;
2016-01-31;63,2;1012,2;24;3,6;
2016-02-29;154;1011,8;24,5;3,3;
2016-03-31;189,8;1015,3;21,6;3,3;
2016-04-30;null;1013,8;21,9;2,9;
2016-05-31;null;null;null;null;
2016-06-30;null;null;null;null;
2016-07-31;null;null;null;null;
2016-08-31;118,6;1017,1;14;3;
2016-09-30;90,6;1018,2;14,1;3,9;
2016-10-31;76,8;1015;17,1;4,3;
2016-11-30;105,4;1013,7;19,6;3,5;
2016-12-31;77,2;1010,9;22,4;3,5;
2017-01-31;66,6;1011,8;24;3,4;
2017-02-28;74,8;1010,6;25,2;2,9;
2017-03-31;169,2;1014,9;22,5;3,4;
2017-04-30;93,4;1015,9;19,6;3,4;
2017-05-31;173,2;1016,5;17,6;3,2;
2017-06-30;33,8;1017,1;14,8;2,8;
2017-07-31;33;1022,1;15,2;3,2;
2017-08-31;null;null;null;null;
2017-09-30;null;null;null;null;
2017-10-31;233,4;1012,7;18,4;3,8;
2017-11-30;30,8;1012,5;19,4;3,5;
2017-12-31;30,2;1011,5;22,2;3,9;
2018-01-31;97,2;1011,3;24;3,7;
2018-02-28;65,4;1013,4;23,1;3,2;
2018-03-31;76;1011,9;21,3;2,9;
2018-04-30;76,8;1016,2;22,5;2,6;
2018-05-31;null;1017,5;17,2;2,8;
2018-06-30;null;1018,2;11,8;2,7;
2018-07-31;225,8;1018,8;12,8;3,2;
2018-08-31;47,6;1019,3;12,9;3,4;
2018-09-30;175,4;1016,1;17,4;3,6;
2018-10-31;null;1015,6;17,8;3,3;
2018-11-30;null;1013,1;21,1;3,8;
2018-12-31;46,2;1012,2;21,8;3,6;
2019-01-31;222,2;1012,1;24,6;3,3;
2019-02-28;31,8;1012,7;23,8;2,8;
2019-03-31;23,6;1015,1;22,1;3,2;
2019-04-30;63,6;1014,8;20,1;2,7;
2019-05-31;44,4;1016,4;18,1;2,5;
2019-06-30;38,4;1017;16,7;2,6;
2019-07-31;120,6;1019;11,8;2,8;
2019-08-31;97,4;1021,1;13,1;3,1;
2019-09-30;163,6;1017,8;14,7;3,1;
2019-10-31;196,6;1014,9;18,6;3,5;
2019-11-30;45,8;1013,2;21,1;3,6;
2019-12-31;38,8;1011,2;22,4;3,4;
2020-01-31;32,6;1011,4;23,9;3,4;
2020-02-29;31,2;1013,6;23,4;3,6;
2020-03-31;29,2;1015,2;23,4;3,2;
2020-04-30;52;1016,4;19,2;3,6;
2020-05-31;100,8;1015,6;15,8;2,9;
2020-06-30;205,8;1015,7;14,3;2,9;
2020-07-31;102,6;1017,1;12,3;3;
2020-08-31;43,2;1018,7;13,9;2,9;
2020-09-30;156,6;1017,3;14,6;3;
2020-10-31;125,4;1015,2;17,3;3,5;
2020-11-30;29,8;1015,7;19,9;3,2;
2020-12-31;119;1012,2;22,1;3,7;
2021-01-31;192,2;1011,4;24;3,3;
2021-02-28;null;null;23,1;null;
2021-03-31;null;null;null;null;
2021-04-30;32,4;1017,4;20,5;2,9;
2021-05-31;25,8;1016,6;14,3;2,8;
2021-06-30;77,2;1018;13,8;3,3;
2021-07-31;64,2;1019,8;12;2,7;
2021-08-31;112;1019,4;14,3;2,8;
2021-09-30;170,2;1016;16,6;3,5;
2021-10-31;65,6;1015,8;17,9;3,3;
2021-11-30;49,2;1012,6;20,3;3,5;
2021-12-31;18,6;1013,5;21,9;3,3;
2022-01-31;70,4;1011;25,1;3,1;
2022-02-28;50,6;1011,4;23,5;3,1;
2022-03-31;65,6;1012,8;21,7;3,1;
2022-04-30;123,8;1015,3;18,5;2,6;
2022-05-31;57,2;1017,1;14,6;2,5;
2022-06-30;null;1018,1;12,3;2,5;
2022-07-31;null;1015,2;13,9;2,9;
2022-08-31;118;1018,7;14,1;2,8;
2022-09-30;null;null;14,9;null;
2022-10-31;102,8;1015,1;17,2;3,4;
2022-11-30;49,8;1016,7;20,1;3,5;
2022-12-31;17,4;1011,7;22,6;3,2;
2023-01-31;33,4;1011,7;24,6;3,1;
2023-02-28;41,8;1011,5;24;3;
2023-03-31;89,8;1013,2;24,7;3;
2023-04-30;45,8;1015,2;19,2;2,4;
2023-05-31;138,6;1017,6;17,4;2,3;
2023-06-30;null;1017,6;15,5;2;
2023-07-31;null;null;15,6;null;
2023-08-31;81,2;1016;14,7;null;
2023-09-30;466,2;1014,6;15,9;3,2;
2023-10-31;60,6;1014,3;17,4;3,2;
2023-11-30;154,2;1011,6;19,7;3,3;
2023-12-31;null;1012;null;3,2;
2024-01-31;null;1013,2;null;3,2;
2024-02-29;null;1013,9;24,3;3,2;
2024-03-31;100;1013,6;23,1;2,5;
2024-04-30;316,2;1014;20,3;2,9;
2024-05-31;316,6;1016;15,1;2,7;
2024-06-30;140,8;1015,5;15,7;2,8;
2024-07-31;12,8;1022,9;11,5;2,2;
2024-08-31;239,4;1018,3;13,3;3,1;
2024-09-30;294,8;1015,1;16,5;3;
2024-10-31;134,8;1015,3;19;3,3;
2024-11-30;81,2;1013,4;21,4;3,4;
2024-12-31;120,6;1011,5;20,7;3,2;
2025-01-31;84,8;1011,6;23,5;3;
2025-02-28;112,2;1012;25,2;2,8;
2025-03-31;170,4;1015,1;23,5;2,5;
2025-04-30;164,2;1016,4;18,7;2,8;
