Nome: RIO PARDO
Codigo Estacao: A813
Latitude: -29.87222221
Longitude: -52.38194443
Altitude: 106.99
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;183,6;998,6;24,1;2,5;
2010-02-28;124,8;998,7;25,4;2,5;
2010-03-31;37,4;1000,1;23,1;2,6;
2010-04-30;123,6;1004,4;19,4;2,2;
2010-05-31;97,6;1005,1;16,2;2,5;
2010-06-30;165,2;1006,9;14,3;2,5;
2010-07-31;132,2;1006,8;13,9;2,8;
2010-08-31;61,2;1007,8;13,5;2,6;
2010-09-30;134,8;1003,8;16,8;3,2;
2010-10-31;74,2;1002,7;17,7;2,8;
2010-11-30;81,4;999,1;20,4;2,8;
2010-12-31;117,6;997;22,9;3;
2011-01-31;79,4;996,8;25,3;2,7;
2011-02-28;154,8;999,3;24;2,7;
2011-03-31;157,8;1001,6;21,9;2,8;
2011-04-30;191,4;1002,4;19,7;2,1;
2011-05-31;32,6;1006,1;15,8;2,4;
2011-06-30;118;1004,7;13;2,5;
2011-07-31;221;1005,6;12,5;2,5;
2011-08-31;182,4;1004,1;14,2;3,5;
2011-09-30;73,8;1006,3;16,2;2,6;
2011-10-31;167,4;1000,8;18,8;2,9;
2011-11-30;36;1001;21,3;2,9;
2011-12-31;60,8;998,6;22,4;2,8;
2012-01-31;42,6;999,2;24,2;2,7;
2012-02-29;110,8;998,3;25,5;1,9;
2012-03-31;81,4;1001,4;22,6;1,8;
2012-04-30;96,2;1002,4;18,8;1,8;
2012-05-31;63,8;1005,8;17,9;1,8;
2012-06-30;30;1005,3;14,1;1,8;
2012-07-31;156,8;1006,3;12,5;2;
2012-08-31;75,8;1007;18,7;2,2;
2012-09-30;232,2;1004,8;17,2;3;
2012-10-31;211,2;1000,2;20,2;2,7;
2012-11-30;42,6;1000,1;22,7;2,6;
2012-12-31;195,4;996,7;24,4;2,3;
2013-01-31;102;1000,8;23;2,2;
2013-02-28;110;999,3;23,6;2,1;
2013-03-31;126,2;1002,1;20,6;2,1;
2013-04-30;114,2;1003,4;19,6;2,2;
2013-05-31;62;1003,8;15,7;1,9;
2013-06-30;72,8;1005;13,7;1,9;
2013-07-31;null;null;13,9;null;
2013-08-31;191,6;1006,7;13,3;2,3;
2013-09-30;null;1004,1;17,3;2,4;
2013-10-31;null;null;19,2;null;
2013-11-30;405;999,7;21,7;3,2;
2013-12-31;null;997,5;24,4;2,7;
2014-01-31;null;null;null;null;
