Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;431,6;999,2;24,2;2,3;
2010-02-28;134,8;999,3;25,5;2,4;
2010-03-31;27,8;1000,9;23,3;2,1;
2010-04-30;116;1005,2;19;1,9;
2010-05-31;128,4;1006,1;15,6;1,8;
2010-06-30;145,4;1007,5;14,1;2;
2010-07-31;264,6;1007,5;13,3;2,3;
2010-08-31;115;1008,1;13,8;2,5;
2010-09-30;236;1003,9;16,5;2,6;
2010-10-31;55,2;1003,5;17,7;2,2;
2010-11-30;78,6;1000,1;20,3;2,2;
2010-12-31;167,6;997,4;23,3;2,7;
2011-01-31;130,6;997,4;25,4;2,3;
2011-02-28;183,8;1000;24;2,4;
2011-03-31;59,8;1002,1;22,2;2,4;
2011-04-30;182,6;1003,2;19,2;1,7;
2011-05-31;79,4;1007,1;15,3;1,8;
2011-06-30;null;1005;14,2;2;
2011-07-31;null;null;null;null;
2011-08-31;null;null;15,3;null;
2011-09-30;69;1006,7;16,5;2,5;
2011-10-31;201,4;1001,5;19;2,3;
2011-11-30;46,2;1001,2;22,1;2,8;
2011-12-31;13,8;999,1;23;2,7;
2012-01-31;70,2;999,5;25,3;2,8;
2012-02-29;146;998,9;25,9;2;
2012-03-31;155,2;1002,1;22,6;1,7;
2012-04-30;119,2;1003,2;18,5;1,6;
2012-05-31;149;1006,3;17,5;1,7;
2012-06-30;null;null;13,9;null;
2012-07-31;null;null;null;null;
2012-08-31;80,2;1007,2;19,5;2,6;
2012-09-30;192,2;1005,2;17,5;2,4;
2012-10-31;278,2;1000,7;20,4;2,2;
2012-11-30;78,8;1000,5;23,3;2,3;
2012-12-31;313,2;997,3;24,7;2,2;
2013-01-31;151,8;1001,2;23,4;2,1;
2013-02-28;102,2;999,9;23,5;1,9;
2013-03-31;203,6;1002,7;20,6;1,8;
2013-04-30;186,4;1004;19,2;1,5;
2013-05-31;83,6;1004,6;15,4;null;
2013-06-30;92,8;1005,8;13,5;1,6;
2013-07-31;126,4;1008,1;13,5;1,8;
2013-08-31;178;1007,6;13,2;2,1;
2013-09-30;76,8;1004,7;17,4;2,2;
2013-10-31;115,4;1003,4;19,3;2,2;
2013-11-30;305,6;1000;22,5;2,4;
2013-12-31;97,6;997,8;25,2;2,1;
2014-01-31;139,8;999,7;25,9;2;
2014-02-28;123,2;1000,4;25,2;2,1;
2014-03-31;241,8;1001,5;21,8;1,7;
2014-04-30;115,4;1004,4;19,9;1,9;
2014-05-31;190,8;1005,4;15,6;1,4;
2014-06-30;308,4;1005,6;13,9;2,1;
2014-07-31;280,4;1008,2;15,1;2,1;
2014-08-31;104;1006,3;15,9;2,1;
2014-09-30;null;1003,1;18;null;
2014-10-31;null;null;22,4;null;
2014-11-30;null;null;22,7;null;
2014-12-31;344,2;999,5;23,2;2,1;
2015-01-31;190,2;1000,9;24,2;1,8;
2015-02-28;90,8;1000,5;23,7;1,9;
2015-03-31;142,4;1002,2;22,5;1,7;
