Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;81,6;979,1;24,9;1,8;
2010-02-28;165,2;979,5;25,9;2;
2010-03-31;33,6;980,5;23,5;1,7;
2010-04-30;null;984,7;20;2;
2010-05-31;null;985,5;15,9;1,5;
2010-06-30;null;null;14,9;null;
2010-07-31;106;986,8;14,7;1,6;
2010-08-31;16,2;986,6;15,6;1,5;
2010-09-30;null;null;19,1;null;
2010-10-31;73,2;983,1;18,6;1,6;
2010-11-30;47,6;979,5;21,2;1,6;
2010-12-31;331,8;977;23,8;1,7;
2011-01-31;122,8;977,5;25;1;
2011-02-28;209,4;979,6;24,1;1,6;
2011-03-31;136,6;981,1;23,1;1,6;
2011-04-30;211;982,8;20,4;1,4;
2011-05-31;85,8;986,3;16,3;1,7;
2011-06-30;231;985;13,5;1,2;
2011-07-31;262,2;985,2;13,8;1,6;
2011-08-31;128;984,2;15,5;1,7;
2011-09-30;39,2;985,5;17,6;1,1;
2011-10-31;242,6;980,8;20,4;1,5;
2011-11-30;125,6;980,6;22,5;1,1;
2011-12-31;39,2;978,9;23,6;1,5;
2012-01-31;67,2;979;25,7;1,6;
2012-02-29;97,6;979,4;26,4;1,5;
2012-03-31;55,2;982,3;22,6;1,1;
2012-04-30;89,4;982,8;19,7;1,2;
2012-05-31;23,8;985,9;17,7;1,2;
2012-06-30;72,2;985,7;15,1;1,3;
2012-07-31;153,6;986,3;13,1;1,5;
2012-08-31;71,8;987;19,1;1,8;
2012-09-30;92;984,4;18,9;2;
2012-10-31;359,8;980,5;20,8;2,1;
2012-11-30;76,8;979,7;24,3;2;
2012-12-31;258,8;977,6;24,9;1,9;
2013-01-31;132,6;980,7;23,8;1,8;
2013-02-28;57,8;980;23,9;1,6;
2013-03-31;295,2;982,2;20,7;1,8;
2013-04-30;233,8;983,9;19,4;1,2;
2013-05-31;74;984,5;16,4;1,1;
2013-06-30;null;985,7;15,2;,7;
2013-07-31;49;987,7;14;1,3;
2013-08-31;152,8;986,6;13,3;1,6;
2013-09-30;104,8;984,4;null;1,6;
2013-10-31;146,2;982,2;20,4;2,1;
2013-11-30;67,2;979,7;23,6;2,5;
2013-12-31;null;null;24,2;null;
2014-01-31;null;null;null;null;
2014-02-28;232,8;980,5;25,4;1,9;
2014-03-31;204,6;981,5;21,9;1,4;
2014-04-30;243,4;983,8;20,6;1,6;
2014-05-31;null;984;18,5;1,3;
2014-06-30;null;null;null;null;
2014-07-31;150;987,7;15,3;1,6;
2014-08-31;85,2;986;16,9;1,6;
2014-09-30;424,4;982,1;19,1;2;
2014-10-31;157,2;982,2;22,7;2;
2014-11-30;94,8;980,3;23,6;1,8;
2014-12-31;261,6;979,5;24;1,9;
2015-01-31;377,6;981,3;24,4;1,6;
2015-02-28;94;980,3;24,5;1,5;
2015-03-31;90,4;981,9;23,7;1,4;
2015-04-30;null;null;21,3;null;
2015-05-31;null;null;null;null;
2015-06-30;null;null;null;null;
2015-07-31;null;null;null;null;
2015-08-31;null;null;null;null;
2015-09-30;null;null;null;null;
2015-10-31;null;null;null;null;
2015-11-30;null;null;null;null;
2015-12-31;null;null;24,2;null;
2016-01-31;174;979;26,3;1,9;
2016-02-29;192;980,3;25,3;1,6;
2016-03-31;169;982,8;21,6;1,7;
2016-04-30;null;null;24,6;null;
2016-05-31;null;null;15,2;null;
2016-06-30;null;null;null;null;
2016-07-31;null;986,1;13,9;1,7;
2016-08-31;190,4;984,9;16,5;1,8;
2016-09-30;45,8;986,4;16,5;1,9;
2016-10-31;214,6;981,8;20,2;2,2;
2016-11-30;151,4;981,4;21,9;1,9;
2016-12-31;98,4;979,4;24,2;1,8;
2017-01-31;253,8;980,2;24,9;1,7;
2017-02-28;175,8;980;24,6;1,5;
2017-03-31;251,6;982,1;23,3;1,6;
2017-04-30;434,8;983,9;19,5;1,8;
2017-05-31;546,4;983,7;18,3;1,7;
2017-06-30;180,6;986;15,7;1,6;
2017-07-31;16,8;990,2;16,1;1,7;
2017-08-31;174,6;984,5;17,6;2;
2017-09-30;96,2;984,5;21,1;1,7;
2017-10-31;311,8;980,7;20,2;1,9;
2017-11-30;235,2;980;21,4;1,8;
2017-12-31;162,6;978,6;25;1,8;
2018-01-31;245,2;979,6;24,2;1,8;
2018-02-28;77,4;980,6;23,8;1,7;
2018-03-31;164,4;980,3;23;1,5;
2018-04-30;28,8;984,5;22,8;1,4;
2018-05-31;173;985,8;18,4;1,5;
2018-06-30;120,4;987,3;13,6;1,6;
2018-07-31;63,6;986,7;14,9;1,6;
2018-08-31;77,2;987,5;13,8;1,7;
2018-09-30;126;982,2;19,2;1,7;
2018-10-31;261,4;981,5;20,5;2;
2018-11-30;90,8;980,3;23,4;1,9;
2018-12-31;1,2;980,7;24,3;1,8;
2019-01-31;null;980,8;26,1;1,7;
2019-02-28;185;980,7;23,6;1,8;
2019-03-31;null;983,2;21,7;1,7;
2019-04-30;null;982,7;22;null;
2019-05-31;294;983,7;18,6;1,6;
2019-06-30;16,4;986;18,2;1,7;
2019-07-31;106,8;987,4;13,7;1,6;
2019-08-31;33;988,4;15,4;2;
2019-09-30;0;983,8;18,7;2;
2019-10-31;null;981,6;22,1;2,2;
2019-11-30;null;979,6;23,9;2,1;
2019-12-31;95,2;979,9;24,5;1,8;
2020-01-31;187;979,1;25,2;2;
2020-02-29;142,8;981,4;23,8;1,8;
2020-03-31;42,2;982,3;24,6;1,6;
2020-04-30;null;null;17,8;null;
2020-05-31;null;null;null;null;
2020-06-30;171,8;983,9;17;2;
2020-07-31;327,2;985,6;13,8;1,7;
2020-08-31;159,4;985,7;16,9;1,9;
2020-09-30;41,4;983,2;19,1;2,1;
2020-10-31;27,2;981,1;22,3;null;
2020-11-30;null;null;23,6;null;
2020-12-31;178,4;979,4;24,9;1,9;
2021-01-31;null;979,2;24,1;2,1;
2021-02-28;60,2;980,5;23,2;1,7;
2021-03-31;158;981,3;22,7;1,6;
2021-04-30;56,6;984,7;20,4;1,7;
2021-05-31;86,6;985,7;15,4;1,7;
2021-06-30;33,2;987,1;13,9;1,7;
2021-07-31;15,4;988,8;13,4;1,5;
2021-08-31;null;null;16,5;null;
2021-09-30;null;null;19;null;
2021-10-31;null;981,6;19;null;
2021-11-30;null;null;null;null;
2021-12-31;null;978,7;26,1;2,3;
2022-01-31;null;null;null;null;
2022-02-28;null;null;null;null;
2022-03-31;null;null;null;null;
2022-04-30;null;null;19,4;null;
2022-05-31;null;985,8;15,2;1,6;
2022-06-30;147;986;13,4;1,6;
2022-07-31;57,8;983,6;18,3;1,8;
2022-08-31;92,8;986,5;15,5;2;
2022-09-30;68,4;985,1;16,5;2,2;
2022-10-31;163,2;982,3;18,9;2,1;
2022-11-30;4,8;983,1;21,8;2,2;
2022-12-31;109,4;978,6;25,4;1,8;
2023-01-31;79,4;979,4;26,1;1,7;
2023-02-28;48;980,4;24,5;1,7;
2023-03-31;72;981,6;24,9;1,6;
2023-04-30;60,4;983;19,9;1,6;
2023-05-31;118,6;985,8;17,6;null;
2023-06-30;99,2;987,1;16,1;null;
2023-07-31;125,4;986,3;16,3;null;
2023-08-31;104,2;983,9;17,9;null;
2023-09-30;231,8;980,8;20,7;null;
2023-10-31;494,2;980,2;20,2;null;
2023-11-30;459,8;978,6;23,1;null;
2023-12-31;null;null;25,5;null;
2024-01-31;null;null;null;null;
2024-02-29;null;null;null;null;
2024-03-31;null;null;null;null;
2024-04-30;290,4;981,5;22,9;1,7;
2024-05-31;336,4;984,1;17,1;1,9;
2024-06-30;131,8;983,9;18,2;1,9;
2024-07-31;60,2;989,2;14,1;1,7;
2024-08-31;53,8;986;16,5;1,9;
2024-09-30;62,8;982,1;20,4;2;
2024-10-31;187,8;981,5;21,9;2;
2024-11-30;70,8;979,7;24,4;2,1;
2024-12-31;188,4;979,3;23,5;2;
2025-01-31;68,8;978,7;25,9;2;
2025-02-28;null;null;null;null;
2025-03-31;null;null;null;null;
2025-04-30;null;null;null;null;
2025-05-31;null;null;null;null;
2025-06-30;null;null;null;null;

