Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.74222221
Longitude: -53.37222221
Altitude: 7.41
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;38,6;1010,3;23;2,9;
2010-02-28;281,6;1010,3;23,6;0;
2010-03-31;156,2;1012;22;0;
2010-04-30;77;1016,1;18,8;0;
2010-05-31;72,6;1017,4;16,7;0;
2010-06-30;70,6;1018,3;13,1;0;
2010-07-31;175,8;1017,1;11,5;0;
2010-08-31;40,4;1019,2;11,8;0;
2010-09-30;116;1015,5;14,2;0;
2010-10-31;13,6;1015,1;15,5;,7;
2010-11-30;62,6;1011,8;17,2;5,4;
2010-12-31;33,8;1009,3;21,1;5,6;
2011-01-31;55,2;1009,6;23,3;4,5;
2011-02-28;166,8;1012,4;23;6,5;
2011-03-31;38,6;1014,4;21,5;5,7;
2011-04-30;164;1013,8;18,6;4,6;
2011-05-31;161;1017,8;15,1;4,7;
2011-06-30;66,8;1015;12,1;4,7;
2011-07-31;10,4;1017,1;10,4;4,8;
2011-08-31;98,6;1016,3;11,2;5,8;
2011-09-30;48,8;1018,7;13,6;5,3;
2011-10-31;125,8;1013;16;6,1;
2011-11-30;11,6;1013,7;19,3;5,6;
2011-12-31;41,8;1011,6;20,5;6;
2012-01-31;10,6;1012,5;23,1;6,1;
2012-02-29;null;null;null;null;
2012-03-31;null;null;null;null;
2012-04-30;null;null;null;null;
2012-05-31;29,2;1017;16,7;3,7;
2012-06-30;154,2;1015,6;11,2;4,1;
2012-07-31;47,2;1017,7;9,5;4,9;
2012-08-31;118,8;1018,2;14;4,7;
2012-09-30;40,2;1016,5;14,3;5,4;
2012-10-31;121;1011,4;16,8;4,9;
2012-11-30;73,2;1012,8;20;5,6;
2012-12-31;205,4;1007,5;22,6;4,7;
2013-01-31;44,4;1012,8;22,7;5,1;
2013-02-28;null;1011,5;22,8;5,9;
2013-03-31;46,2;1014,1;19,7;5,2;
2013-04-30;110;1014,5;18,1;4,5;
2013-05-31;128;1014,3;14,4;4,2;
2013-06-30;48,4;1015,8;12,2;4,4;
2013-07-31;77,2;1017,9;10,8;4,3;
2013-08-31;128,4;1018,4;11;5,8;
2013-09-30;236,4;1015,7;14,1;5,9;
2013-10-31;34,8;1015,7;15,9;5;
2013-11-30;121,8;1011,6;18,5;5,6;
2013-12-31;42,4;1009,5;22,2;4,8;
2014-01-31;206,2;1010,2;23,5;5,1;
2014-02-28;223,4;1012;23,2;5,4;
2014-03-31;89;1012,6;20,5;5,2;
2014-04-30;67,8;1015,9;18,6;5;
2014-05-31;61,2;1015,8;14,8;3,7;
2014-06-30;112,8;1017;13;5,6;
2014-07-31;97,6;1018,8;12,9;4,7;
2014-08-31;30,4;1016,1;12,8;4,1;
2014-09-30;149,4;1014,7;14,9;5,1;
2014-10-31;null;null;null;null;
2014-11-30;null;null;null;null;
2014-12-31;123;1010,5;21,6;4,2;
2015-01-31;215,8;1011,7;23,2;4,5;
2015-02-28;62,8;1012,9;23,4;4,3;
2015-03-31;null;null;null;null;
2015-04-30;null;null;null;null;
2015-05-31;65,8;1017,7;16,7;4,4;
2015-06-30;35;1017,2;12,9;4;
2015-07-31;48,6;1017,7;12,9;4;
2015-08-31;337,6;1014,1;15,8;5;
2015-09-30;105,2;1014,6;13,9;5,7;
2015-10-31;62,2;1015,8;15,1;6,1;
2015-11-30;60,8;1013;17,8;5,7;
2015-12-31;72,6;1010,6;21,3;5,1;
2016-01-31;27,2;1012;23;4,8;
2016-02-29;98,8;1011,4;23,6;4,5;
2016-03-31;113,6;1015,6;20,9;5,8;
2016-04-30;348,6;1013,2;18,9;5,6;
2016-05-31;58;1019,5;13,3;5;
2016-06-30;31,4;1020,6;10;3,8;
2016-07-31;161,8;1016,5;11,4;4,4;
2016-08-31;96,8;1016,8;12,2;4,3;
2016-09-30;97,2;1017,9;12,5;5,8;
2016-10-31;116,6;1015;15,6;5,7;
2016-11-30;52,6;1013,2;17,9;5,2;
2016-12-31;149,4;1010,2;20,9;4,9;
2017-01-31;77,4;1011,4;22,6;4,8;
2017-02-28;155,2;1009,8;24;4,1;
2017-03-31;59,2;1014,8;21,7;5,5;
2017-04-30;49,6;1014,9;18,8;5,3;
2017-05-31;127;1016,1;16,5;4,6;
2017-06-30;42,6;1015,9;13,9;4;
2017-07-31;71,4;1020,6;14,1;4,4;
2017-08-31;166,6;1016,3;14,3;5;
2017-09-30;164,2;1017,5;16,4;5,7;
2017-10-31;null;1012,3;17;5,8;
2017-11-30;null;1011,9;18;5,7;
2017-12-31;null;1011,3;21,4;5,8;
2018-01-31;null;1010,9;23,2;5,4;
2018-02-28;null;1013,4;22,5;5;
2018-03-31;null;1011,5;20,5;4,8;
2018-04-30;83;1015,7;21,6;4,3;
2018-05-31;38;1016,6;16,4;4,3;
2018-06-30;78,8;1017,1;10,9;4,5;
2018-07-31;194;1018,3;11,5;5,3;
2018-08-31;134,8;1018,6;11,8;4,9;
2018-09-30;103;1016,1;15,2;4,7;
2018-10-31;81,4;1015,8;15,7;5,3;
2018-11-30;93,2;1012,7;19,3;5,7;
2018-12-31;132;1011,8;20;5,5;
2019-01-31;213,4;1011,6;23,2;5,2;
2019-02-28;13,8;1012,4;22,8;4,7;
2019-03-31;85,6;1014,9;21,1;6,1;
2019-04-30;null;null;20,1;null;
2019-05-31;null;null;null;null;
2019-06-30;null;null;null;null;
2019-07-31;99,2;1018;11,1;4,6;
2019-08-31;108,4;1020,5;11,1;4,7;
2019-09-30;74,4;1017,4;12,8;4,8;
2019-10-31;286,6;1014,8;16,3;5,3;
2019-11-30;63,4;1012,9;19,4;4,7;
2019-12-31;69,6;1010,4;20,8;5,1;
2020-01-31;102,2;1011,3;22,4;5,2;
2020-02-29;78,2;1013,2;22,3;5,6;
2020-03-31;12,8;1015,1;22,4;5;
2020-04-30;67;1015,7;18,8;5,8;
2020-05-31;92;1014,7;15,2;4,9;
2020-06-30;256,6;1014,7;13,1;4,3;
2020-07-31;79;1016,1;11;4,3;
2020-08-31;62,2;1018;11,6;4,2;
2020-09-30;111,4;1017;12,7;5,1;
2020-10-31;47;1015,4;15,2;6,2;
2020-11-30;27,8;1015,9;19,1;5,5;
2020-12-31;43,8;1011,9;21,1;5,9;
2021-01-31;93,4;1011,1;23,2;5,8;
2021-02-28;341,4;1011,5;22,7;5,4;
2021-03-31;116,8;1012,8;22,2;5,3;
2021-04-30;119;1017;20;4,9;
2021-05-31;66;1015,5;14,1;4,6;
2021-06-30;178,2;1017,5;12,8;5;
2021-07-31;83,2;1018,7;10,9;4,1;
2021-08-31;57,2;1019,1;12,7;4,1;
2021-09-30;null;null;14,8;null;
2021-10-31;null;null;null;null;
2021-11-30;null;null;null;null;
2021-12-31;null;null;null;null;
2022-01-31;null;null;null;null;
2022-02-28;null;null;null;null;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;null;null;null;null;
2022-06-30;null;null;null;null;
2022-07-31;null;1014,5;12,7;4,3;
2022-08-31;null;1019,5;12,3;4,5;
2022-09-30;37,4;1018,6;13,3;5;
2022-10-31;139;1015,1;16;5,8;
2022-11-30;86,8;1016,3;19,3;4,8;
2022-12-31;49,4;1011,5;21,7;5,4;
2023-01-31;59,8;1011,6;23,8;5,4;
