Nome: SANTO AUGUSTO
Codigo Estacao: A805
Latitude: -27.85444444
Longitude: -53.7911111
Altitude: 489.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;184,8;954;23,3;3;
2010-02-28;126,8;954,5;24,5;3,1;
2010-03-31;188,4;955,2;22,4;2,9;
2010-04-30;218,4;958,9;19,1;3,1;
2010-05-31;186,8;959,2;14,7;3,1;
2010-06-30;119,2;960,6;14,6;3,5;
2010-07-31;202;960,7;13,7;3,7;
2010-08-31;48,2;960,6;14,9;3,7;
2010-09-30;213,4;957,1;16,8;3,6;
2010-10-31;139,2;956,7;17,9;3,3;
2010-11-30;107;953,9;20,7;3;
2010-12-31;314,2;951,8;22,5;3,3;
2011-01-31;175,8;952,4;24;2,3;
2011-02-28;null;954,6;22,6;2,7;
2011-03-31;150;955,7;21,8;3,2;
2011-04-30;206,6;957,3;20;2,8;
2011-05-31;64,6;960,2;15,7;3,1;
2011-06-30;303,8;959;13;3,2;
2011-07-31;384;959;13,6;3,2;
2011-08-31;null;null;15,1;null;
2011-09-30;52,8;959,6;17,1;3,6;
2011-10-31;212,8;955,2;19,6;3,5;
2011-11-30;null;null;null;null;
2011-12-31;null;null;null;null;
2012-01-31;106,8;954;24,7;3,2;
2012-02-29;123,2;955,3;25,4;2,3;
2012-03-31;74,8;957,8;22,3;2;
2012-04-30;121,8;957,9;19,6;2,2;
2012-05-31;17,4;961,1;17,5;2;
2012-06-30;111,4;960,5;14,6;2,2;
2012-07-31;199,4;960,9;13,2;2,5;
2012-08-31;49,8;962,3;18,7;3;
2012-09-30;115,2;959,6;18,3;2,9;
2012-10-31;376,2;956;20,1;2,9;
2012-11-30;80,6;955,3;23,5;2,6;
2012-12-31;255,4;953,5;24,2;2,7;
2013-01-31;45;956,4;22,8;2,5;
2013-02-28;80,6;955,7;22,9;2,3;
2013-03-31;255,4;957,5;20;2,4;
2013-04-30;190;959,2;19,6;2,1;
2013-05-31;108,4;959,4;16,2;2,1;
2013-06-30;169,4;960;14,8;2,1;
2013-07-31;68,8;962,4;13,7;2,2;
2013-08-31;260,4;961,2;13,1;2,8;
2013-09-30;105,4;959,4;16,7;2,6;
2013-10-31;280,4;958;19,4;2,4;
2013-11-30;143;955,4;22,6;3,1;
2013-12-31;null;null;null;null;
2014-01-31;null;null;null;null;
2014-02-28;null;null;null;null;
2014-03-31;null;null;21,3;null;
2014-04-30;247,8;959,2;19,8;2,2;
2014-05-31;266,4;959,9;16,1;1,9;
2014-06-30;375;959,7;14,7;2,6;
2014-07-31;148,2;962,7;14,8;2,5;
2014-08-31;133;961,1;16,6;2,4;
2014-09-30;350,2;957,5;18,3;2,7;
2014-10-31;148,2;957,8;21,8;2,7;
2014-11-30;156,8;955,9;22,6;2,5;
2014-12-31;134,6;955,3;23;2,5;
2015-01-31;246,4;957,1;23,4;2,3;
2015-02-28;121,2;956,1;23,3;1,9;
2015-03-31;115,6;957,4;22,8;2;
2015-04-30;125,2;959,1;20,3;1,9;
2015-05-31;250,4;960,5;17,2;2,2;
2015-06-30;161;961,9;15,7;2,3;
2015-07-31;351,8;960,4;14,5;2,3;
2015-08-31;44,2;959;19,7;2,7;
2015-09-30;167,2;956,6;18,1;2,7;
2015-10-31;146;956,9;20,3;2,8;
2015-11-30;236,4;954,9;20,9;2,6;
2015-12-31;null;null;null;null;
2016-01-31;null;null;null;null;
2016-02-29;null;null;null;null;
2016-03-31;null;null;null;null;
2016-04-30;null;null;null;null;
2016-05-31;null;null;null;null;
2016-06-30;null;null;null;null;
2016-07-31;null;961,3;13,6;2,5;
2016-08-31;143;959,9;16,1;2,4;
2016-09-30;58,8;961,1;16,1;2,4;
2016-10-31;null;957,3;19,1;2,5;
2016-11-30;null;956,8;21,4;2,4;
2016-12-31;40;955,2;23,5;2,3;
2017-01-31;88,8;956,4;23,8;2,2;
2017-02-28;null;955,9;24,1;2;
2017-03-31;null;958,1;22,8;2;
2017-04-30;null;959,5;18,5;2,3;
2017-05-31;null;958,8;17,6;2,2;
2017-06-30;null;null;14,1;null;
2017-07-31;null;965,1;18,4;2,4;
2017-08-31;null;959,6;16,9;2,9;
2017-09-30;62,8;959,9;21,2;2,5;
2017-10-31;276,8;956,1;19,6;2,6;
2017-11-30;157,4;955,3;21,2;2,6;
2017-12-31;54,2;954,4;24,2;2,3;
2018-01-31;259,8;955,4;23;2,3;
2018-02-28;78,4;956,3;22,7;2,1;
2018-03-31;167,2;955,9;22,2;2;
2018-04-30;56,2;960,1;22,3;1,8;
2018-05-31;157,6;961;18;2,1;
2018-06-30;160;961,9;13,3;2,3;
2018-07-31;71,4;961,4;15;2,3;
2018-08-31;65;962,1;13,4;2,3;
2018-09-30;79,6;957,5;18,5;2,1;
2018-10-31;114,8;956,8;19,6;2,6;
2018-11-30;127;955,9;22,7;2,6;
2018-12-31;91,6;956,4;23,6;2,4;
2019-01-31;36,6;956,8;25;2,3;
2019-02-28;null;956,3;22,5;2,1;
2019-03-31;195,6;958,5;21,5;2,1;
2019-04-30;71;958;20,8;1,7;
2019-05-31;null;958,8;17,8;2;
2019-06-30;35,2;961,3;17,8;2,4;
2019-07-31;92,4;962,1;13,5;2,1;
2019-08-31;61,8;963,3;15,1;2,4;
2019-09-30;70;958,9;18,1;2,4;
2019-10-31;217,4;957,2;21,4;1,8;
2019-11-30;217,6;955,2;23,3;1,6;
2019-12-31;140;955,5;23,9;,8;
2020-01-31;141,6;954,8;24,1;1;
2020-02-29;72,6;957;23;1,6;
2020-03-31;28,6;958;24,4;1,1;
2020-04-30;80,4;960,5;19,2;,2;
2020-05-31;256,6;960,5;15,7;,4;
2020-06-30;213,4;959,2;16;,9;
2020-07-31;356,4;960,3;13,8;,7;
2020-08-31;162,2;960,8;16,7;,9;
2020-09-30;85,4;958,4;19;1;
2020-10-31;59,2;956,5;21,9;,3;
2020-11-30;121;956,9;22,2;,2;
2020-12-31;120,2;955;23,8;0;
2021-01-31;null;955;23,2;,1;
2021-02-28;151,4;956;22,4;0;
2021-03-31;222,8;956,7;22,3;0;
2021-04-30;47;960;19,8;0;
2021-05-31;136;960,5;15,6;,1;
2021-06-30;271,4;961,7;13,7;,1;
2021-07-31;57,2;963,5;13,9;0;
2021-08-31;38,2;961;17,5;0;
2021-09-30;115,4;958;18,9;0;
2021-10-31;297,4;957,4;19,5;0;
2021-11-30;49;955,4;22,9;0;
2021-12-31;40,6;954,5;25,1;0;
2022-01-31;59,8;954,5;26,4;,2;
2022-02-28;85,4;955,5;24,7;,1;
2022-03-31;236,4;956,8;21,8;,1;
2022-04-30;237;958,2;19;,1;
2022-05-31;323,2;960,4;14,6;,1;
2022-06-30;156,2;960,6;13,3;0;
2022-07-31;68,8;959;17,9;,2;
2022-08-31;115,4;961,2;15;,1;
2022-09-30;77,8;959,9;15,5;,1;
