Nome: SAO JOAQUIM
Codigo Estacao: A815
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.06
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;324;860,6;17,7;2,9;
2010-02-28;259,6;861,7;18,7;2,9;
2010-03-31;153,6;861;16,3;2,9;
2010-04-30;194,2;863,6;13,5;3,1;
2010-05-31;227,6;862,3;10,8;3,1;
2010-06-30;118,4;864,4;10,1;2,5;
2010-07-31;165,2;864,6;11;3,2;
2010-08-31;88,8;864,5;10,2;3,1;
2010-09-30;219;862,1;12,1;3,2;
2010-10-31;136,4;860,5;11,7;2,9;
2010-11-30;160;858,7;14,1;2,8;
2010-12-31;152,6;858,3;16,2;3;
2011-01-31;181,6;859;18,1;2,7;
2011-02-28;328,2;860,8;17,5;3;
2011-03-31;144,4;862,1;15,5;3,1;
2011-04-30;91,8;862,4;14,3;2,3;
2011-05-31;78,2;863,4;10,2;3;
2011-06-30;113,2;862,1;8,7;2,6;
2011-07-31;182;862,6;10;2,8;
2011-08-31;292,6;862,2;9,9;3,7;
2011-09-30;116,4;864,1;11,4;3,1;
2011-10-31;140,4;860,2;13,5;3,3;
2011-11-30;54,6;860,9;14,1;3;
2011-12-31;133,4;859,2;15,3;2,9;
2012-01-31;172,6;860,3;16,4;3;
2012-02-29;153,6;861,4;18,5;2,7;
2012-03-31;59,4;862,2;16;2,6;
2012-04-30;null;861,1;13,7;2,7;
2012-05-31;31,2;864,3;11,6;2,6;
2012-06-30;150;862,7;10,6;2,3;
2012-07-31;170,4;862,7;9,1;3,1;
2012-08-31;21,4;866,6;13,2;3;
2012-09-30;143,4;863,5;12,5;2,9;
2012-10-31;181,6;860,9;15;2,7;
2012-11-30;50,4;860,5;15,3;2,6;
2012-12-31;175,4;859,5;18,6;2,4;
2013-01-31;76,8;861,3;16,1;2,5;
2013-02-28;249,8;860,9;16,9;2,2;
2013-03-31;163,6;861,9;14,9;2,4;
2013-04-30;60,4;862,8;13,6;2;
2013-05-31;69,8;862,3;11,9;2,1;
2013-06-30;181,4;862,4;10,6;2,4;
2013-07-31;null;null;10,4;null;
2013-08-31;null;null;null;null;
2013-09-30;222,6;862,6;12,1;2,5;
2013-10-31;125,4;861,8;12,6;2,7;
2013-11-30;120;860,8;15,1;3,1;
2013-12-31;131,6;859,3;17,4;2,6;
2014-01-31;167,8;862,1;19;2,2;
2014-02-28;238,8;862,4;18,8;2,6;
2014-03-31;136,6;862;15,9;2,2;
2014-04-30;135,4;863,4;13,8;2,5;
2014-05-31;200,6;862,6;11,2;2;
2014-06-30;409,2;862,6;10,7;2,8;
2014-07-31;null;865,5;10,1;2,6;
2014-08-31;null;864,1;12;2,9;
2014-09-30;196,6;861,9;13,3;3,1;
2014-10-31;217,6;863,1;15,4;2,6;
2014-11-30;134,6;860,9;15,6;2,7;
2014-12-31;239,6;860,7;16,9;2,8;
2015-01-31;249,6;862,4;18,2;2,6;
2015-02-28;152,4;861,4;17,3;2,5;
2015-03-31;147,4;862,2;16,1;2,3;
2015-04-30;95,4;863,1;13,7;1,8;
2015-05-31;98;863,6;11,6;2,2;
2015-06-30;null;864;10,8;1,8;
2015-07-31;null;null;null;null;
2015-08-31;null;864,2;13,7;3;
2015-09-30;375;860,4;13;2,7;
2015-10-31;345;861,7;14,5;2,7;
2015-11-30;123,4;859,8;15;3,1;
2015-12-31;206,8;860,6;17,6;2,7;
2016-01-31;93,8;861;18;2,9;
2016-02-29;204;861,8;18,4;2,5;
2016-03-31;156;862,8;15,7;2,7;
2016-04-30;152,4;862,7;16,6;2,3;
2016-05-31;103,4;863,4;10,1;2,3;
2016-06-30;17,8;864,5;7,4;2,2;
2016-07-31;192,8;863,1;10,1;2,7;
2016-08-31;123,2;862,8;11,3;2,6;
2016-09-30;82,2;862,9;11,2;2,9;
2016-10-31;266,2;861,2;12,9;2,9;
2016-11-30;78;860,8;14,6;2,7;
2016-12-31;183,6;860,3;16,8;2,7;
2017-01-31;171,8;861,4;18;2,6;
2017-02-28;109,2;861,7;18,8;2,3;
2017-03-31;73,8;862,7;15,9;2,6;
2017-04-30;116,2;863,1;13,4;2,6;
2017-05-31;273,8;863;12,6;2,5;
2017-06-30;185,2;863,8;10,8;2,4;
2017-07-31;20,8;868,1;10,8;2,4;
2017-08-31;119,6;863,4;11,5;2,9;
2017-09-30;47,8;865;16,3;2,4;
2017-10-31;152,2;860,4;13,8;3,2;
2017-11-30;114,2;859,5;14,2;2,9;
2017-12-31;226,2;859,9;17;2,7;
2018-01-31;256,4;860,6;16,9;2,7;
2018-02-28;52,8;861,2;16,1;2,5;
2018-03-31;168;860,7;16,9;2,1;
2018-04-30;35,8;864,7;15,7;2,1;
2018-05-31;73,8;864,1;11,9;2,1;
2018-06-30;186;863,5;10,1;2,4;
2018-07-31;127,4;863,8;11,2;2,7;
2018-08-31;107,6;863,8;10;2,6;
2018-09-30;191,4;861,7;13,3;2,5;
2018-10-31;191,6;861;13,3;2,8;
2018-11-30;147,8;861,2;15,4;2,6;
2018-12-31;175,8;861,2;17,3;2,5;
2019-01-31;218;862,9;19,4;2,4;
2019-02-28;139;861,3;16,8;2,5;
2019-03-31;117,8;863,1;15,9;2,4;
2019-04-30;149,8;862,2;15,2;2;
2019-05-31;311,4;862,5;13,2;2,1;
2019-06-30;21,2;865,1;12,8;2,1;
2019-07-31;192,4;863,9;10,2;2,2;
2019-08-31;26,8;865,7;10,4;2,3;
