Nome: SAO JOSE DOS AUSENTES
Codigo Estacao: A829
Latitude: -28.7486111
Longitude: -50.05777777
Altitude: 1228.59
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;222,8;877;17,6;5,8;
2010-02-28;212,2;877,9;18,9;5,7;
2010-03-31;179,8;877,5;16,5;5,5;
2010-04-30;180,6;880,3;13,7;5,7;
2010-05-31;262,6;879,2;11,1;6;
2010-06-30;94,8;881,2;9,8;5,9;
2010-07-31;168,8;881,1;10,2;6,8;
2010-08-31;66,8;881,1;10,2;6,4;
2010-09-30;145;878,6;11,8;6,8;
2010-10-31;132,8;877,3;11,5;5,5;
2010-11-30;121,4;875,3;13,9;5,6;
2010-12-31;62;874,8;15,9;6,3;
2011-01-31;258,2;875,5;18,1;5,2;
2011-02-28;260,8;877,3;17,7;5,8;
2011-03-31;184,8;878,9;15,3;6,2;
2011-04-30;123,8;878,9;14,3;5,1;
2011-05-31;112;880,3;10,5;5,8;
2011-06-30;177,4;878,4;8,6;5,9;
2011-07-31;206;879,3;9,7;6,1;
2011-08-31;238,4;878,3;9,7;7,7;
2011-09-30;85,2;880,9;10,9;6,1;
2011-10-31;116,8;876,8;13,5;6;
2011-11-30;46;877,7;13,7;6,1;
2011-12-31;105;875,7;14,9;5,8;
2012-01-31;204,6;876,9;16,4;5,8;
2012-02-29;143,4;877,6;18,8;5,4;
2012-03-31;33,2;878,7;16;5,3;
2012-04-30;43,6;878,1;13,6;5,2;
2012-05-31;37;881,2;11,8;5,4;
2012-06-30;109,8;879,5;10,4;5,2;
2012-07-31;208,6;879,4;8,8;6,5;
2012-08-31;32,4;883,2;13,4;6,3;
2012-09-30;191,6;880,2;12,2;6,3;
2012-10-31;151,8;877,3;15,1;6,4;
2012-11-30;55,6;877,2;15,1;5,8;
2012-12-31;180;875,7;18,3;6,1;
2013-01-31;124,8;878;15,9;5,7;
2013-02-28;235;877,4;16,9;5,2;
2013-03-31;159;878,5;14,8;5,4;
2013-04-30;29,8;879,5;13,7;4,8;
2013-05-31;69,8;878,9;11,8;5,3;
2013-06-30;105,6;879,1;10,5;5,3;
2013-07-31;92,4;881;9,5;4,3;
2013-08-31;344,6;879,9;9,5;null;
2013-09-30;168,8;879,3;12,2;null;
2013-10-31;136,2;878,6;12,4;null;
2013-11-30;158,2;877,3;14,9;null;
2013-12-31;223,8;875,9;16,9;null;
2014-01-31;172;878,4;19,1;null;
2014-02-28;243,4;878,9;18,8;null;
2014-03-31;138,8;878,5;16,1;null;
2014-04-30;137,2;880,1;14;null;
2014-05-31;128,6;879,4;11,3;null;
2014-06-30;null;879,7;10,8;null;
2014-07-31;null;883,3;11,5;null;
2014-08-31;null;880,5;12,7;null;
2014-09-30;null;878,7;13,3;null;
2014-10-31;179,8;879,7;15;6;
2014-11-30;86,2;877,5;15,8;5,8;
2014-12-31;169,6;877,2;17,2;6,2;
2015-01-31;214,2;878,8;18,3;5,9;
2015-02-28;240,6;878;17,4;5,6;
2015-03-31;163,8;878,9;16,2;5,3;
2015-04-30;99,2;879,9;13,9;5,3;
2015-05-31;158,8;880,5;11,8;null;
2015-06-30;132,8;881,4;10,6;null;
2015-07-31;263;879,6;10,7;null;
2015-08-31;51,2;880,4;14,5;6,5;
2015-09-30;303,4;877;12,6;null;
2015-10-31;306,6;878,2;13,7;null;
2015-11-30;66,6;876,4;14,4;null;
2015-12-31;null;null;null;null;
2016-01-31;null;null;null;null;
2016-02-29;null;null;null;null;
2016-03-31;null;879,1;15,9;5,9;
2016-04-30;185,6;879,3;16,5;5,6;
2016-05-31;69,2;880,5;9,9;null;
2016-06-30;null;881,3;8,5;null;
2016-07-31;170;879,8;10,7;null;
2016-08-31;114,2;879,8;11;null;
2016-09-30;34,4;879,8;10,9;null;
2016-10-31;null;null;null;null;
2016-11-30;null;null;null;null;
2016-12-31;151,2;876,9;17,1;5,8;
2017-01-31;221;878;18,1;5,5;
2017-02-28;69,4;878,2;19,1;5,3;
2017-03-31;101,2;879,5;15,9;6;
2017-04-30;140,2;879,9;13,5;5,9;
2017-05-31;165,8;879,9;12,6;5,8;
2017-06-30;113;880,5;10,9;null;
2017-07-31;8,6;885,1;10,8;null;
2017-08-31;93,2;880,2;11,6;null;
2017-09-30;128;881,6;15,8;null;
2017-10-31;200,4;876,9;13,8;null;
2017-11-30;153,8;876,2;13,9;5,9;
2017-12-31;82,6;876,6;16,8;5,7;
2018-01-31;170;877,2;16,9;5,9;
2018-02-28;66,8;878;16;5,6;
2018-03-31;212,2;877,3;16,9;4,9;
2018-04-30;26,4;881,5;15,9;4,9;
2018-05-31;88,6;880,9;12;5,4;
2018-06-30;null;880,2;9,9;6,3;
2018-07-31;172,6;880,6;11;null;
2018-08-31;107,2;880,7;9,4;null;
2018-09-30;165,6;878,6;13;null;
2018-10-31;168;878;13;null;
2018-11-30;null;878;15,2;null;
2018-12-31;112,6;877,8;17,2;5,4;
2019-01-31;114;879,3;19,6;5,9;
2019-02-28;134,4;878,1;16,7;5,6;
2019-03-31;null;null;16,5;null;
2019-04-30;84,8;878,9;15,3;5;
2019-05-31;282;879,3;13,3;5,6;
2019-06-30;18,4;882;12,5;null;
2019-07-31;31,8;881,6;10,3;null;
2019-08-31;28,2;882,6;10,3;null;
2019-09-30;null;880,2;12,8;null;
2019-10-31;82,4;878,6;15,4;null;
2019-11-30;null;877,4;15,3;6;
2019-12-31;51,6;877,1;17;5,7;
2020-01-31;166,6;876,9;17,3;5,8;
2020-02-29;77,4;878,9;16,5;5,7;
2020-03-31;29,6;880,1;16,7;5,3;
2020-04-30;49,4;880,2;13,1;5,5;
2020-05-31;67;879,4;11,8;5,9;
2020-06-30;120;879,2;11,7;null;
2020-07-31;366,2;879,3;9,6;null;
2020-08-31;72,4;881,2;12;null;
2020-09-30;103;879,6;13,2;null;
2020-10-31;46,4;878;14,2;null;
2020-11-30;132;878,5;14;null;
2020-12-31;141,8;877;16,3;null;
2021-01-31;177,6;877,4;17,3;null;
2021-02-28;88,4;877,3;16,6;null;
2021-03-31;174;877,9;16,5;null;
2021-04-30;50,2;880,9;13,6;null;
2021-05-31;180,8;879,4;10,4;null;
2021-06-30;107,8;880,4;9,1;null;
2021-07-31;53;881,8;9,2;null;
2021-08-31;null;882,1;11,7;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;90,8;876,8;14,8;null;
2021-12-31;62,4;877;15,4;null;
2022-01-31;194;877,5;18,2;null;
2022-02-28;50,4;877,6;17,8;null;
2022-03-31;99,6;878,2;16,1;null;
2022-04-30;35,6;879,1;13,5;null;
2022-05-31;145,4;878,9;9,7;5,4;
2022-06-30;null;879,5;8;null;
2022-07-31;58,8;879,7;13,2;6,6;
2022-08-31;81,8;880,7;9,9;null;
2022-09-30;null;879,5;9,8;null;
2022-10-31;null;877,7;12,8;null;
2022-11-30;283,6;879,3;12,9;null;
2022-12-31;31,6;876,5;16,5;5,5;
2023-01-31;83;877,7;17,7;5,4;
2023-02-28;151,8;877,6;17;5,1;
2023-03-31;132;879,4;17,8;5,2;
2023-04-30;69,8;878,9;13,5;null;
2023-05-31;104,2;881,1;13,2;null;
2023-06-30;54,2;881,2;11,7;null;
2023-07-31;109;881,6;10,8;5,5;
2023-08-31;null;null;null;null;
2023-09-30;null;null;null;null;
2023-10-31;305,6;876,9;13,2;5,4;
2023-11-30;null;876,5;15,6;6;
2023-12-31;111,6;877,8;17,9;5,5;
2024-01-31;15,2;878,1;16,8;5,9;
2024-02-29;24,6;879,5;18,5;5,5;
2024-03-31;34,6;879,3;17,8;5,2;
2024-04-30;null;879,2;16,2;null;
2024-05-31;null;878,7;12,4;null;
2024-06-30;null;879,8;12,6;null;
2024-07-31;null;882,9;10;null;
2024-08-31;null;880,8;13,6;null;
2024-09-30;100,8;879,1;null;null;
2024-10-31;138;878,6;null;null;
2024-11-30;129;877,7;null;null;
2024-12-31;128,8;876,1;null;null;
2025-01-31;161;876,7;17,2;null;
2025-02-28;139,8;878,9;19,5;null;
2025-03-31;37;880,7;17,2;null;
2025-04-30;132,6;879,4;null;null;
2025-05-31;67,8;881,3;null;null;
2025-06-30;null;null;null;null;

