Nome: SAO LUIZ GONZAGA
Codigo Estacao: A852
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.5
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;357;981,8;25,4;2,6;
2010-02-28;222,6;982,1;26,1;2,9;
2010-03-31;78,2;983,3;24,1;2,4;
2010-04-30;136,2;987,5;20,2;2,6;
2010-05-31;127,6;988,3;16;2,4;
2010-06-30;67,4;989,3;15,7;3;
2010-07-31;201,6;989,6;14,4;3;
2010-08-31;14,2;989,8;15,4;3,1;
2010-09-30;254,4;985,8;17,6;2,9;
2010-10-31;108,2;985,6;19;2,8;
2010-11-30;44,8;982,5;22,2;2,4;
2010-12-31;209,8;979,7;24,7;2,8;
2011-01-31;98,4;980,2;26,3;2,3;
2011-02-28;183,2;982,4;24,6;2,4;
2011-03-31;null;984;23,8;2,7;
2011-04-30;null;null;null;null;
2011-05-31;null;null;null;null;
2011-06-30;null;null;null;null;
2011-07-31;null;null;null;null;
2011-08-31;null;null;16,2;null;
2011-09-30;88,2;988,3;18,3;2,9;
2011-10-31;221,2;983,8;20,3;2,6;
2011-11-30;78,6;983,3;23,5;2,7;
2011-12-31;36,8;981,8;24,4;2,4;
2012-01-31;41,4;981,8;26,5;2,6;
2012-02-29;44,4;982;27,2;2,5;
2012-03-31;57,6;984,8;24,5;2,2;
2012-04-30;null;null;null;null;
2012-05-31;null;null;null;null;
2012-06-30;60,2;988,4;16,3;2,6;
2012-07-31;81,2;989,2;13,6;2,6;
2012-08-31;80,8;989,5;19,5;3,2;
2012-09-30;109;987,1;19,2;3,2;
2012-10-31;454,8;983,2;20,9;3,3;
2012-11-30;67,2;982,7;24,5;2,6;
2012-12-31;345,8;980,2;25,3;2,7;
2013-01-31;189,4;983,6;24,4;2,5;
2013-02-28;156,2;982,7;24,4;2,3;
2013-03-31;265,8;985;21,2;2,6;
2013-04-30;264;986,7;20,6;2,2;
2013-05-31;143,8;987,2;16,8;2,4;
2013-06-30;56,6;988;15,4;2,3;
2013-07-31;158,8;990,4;15,1;2,7;
2013-08-31;107,6;989,6;14;2,9;
2013-09-30;106;987,2;17,6;2,6;
2013-10-31;173,8;985,5;20,7;2,7;
2013-11-30;139,8;982,4;23,7;3,1;
2013-12-31;173,8;980,6;26,1;2,3;
2014-01-31;202,6;983;26,5;2,6;
2014-02-28;null;null;27,6;null;
2014-03-31;null;null;22,4;null;
2014-04-30;104,8;986,7;20,9;2,5;
2014-05-31;327,8;987,7;16,8;2,3;
2014-06-30;null;null;null;null;
2014-07-31;null;null;null;null;
2014-08-31;null;null;null;null;
