Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;319,4;1000,2;26;2,8;
2010-02-28;156,2;1000,1;26,6;3;
2010-03-31;55,8;1001,9;24,8;2,5;
2010-04-30;92,6;1006,4;20,4;2,8;
2010-05-31;136,6;1007,5;16,2;2,7;
2010-06-30;40,6;1008,4;15,6;2,8;
2010-07-31;214;1008,6;14,2;3,1;
2010-08-31;11,4;1008,9;15,5;3,4;
2010-09-30;282,2;1004,8;18;3,3;
2010-10-31;77,6;1004,7;19,7;3,2;
2010-11-30;31,8;1001,5;22,4;2,7;
2010-12-31;325;998,2;25,2;2,8;
2011-01-31;116,2;998,5;27,1;2,1;
2011-02-28;206,8;1001;25,1;2,7;
2011-03-31;102,8;1002,6;24,1;2,8;
2011-04-30;null;null;21,9;null;
2011-05-31;null;null;null;null;
2011-06-30;62,8;1007;14,2;2,9;
2011-07-31;44;1007,3;14;2,8;
2011-08-31;null;1006,5;15,8;3,2;
2011-09-30;73,4;1007,3;18,5;3,2;
2011-10-31;202,8;1002,7;20,6;3,1;
2011-11-30;54,8;1002;23,9;3;
2011-12-31;88,2;1000,5;24,4;2,7;
2012-01-31;58,4;1000,4;26,6;2,9;
2012-02-29;null;null;null;null;
2012-03-31;null;null;22;null;
2012-04-30;100,8;1004,7;20,3;2,2;
2012-05-31;39,4;1007,3;19,2;2,6;
2012-06-30;79,8;1007,5;15,3;2,4;
2012-07-31;44,8;1008,7;12,9;2,5;
2012-08-31;43;1008,1;19,6;3,2;
2012-09-30;null;1005,9;19,6;3,3;
2012-10-31;null;1001,7;21,2;3,5;
2012-11-30;76;1001,4;24,8;2,9;
