Nome: SAO GABRIEL
Codigo Estacao: A832
Latitude: -30.34138888
Longitude: -54.31083333
Altitude: 114.89
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;201;997,7;25,4;2,1;
2010-02-28;218,4;997,7;25,9;2;
2010-03-31;40;999,4;24,1;1,6;
2010-04-30;99,8;1003,7;19,8;1,6;
2010-05-31;90,2;1004,5;16,2;1,8;
2010-06-30;71,2;1005,9;14,3;1,9;
2010-07-31;247,6;1005,7;13,3;2,2;
2010-08-31;61,4;1006,6;14,1;2,2;
2010-09-30;183,4;1002,2;17,2;2,7;
2010-10-31;54,6;1002;18,6;1,9;
2010-11-30;11,8;998,6;21,6;1,7;
2010-12-31;61,6;995,8;25,3;2,8;
2011-01-31;105,6;995,9;26,9;2,2;
2011-02-28;99,6;998,4;25,4;2,3;
2011-03-31;81,8;1000,6;23,5;2,6;
2011-04-30;119,4;1001,5;20,1;1,5;
2011-05-31;70,8;1005,4;15,9;1,8;
2011-06-30;94,2;1003,8;13,2;1,7;
2011-07-31;140,4;1004,7;12,5;1,8;
2011-08-31;93,6;1003,2;14,6;2,8;
2011-09-30;81,2;1005,2;16,8;2,4;
2011-10-31;154;1000,1;19,2;2;
2011-11-30;80,2;999,9;22,9;2,7;
2011-12-31;15,2;997,8;23,6;2,2;
2012-01-31;19,4;998,1;26,6;2,7;
2012-02-29;null;null;null;null;
2012-03-31;null;null;21,6;null;
2012-04-30;89,6;1001,9;19,1;1,3;
2012-05-31;14,8;1004,8;18,3;1,6;
2012-06-30;43,2;1004,4;13,7;1,4;
2012-07-31;68,8;1005,7;11,6;1,4;
2012-08-31;78,4;1005,7;18,9;2,2;
2012-09-30;169,6;1003,7;17,5;2,5;
2012-10-31;298,4;999,1;20,5;2,5;
2012-11-30;56,6;999,2;24,3;2,3;
2012-12-31;234,4;995,8;25,4;2;
2013-01-31;61,4;999,9;24,2;2,2;
2013-02-28;71;998,5;24,3;2;
2013-03-31;110,2;1001,3;21,2;2;
2013-04-30;137,6;1002,6;19,7;1,7;
2013-05-31;158,8;1003;15,5;1,4;
2013-06-30;92,2;1004,3;13,3;1,4;
2013-07-31;90;1006,6;13,2;1,5;
2013-08-31;82,8;1006,2;12,8;1,6;
2013-09-30;67,2;1003,2;17,3;2;
2013-10-31;150;1002;19,5;2,1;
2013-11-30;235;998,6;22,5;2,5;
2013-12-31;22,4;996,4;26,7;2,1;
2014-01-31;160,4;998,3;26,8;1,8;
2014-02-28;197,8;999,1;25,5;2;
2014-03-31;255,2;1000,2;22,1;1,4;
2014-04-30;79;1003;20,4;1,9;
2014-05-31;126,4;1003,9;15,5;1,4;
2014-06-30;102,8;1004,3;14;2,1;
2014-07-31;null;1006,7;14,5;,5;
2014-08-31;85,4;1004,7;16;,2;
2014-09-30;171,4;1001,2;18,3;,6;
2014-10-31;200,2;1001,4;21,7;,8;
2014-11-30;114;999,2;23,6;,4;
2014-12-31;175,2;998;24,4;,4;
2015-01-31;222,6;999,5;25,1;,3;
2015-02-28;93,4;999,2;24,6;2;
2015-03-31;108,8;1000,9;23,5;2,1;
2015-04-30;67,4;1003;20,5;1,8;
2015-05-31;129;1004,7;17,2;2;
2015-06-30;89,2;1005,6;15,3;1,8;
2015-07-31;194,2;1004,6;14,8;1,8;
2015-08-31;94,8;1001,6;19,3;2,4;
2015-09-30;120,4;1000,9;17,3;2,1;
2015-10-31;388,4;1001,5;18,7;3;
2015-11-30;105;998,9;21,1;2,8;
2015-12-31;365,6;997,7;23,8;2,5;
2016-01-31;100,2;998,1;26;2,4;
2016-02-29;85,4;998,5;25,7;1,2;
2016-03-31;77;1002;21,8;1,6;
2016-04-30;243;1000,7;21,1;1,7;
2016-05-31;77;1006,6;14,2;1,2;
2016-06-30;null;1008,8;11,8;1,1;
2016-07-31;null;null;null;null;
2016-08-31;null;null;null;null;
2016-09-30;null;null;null;null;
2016-10-31;null;1000,3;19,9;2,8;
2016-11-30;101,4;1000,3;22,1;2,6;
2016-12-31;154;997,6;24,5;2,5;
2017-01-31;229,8;998,5;24,8;2,5;
2017-02-28;248;997,9;24,8;1,9;
2017-03-31;221,8;1001,2;22,6;2,6;
2017-04-30;100,4;1002,5;19,2;2,6;
2017-05-31;238;1002,9;17,2;2,4;
2017-06-30;106,6;1004,5;15,4;2,3;
2017-07-31;26,2;1008,7;15,9;2,3;
2017-08-31;210,2;1003,5;16,8;2,8;
2017-09-30;146,4;1003,7;20;2,8;
2017-10-31;278,8;999,4;19,3;2,8;
2017-11-30;67;999;21;2,4;
2017-12-31;131;997,4;25;2,4;
2018-01-31;173,2;997,8;24,9;2,5;
2018-02-28;47;999,5;24;2,2;
2018-03-31;null;998,9;22,3;2;
2018-04-30;null;1003;22,6;2;
2018-05-31;null;1004,6;16,9;2,2;
2018-06-30;117,4;1006,1;11,3;1,8;
2018-07-31;79;1005,8;12,9;2,5;
2018-08-31;149,6;1006,5;12,8;2,6;
2018-09-30;265,4;1001,5;18,8;2,9;
2018-10-31;107,8;1001,3;19,6;2,8;
2018-11-30;237,8;999,2;22,9;2,9;
2018-12-31;232;999,1;23,5;2,4;
2019-01-31;448,4;998,9;25,3;2,5;
2019-02-28;75;999,5;24,1;2,3;
2019-03-31;96,2;1002;22;2,1;
2019-04-30;143,2;1001,4;20,7;1,8;
2019-05-31;157,2;1002,8;17,8;2;
2019-06-30;47,4;1004,2;17,1;2;
2019-07-31;237,2;1006,2;12,5;1,9;
2019-08-31;93,6;1007,8;14;2,3;
2019-09-30;110;1003,7;16,1;2,4;
2019-10-31;392,8;1000,9;19,9;2,8;
2019-11-30;104,4;999;22,6;2,7;
2019-12-31;26,8;998,1;24,8;2,3;
2020-01-31;86;997,8;25,2;2,6;
2020-02-29;48;1000,1;24,4;2,5;
2020-03-31;36,6;1001,1;25,2;2,3;
2020-04-30;13,6;1003,9;19,7;2,3;
2020-05-31;195,6;1003,8;15,3;1,8;
2020-06-30;116,2;1002,6;14,9;2,3;
2020-07-31;82;1004,6;12,3;2,2;
2020-08-31;56,8;1005,1;15,2;2,4;
2020-09-30;109,2;1003,1;16,2;2,6;
2020-10-31;68,8;1001,1;19,4;2,9;
2020-11-30;74,8;1001,2;22,1;2,8;
2020-12-31;94,2;998,3;23,8;2,5;
2021-01-31;282,8;997,8;24,5;2,5;
2021-02-28;89;998,9;23,1;1,9;
2021-03-31;119;999,9;22,6;1,9;
2021-04-30;46,2;1003,8;20,4;2,5;
2021-05-31;135,2;1004,5;13,9;1,7;
2021-06-30;159,8;1006,1;12,6;2;
2021-07-31;60,4;1007,3;12;1,7;
2021-08-31;65,6;1005,4;15,2;2,4;
2021-09-30;null;1002,3;16,8;2,8;
2021-10-31;81;1002,1;19,2;2,4;
2021-11-30;63,2;999,1;22;2,6;
2021-12-31;33,6;998,6;24,5;2,8;
2022-01-31;59,8;997;27,4;2,7;
2022-02-28;82;998,1;25;2,2;
2022-03-31;137;1000,1;21,5;2,3;
2022-04-30;330;1001,9;18,7;2,1;
2022-05-31;82;1004,7;14,2;1,7;
2022-06-30;111;1005,3;11,6;1,7;
2022-07-31;181,8;1002;15,3;2,4;
2022-08-31;null;1005,5;13,3;2,3;
2022-09-30;null;null;null;null;
2022-10-31;null;null;null;null;
2022-11-30;null;null;23,7;null;
2022-12-31;83,2;997,6;25;2,4;
2023-01-31;57,4;997,8;26,6;2,3;
2023-02-28;null;998,2;25,6;2,2;
2023-03-31;72,6;999,9;25,2;1,8;
2023-04-30;null;1002,3;20,3;1,8;
2023-05-31;null;null;null;null;
2023-06-30;null;null;null;null;
2023-07-31;null;null;null;null;
2023-08-31;78,6;1002,9;15,4;1,7;
2023-09-30;546,4;1000;17,6;2,5;
2023-10-31;154,6;999,9;18,7;2,1;
2023-11-30;192,2;997,6;21,7;2,5;
2023-12-31;159,8;null;23,9;2,3;
2024-01-31;117,6;null;24,3;2,3;
2024-02-29;118,2;null;25,9;2,2;
2024-03-31;151;null;23,3;1,6;
2024-04-30;427,4;null;20,8;2,2;
2024-05-31;213,4;1004;14,2;1,6;
2024-06-30;207,4;1002,4;16,4;2,2;
2024-07-31;26,6;1009,2;12,3;1,3;
2024-08-31;201,2;null;14,5;2;
2024-09-30;148,6;null;18,1;2,3;
2024-10-31;185;null;20,3;2,6;
2024-11-30;77,4;null;23;2,2;
2024-12-31;60,6;null;22,6;2,4;
2025-01-31;51;null;25,9;1,9;
2025-02-28;74,6;999,1;27,4;1,9;
2025-03-31;48,4;1001,8;24,9;1,6;
2025-04-30;69;1003,1;18,7;1,4;
2025-05-31;303,2;1004,7;17;1,4;
2025-06-30;null;null;null;null;

