Nome: SAO VICENTE DO SUL
Codigo Estacao: A889
Latitude: -29.70222222
Longitude: -54.69444444
Altitude: 134
Situacao: Operante
Data Inicial: 2016-04-05
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-04-30;null;997,9;20,4;3,2;
2016-05-31;100;1003,8;13,7;3,1;
2016-06-30;66,6;1006,3;10,6;2,4;
2016-07-31;77,8;1002,2;13,2;3;
2016-08-31;94,4;1001,2;15,5;3;
2016-09-30;40,6;1002,8;15,2;3,4;
2016-10-31;362,8;998;18,9;3,8;
2016-11-30;227,6;997,7;21;3,3;
2016-12-31;180,6;994,9;24,1;3,1;
2017-01-31;221,6;995,8;24,4;3,1;
2017-02-28;149,4;995,3;24,3;2,3;
2017-03-31;198,6;998,3;22,1;3,5;
2017-04-30;209,4;999,8;18,9;3,1;
2017-05-31;303,6;1000;16,8;3,2;
2017-06-30;122,2;1001,8;15,3;2,8;
2017-07-31;29,8;1005,8;16;2,5;
2017-08-31;248,4;1000,7;16,3;3,1;
2017-09-30;154,6;1000,8;19,5;3,8;
2017-10-31;197,2;996,6;19,1;3,9;
2017-11-30;72,4;996,2;21,1;3,5;
2017-12-31;93,4;994,6;24,5;3,5;
2018-01-31;218,8;995,1;24,5;3,3;
2018-02-28;73,6;996,7;23,4;3,2;
2018-03-31;186,4;996,3;22,1;2,8;
2018-04-30;82,4;1000,2;22,4;2,5;
2018-05-31;80,2;1001,8;16,9;3;
2018-06-30;null;null;11,8;null;
2018-07-31;null;null;13,2;null;
2018-08-31;116,8;1003,8;12,7;3,1;
2018-09-30;180,8;998,5;18,6;3,9;
2018-10-31;87,6;998,3;19,4;4,3;
2018-11-30;234,8;996,4;22,7;3,5;
2018-12-31;271,6;996,4;23,6;3,1;
2019-01-31;436,4;996,2;25,1;3,2;
2019-02-28;50,8;996,8;23,7;3,1;
2019-03-31;183;999,2;21,7;2,9;
2019-04-30;240,8;998,7;20,7;2,7;
2019-05-31;217,6;1000;17,9;3;
2019-06-30;35,2;1001,4;17,7;2,5;
2019-07-31;198,2;1003,4;12,9;2,5;
2019-08-31;43,8;1004,9;14,3;3,3;
2019-09-30;73,2;1000,8;16,3;3,7;
2019-10-31;281,4;998;20,1;4;
2019-11-30;143,4;996,1;22,3;3,9;
2019-12-31;30,6;995,5;24,7;2,9;
2020-01-31;245,8;995,1;24,7;3,5;
2020-02-29;41,4;997,4;23,9;3,1;
2020-03-31;37,6;998,3;24,5;3,1;
2020-04-30;32;1001,4;19,4;2,7;
2020-05-31;127,2;1002,1;15,6;2,2;
2020-06-30;null;null;14;null;
2020-07-31;null;1002,8;11,3;2,6;
2020-08-31;40,4;1001,9;15,5;2,9;
2020-09-30;null;null;null;null;
2020-10-31;null;null;null;null;
2020-11-30;null;null;null;null;
2020-12-31;56,8;995,8;23,6;3,5;
2021-01-31;262,4;995;24,3;3,5;
2021-02-28;60;996,3;23;2,6;
2021-03-31;120,8;997,3;22,2;2,7;
2021-04-30;59,4;1000,9;20,2;3;
2021-05-31;250;1001,9;14,2;2,5;
2021-06-30;198,4;1003,4;13;2,8;
2021-07-31;21,8;1004,7;12,5;2,5;
2021-08-31;67,8;1002,5;15,4;3,3;
2021-09-30;250,8;999,3;17;3,9;
2021-10-31;139,8;998,9;19;3,6;
2021-11-30;57;996,3;22;3,8;
2021-12-31;33,4;995,6;24,1;4,3;
2022-01-31;120,8;994,2;27;3,4;
2022-02-28;55,4;995,4;24,8;2,9;
2022-03-31;222,6;997,4;21,5;3;
2022-04-30;215,2;999,1;18,5;2,9;
2022-05-31;null;1002,7;14,3;2,6;
2022-06-30;125,4;1002,7;11,8;2,6;
2022-07-31;136,6;999,2;16;3,1;
2022-08-31;91,8;1003,3;13,7;3,4;
2022-09-30;66,8;1002;15,1;3,4;
2022-10-31;51,4;998,7;18,2;3,8;
2022-11-30;56,2;999,7;21,4;4,1;
2022-12-31;55,8;994,7;25,3;3,7;
2023-01-31;82;995;26,4;3,2;
2023-02-28;73,8;995,9;24,7;2,7;
2023-03-31;113;997,2;24,9;2,5;
2023-04-30;95;999,7;19,6;2,8;
2023-05-31;115,8;1001,8;17;2,3;
2023-06-30;null;null;null;null;
2023-07-31;null;null;null;null;
2023-08-31;81,8;999,8;15,9;3,2;
2023-09-30;474,6;997,2;18;4,2;
2023-10-31;291,4;997,1;18,2;3,8;
2023-11-30;230,2;994,7;21,5;3,8;
2023-12-31;286,2;995,7;23,8;3,6;
2024-01-31;96;996,5;23,9;3,8;
2024-02-29;127,8;996,9;25,4;3,3;
2024-03-31;null;996,9;23,5;3;
2024-04-30;null;null;null;null;
2024-05-31;396,4;1000,3;15,1;3,2;
2024-06-30;129,2;999,6;17,2;3,4;
2024-07-31;19;1006,2;12,8;3,2;
2024-08-31;235,8;1002,2;14,7;3,5;
2024-09-30;141,8;998,2;18,4;3,5;
2024-10-31;113,6;998,2;20,3;3,9;
2024-11-30;80,2;996,1;22,9;3,9;
2024-12-31;58,8;995,5;22,5;3,7;
2025-01-31;37,8;994,8;25,5;3,5;
2025-02-28;186,2;995,7;27;2,7;
2025-03-31;66,8;999,1;24;2,7;
2025-04-30;99,6;1000,4;18,1;2,6;
2025-05-31;356,8;1001,9;16,9;2,5;
2025-06-30;null;null;null;null;

