Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 485.29
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-03-31;null;null;null;null;
2016-04-30;null;null;19,2;null;
2016-05-31;46,4;962,2;12,9;1,1;
2016-06-30;11;964,5;9,2;1;
2016-07-31;170,6;961,4;12,2;1,3;
2016-08-31;129,4;960,5;13,9;1,2;
2016-09-30;54;961,3;14,3;1,5;
2016-10-31;321,2;957,7;17,8;1,5;
2016-11-30;68,8;957,3;19,4;1,3;
2016-12-31;175,2;955,4;22,1;1,4;
2017-01-31;135;956,4;22,8;1,3;
2017-02-28;156,8;956,2;23,2;1,3;
2017-03-31;204;958,5;20,8;1,2;
2017-04-30;212;959,9;17,4;1,2;
2017-05-31;345;959,9;16,2;1,2;
2017-06-30;166;961,6;13,6;1,2;
2017-07-31;29,6;966,2;13,1;1,2;
2017-08-31;103,8;960,7;15;1,4;
2017-09-30;131,4;960,9;19,4;1,3;
2017-10-31;271,2;956,6;18,3;1,6;
2017-11-30;221,6;955,8;18,6;1,4;
2017-12-31;120;955,1;22,3;1,3;
2018-01-31;187;955,8;22,1;1,3;
2018-02-28;83;956,9;21;1,1;
2018-03-31;125;956,3;20,5;1,1;
2018-04-30;41,4;960,7;20,1;1;
2018-05-31;null;null;15,6;null;
2018-06-30;null;962,3;12;1,2;
2018-07-31;186,4;961,8;13,2;1,3;
2018-08-31;167,4;962,4;11,9;1,3;
2018-09-30;220,8;958,3;17,3;1,3;
2018-10-31;247,8;957,7;18,2;1,4;
2018-11-30;224;956,7;21,1;1,5;
2018-12-31;177;956,6;21,6;1,3;
2019-01-31;175,2;957,2;24,1;1,3;
2019-02-28;196;956,8;21,3;1,1;
2019-03-31;154,6;959,1;19,9;1,1;
2019-04-30;153,2;958,3;19,3;1;
2019-05-31;208,6;959,3;17;1,1;
2019-06-30;34,6;961,9;15,5;1,1;
2019-07-31;120,2;962,4;11,9;1,1;
2019-08-31;72,6;964;13,3;1,3;
2019-09-30;74,8;959,9;15,7;1,3;
2019-10-31;318,4;958,1;19;1,3;
2019-11-30;192,4;956,2;21,1;1,4;
2019-12-31;48,4;955,6;22,9;1,5;
2020-01-31;153;955,4;22,8;1,3;
2020-02-29;89;957,5;22,2;1,3;
2020-03-31;10,4;958,7;22,2;1,1;
2020-04-30;43,8;960,7;16,9;1,2;
2020-05-31;131,4;960,6;14;1,3;
2020-06-30;184,2;959,8;14,7;1,4;
2020-07-31;500,2;960,8;11,9;1,2;
2020-08-31;115,6;961,8;14;1,1;
2020-09-30;102,4;959,4;16,7;1,3;
2020-10-31;30,2;957,5;19,2;1,5;
2020-11-30;86;957,9;20,1;1,4;
2020-12-31;118,8;955,6;22,1;1,4;
2021-01-31;381,4;955,7;22,5;1,3;
2021-02-28;92,8;956,2;21;1,1;
2021-03-31;126;956,9;20,9;1;
2021-04-30;13,2;960,7;17,9;1,1;
2021-05-31;223,8;960,8;12,6;1,1;
2021-06-30;null;962,2;null;1,2;
2021-07-31;41,4;963,7;10,6;1,1;
2021-08-31;112,4;962;15,1;1,2;
2021-09-30;186,8;958,8;17,4;1,4;
2021-10-31;191,4;958,2;17,8;1,3;
2021-11-30;52,2;955,9;20,6;1,4;
2021-12-31;78,4;955,4;22,4;1,3;
2022-01-31;103,6;955,2;24,4;1,4;
2022-02-28;107,6;955,9;22,6;1,2;
2022-03-31;235,4;957,2;20,5;1,3;
2022-04-30;165;958,9;17,4;1,1;
2022-05-31;315,4;960,6;13;1,2;
2022-06-30;null;961;10,7;1;
2022-07-31;91,4;959,6;15,5;1,3;
2022-08-31;129;962;13,3;1,2;
2022-09-30;74,4;960,6;14,5;1,4;
2022-10-31;83,8;957,8;17,1;1,4;
2022-11-30;81;959,3;18,6;1,4;
2022-12-31;160,2;954,9;22;1,2;
2023-01-31;83,4;955,6;23,6;1,2;
2023-02-28;86,8;956,3;21,7;1,1;
2023-03-31;180,4;957,8;22,4;1,1;
2023-04-30;85,2;958,8;17,5;1,1;
2023-05-31;167,8;961,4;15,3;,8;
2023-06-30;177,8;962,4;13,5;1;
2023-07-31;225,8;962;13,9;1,2;
2023-08-31;69,6;959,7;14,9;1,2;
2023-09-30;539,4;957,3;17,4;1,4;
2023-10-31;343,4;956,6;17,7;1,2;
2023-11-30;567,2;955,1;20,2;1,2;
2023-12-31;165,2;956,1;22,6;1,2;
2024-01-31;234,2;956,6;22,1;1,2;
2024-02-29;223,2;957,5;23,7;1,1;
2024-03-31;131,4;957,9;21,8;1;
2024-04-30;267,2;957,9;20,2;1,2;
2024-05-31;724,6;959,2;14,9;1,3;
2024-06-30;404;959,9;16,1;1,2;
2024-07-31;null;964,6;13,3;,9;
2024-08-31;82,8;961,6;14,6;1,3;
2024-09-30;148,4;958,3;18,2;1,3;
2024-10-31;149,6;957,9;19,4;1,4;
2024-11-30;52,8;956,2;21,9;1,4;
2024-12-31;198,6;955,1;20,8;1,4;
2025-01-31;102;954,9;23,1;1,3;
2025-02-28;124,2;956,7;24,3;1,1;
2025-03-31;89;959,2;22,2;1,1;
2025-04-30;169,4;959,4;17,4;,9;
2025-05-31;176;961,7;15,6;1;
2025-06-30;null;null;null;null;

